journal,ISSN,volume,issue,narticles
actuators,2076-0825,6,1,11
actuators,2076-0825,6,2,9
actuators,2076-0825,6,3,7
actuators,2076-0825,6,4,6
actuators,2076-0825,7,1,11
actuators,2076-0825,7,2,21
actuators,2076-0825,7,3,30
actuators,2076-0825,7,4,27
actuators,2076-0825,8,1,29
actuators,2076-0825,8,2,20
actuators,2076-0825,8,3,18
actuators,2076-0825,8,4,12
actuators,2076-0825,9,1,23
actuators,2076-0825,9,2,23
actuators,2076-0825,9,3,46
actuators,2076-0825,9,4,50
actuators,2076-0825,10,1,18
actuators,2076-0825,10,2,21
actuators,2076-0825,10,3,27
actuators,2076-0825,10,4,19
actuators,2076-0825,10,5,20
actuators,2076-0825,10,6,31
actuators,2076-0825,10,7,32
actuators,2076-0825,10,8,34
actuators,2076-0825,10,9,42
actuators,2076-0825,10,10,33
actuators,2076-0825,10,11,29
actuators,2076-0825,10,12,29
actuators,2076-0825,11,1,27
actuators,2076-0825,11,2,36
actuators,2076-0825,11,3,34
actuators,2076-0825,11,4,17
actuators,2076-0825,11,5,26
actuators,2076-0825,11,6,32
actuators,2076-0825,11,7,32
actuators,2076-0825,11,8,37
actuators,2076-0825,11,9,27
actuators,2076-0825,11,10,35
actuators,2076-0825,11,11,37
actuators,2076-0825,11,12,42
actuators,2076-0825,12,1,45
actuators,2076-0825,12,2,47
actuators,2076-0825,12,3,3
aerospace,2226-4310,4,1,16
aerospace,2226-4310,4,2,16
aerospace,2226-4310,4,3,17
aerospace,2226-4310,4,4,11
aerospace,2226-4310,5,1,32
aerospace,2226-4310,5,2,34
aerospace,2226-4310,5,3,32
aerospace,2226-4310,5,4,31
aerospace,2226-4310,6,1,9
aerospace,2226-4310,6,2,15
aerospace,2226-4310,6,3,14
aerospace,2226-4310,6,4,10
aerospace,2226-4310,6,5,13
aerospace,2226-4310,6,6,14
aerospace,2226-4310,6,7,8
aerospace,2226-4310,6,8,8
aerospace,2226-4310,6,9,11
aerospace,2226-4310,6,10,13
aerospace,2226-4310,6,11,10
aerospace,2226-4310,6,12,10
aerospace,2226-4310,7,1,9
aerospace,2226-4310,7,2,10
aerospace,2226-4310,7,3,15
aerospace,2226-4310,7,4,14
aerospace,2226-4310,7,5,17
aerospace,2226-4310,7,6,19
aerospace,2226-4310,7,7,17
aerospace,2226-4310,7,8,17
aerospace,2226-4310,7,9,20
aerospace,2226-4310,7,10,14
