journal,year,volume,issue,article,SI,DOI,event,date
Biomimetics,2016,1,1,1,Normal Issue,https://doi.org/10.3390/biomimetics1010001,Received,2016-02-25
Biomimetics,2016,1,1,1,Normal Issue,https://doi.org/10.3390/biomimetics1010001,Accepted,2016-02-25
Biomimetics,2016,1,1,1,Normal Issue,https://doi.org/10.3390/biomimetics1010001,Published,2016-02-25
Biomimetics,2016,1,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010002,Received,2015-12-07
Biomimetics,2016,1,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010002,Accepted,2016-02-18
Biomimetics,2016,1,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010002,Published,2016-02-25
Biomimetics,2016,1,1,3,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010003,Received,2016-01-14
Biomimetics,2016,1,1,3,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010003,Revised,2016-03-31
Biomimetics,2016,1,1,3,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010003,Accepted,2016-04-13
Biomimetics,2016,1,1,3,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010003,Published,2016-04-19
Biomimetics,2016,1,1,4,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010004,Received,2016-06-09
Biomimetics,2016,1,1,4,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010004,Revised,2016-07-27
Biomimetics,2016,1,1,4,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010004,Accepted,2016-07-28
Biomimetics,2016,1,1,4,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010004,Published,2016-08-04
Biomimetics,2016,1,1,5,Normal Issue,https://doi.org/10.3390/biomimetics1010005,Received,2016-06-29
Biomimetics,2016,1,1,5,Normal Issue,https://doi.org/10.3390/biomimetics1010005,Revised,2016-08-17
Biomimetics,2016,1,1,5,Normal Issue,https://doi.org/10.3390/biomimetics1010005,Accepted,2016-08-19
Biomimetics,2016,1,1,5,Normal Issue,https://doi.org/10.3390/biomimetics1010005,Published,2016-08-31
Biomimetics,2016,1,1,6,Normal Issue,https://doi.org/10.3390/biomimetics1010006,Received,2016-05-27
Biomimetics,2016,1,1,6,Normal Issue,https://doi.org/10.3390/biomimetics1010006,Revised,2016-08-04
Biomimetics,2016,1,1,6,Normal Issue,https://doi.org/10.3390/biomimetics1010006,Accepted,2016-08-30
Biomimetics,2016,1,1,6,Normal Issue,https://doi.org/10.3390/biomimetics1010006,Published,2016-09-07
Biomimetics,2016,1,1,7,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010007,Received,2016-04-19
Biomimetics,2016,1,1,7,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010007,Revised,2016-09-13
Biomimetics,2016,1,1,7,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010007,Accepted,2016-10-04
Biomimetics,2016,1,1,7,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics1010007,Published,2016-10-27
Biomimetics,2017,2,1,1,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010001,Received,2016-12-06
Biomimetics,2017,2,1,1,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010001,Revised,2017-01-17
Biomimetics,2017,2,1,1,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010001,Accepted,2017-01-17
