journal,ISSN,volume,nissues
actuators,2076-0825,6,4
actuators,2076-0825,7,4
actuators,2076-0825,8,4
actuators,2076-0825,9,4
actuators,2076-0825,10,12
actuators,2076-0825,11,12
actuators,2076-0825,12,3
aerospace,2226-4310,4,4
aerospace,2226-4310,5,4
aerospace,2226-4310,6,12
aerospace,2226-4310,7,12
aerospace,2226-4310,8,12
aerospace,2226-4310,9,12
aerospace,2226-4310,10,3
agriculture,2077-0472,7,12
agriculture,2077-0472,8,12
agriculture,2077-0472,9,12
agriculture,2077-0472,10,12
agriculture,2077-0472,11,12
agriculture,2077-0472,12,12
agriculture,2077-0472,13,3
agronomy,2073-4395,7,4
agronomy,2073-4395,8,12
agronomy,2073-4395,9,12
agronomy,2073-4395,10,12
agronomy,2073-4395,11,12
agronomy,2073-4395,12,12
agronomy,2073-4395,13,3
animals,2076-2615,7,12
animals,2076-2615,8,12
animals,2076-2615,9,12
animals,2076-2615,10,12
animals,2076-2615,11,12
animals,2076-2615,12,24
animals,2076-2615,13,5
antibiotics,2079-6382,6,4
antibiotics,2079-6382,7,4
antibiotics,2079-6382,8,4
antibiotics,2079-6382,9,12
antibiotics,2079-6382,10,12
antibiotics,2079-6382,11,12
antibiotics,2079-6382,12,3
antioxidants,2076-3921,6,4
antioxidants,2076-3921,7,12
antioxidants,2076-3921,8,12
antioxidants,2076-3921,9,12
antioxidants,2076-3921,10,12
antioxidants,2076-3921,11,12
antioxidants,2076-3921,12,3
applsci,2076-3417,7,12
applsci,2076-3417,8,12
applsci,2076-3417,9,24
applsci,2076-3417,10,24
applsci,2076-3417,11,24
applsci,2076-3417,12,24
applsci,2076-3417,13,5
atmosphere,2073-4433,8,12
atmosphere,2073-4433,9,12
atmosphere,2073-4433,10,12
atmosphere,2073-4433,11,12
atmosphere,2073-4433,12,12
atmosphere,2073-4433,13,12
atmosphere,2073-4433,14,3
axioms,2075-1680,6,4
axioms,2075-1680,7,4
axioms,2075-1680,8,4
axioms,2075-1680,9,4
axioms,2075-1680,10,4
axioms,2075-1680,11,12
axioms,2075-1680,12,3
batteries,2313-0105,3,4
batteries,2313-0105,4,4
batteries,2313-0105,5,4
batteries,2313-0105,6,4
batteries,2313-0105,7,4
batteries,2313-0105,8,12
batteries,2313-0105,9,3
behavsci,2076-328X,7,4
behavsci,2076-328X,8,12
behavsci,2076-328X,9,12
behavsci,2076-328X,10,12
behavsci,2076-328X,11,12
behavsci,2076-328X,12,12
behavsci,2076-328X,13,3
bioengineering,2306-5354,4,4
bioengineering,2306-5354,5,4
bioengineering,2306-5354,6,4
bioengineering,2306-5354,7,4
bioengineering,2306-5354,8,12
bioengineering,2306-5354,9,12
bioengineering,2306-5354,10,3
biology,2079-7737,6,4
biology,2079-7737,7,4
biology,2079-7737,8,4
biology,2079-7737,9,12
biology,2079-7737,10,12
biology,2079-7737,11,12
biology,2079-7737,12,3
biomedicines,2227-9059,5,4
biomedicines,2227-9059,6,4
biomedicines,2227-9059,7,4
biomedicines,2227-9059,8,12
biomedicines,2227-9059,9,12
biomedicines,2227-9059,10,12
biomedicines,2227-9059,11,3
biomimetics,2313-7673,1,1
biomimetics,2313-7673,2,4
biomimetics,2313-7673,3,4
biomimetics,2313-7673,4,4
biomimetics,2313-7673,5,4
biomimetics,2313-7673,6,4
biomimetics,2313-7673,7,4
biomolecules,2218-273X,7,4
biomolecules,2218-273X,8,4
biomolecules,2218-273X,9,12
biomolecules,2218-273X,10,12
biomolecules,2218-273X,11,12
biomolecules,2218-273X,12,12
biomolecules,2218-273X,13,3
biosensors,2079-6374,7,4
biosensors,2079-6374,8,4
biosensors,2079-6374,9,4
biosensors,2079-6374,10,12
biosensors,2079-6374,11,12
biosensors,2079-6374,12,12
biosensors,2079-6374,13,3
brainsci,2076-3425,7,12
brainsci,2076-3425,8,12
brainsci,2076-3425,9,12
brainsci,2076-3425,10,12
brainsci,2076-3425,11,12
brainsci,2076-3425,12,12
brainsci,2076-3425,13,3
buildings,2075-5309,7,4
buildings,2075-5309,8,12
buildings,2075-5309,9,12
buildings,2075-5309,10,12
buildings,2075-5309,11,12
buildings,2075-5309,12,12
buildings,2075-5309,13,3
cancers,2072-6694,9,12
cancers,2072-6694,10,12
cancers,2072-6694,11,12
cancers,2072-6694,12,12
cancers,2072-6694,13,24
cancers,2072-6694,14,24
cancers,2072-6694,15,5
catalysts,2073-4344,7,12
catalysts,2073-4344,8,12
catalysts,2073-4344,9,12
catalysts,2073-4344,10,12
catalysts,2073-4344,11,12
catalysts,2073-4344,12,12
catalysts,2073-4344,13,3
cells,2073-4409,6,4
cells,2073-4409,7,12
cells,2073-4409,8,12
cells,2073-4409,9,12
cells,2073-4409,10,12
cells,2073-4409,11,24
cells,2073-4409,12,5
chemosensors,2227-9040,5,4
chemosensors,2227-9040,6,4
chemosensors,2227-9040,7,4
chemosensors,2227-9040,8,4
chemosensors,2227-9040,9,12
chemosensors,2227-9040,10,12
chemosensors,2227-9040,11,3
children,2227-9067,4,12
children,2227-9067,5,12
children,2227-9067,6,12
children,2227-9067,7,12
children,2227-9067,8,12
children,2227-9067,9,12
children,2227-9067,10,3
cimb,1467-3045,39,1
cimb,1467-3045,40,3
