journal,year,accepted,rejected,rejection_rate,IF,citations,citable_items
jfb,2013,15,3,0.16666666666666666,NA,NA,NA
jfb,2014,20,6,0.23076923076923078,NA,NA,NA
jfb,2015,60,18,0.23076923076923078,NA,NA,NA
jfb,2016,34,14,0.2916666666666667,NA,NA,NA
jfb,2017,53,10,0.15873015873015872,NA,NA,NA
jfb,2018,74,34,0.3148148148148148,NA,NA,NA
jfb,2019,56,39,0.4105263157894737,NA,NA,NA
jfb,2020,87,65,0.4276315789473684,NA,NA,NA
jfb,2021,76,39,0.3391304347826087,NA,NA,NA
jfb,2022,330,254,0.4349315068493151,NA,NA,NA
jfb,2023,58,43,0.42574257425742573,NA,NA,NA
drones,2017,7,6,0.46153846153846156,NA,NA,NA
drones,2018,46,51,0.5257731958762887,NA,NA,NA
drones,2019,82,36,0.3050847457627119,NA,NA,NA
drones,2020,81,29,0.2636363636363636,NA,NA,NA
drones,2021,158,110,0.41044776119402987,NA,NA,NA
drones,2022,451,384,0.4598802395209581,NA,NA,NA
drones,2023,70,107,0.6045197740112994,NA,NA,NA
batteries,2015,7,5,0.4166666666666667,NA,NA,NA
batteries,2016,37,13,0.26,NA,NA,NA
batteries,2017,42,20,0.3225806451612903,NA,NA,NA
batteries,2018,71,33,0.3173076923076923,NA,NA,NA
batteries,2019,76,16,0.17391304347826086,NA,NA,NA
batteries,2020,62,22,0.2619047619047619,NA,NA,NA
batteries,2021,86,31,0.26495726495726496,NA,NA,NA
batteries,2022,324,102,0.23943661971830985,NA,NA,NA
batteries,2023,66,34,0.34,NA,NA,NA
fishes,2015,1,3,0.75,NA,NA,NA
fishes,2016,3,17,0.85,NA,NA,NA
fishes,2017,22,38,0.6333333333333333,NA,NA,NA
fishes,2018,49,62,0.5585585585585585,NA,NA,NA
fishes,2019,64,67,0.5114503816793893,NA,NA,NA
fishes,2020,33,39,0.5416666666666666,2.385,289,36
fishes,2021,91,135,0.5973451327433629,3.170,547,80
fishes,2022,420,363,0.46360153256704983,NA,NA,NA
fishes,2023,58,57,0.4956521739130435,NA,NA,NA
systems,2013,5,10,0.6666666666666666,NA,NA,NA
systems,2014,31,8,0.20512820512820512,NA,NA,NA
systems,2015,21,32,0.6037735849056604,NA,NA,NA
systems,2016,37,62,0.6262626262626263,NA,NA,NA
systems,2017,54,34,0.38636363636363635,NA,NA,NA
systems,2018,46,57,0.5533980582524272,NA,NA,NA
systems,2019,55,58,0.5132743362831859,NA,NA,NA
systems,2020,56,58,0.5087719298245614,NA,NA,NA
systems,2021,94,99,0.5129533678756477,NA,NA,NA
systems,2022,278,713,0.7194752774974773,NA,NA,NA
systems,2023,53,137,0.7210526315789474,NA,NA,NA
magnetochemistry,2015,9,1,0.1,NA,NA,NA
magnetochemistry,2016,46,4,0.08,NA,NA,NA
magnetochemistry,2017,44,7,0.13725490196078433,NA,NA,NA
magnetochemistry,2018,57,26,0.3132530120481928,NA,NA,NA
magnetochemistry,2019,68,10,0.1282051282051282,1.947,441,64
magnetochemistry,2020,78,13,0.14285714285714285,2.193,656,70
magnetochemistry,2021,162,27,0.14285714285714285,3.336,988,155
magnetochemistry,2022,199,55,0.21653543307086615,NA,NA,NA
magnetochemistry,2023,30,7,0.1891891891891892,NA,NA,NA
jtaer,2020,59,106,0.6424242424242425,3.049,502,20
jtaer,2021,153,1016,0.8691189050470488,5.318,1022,181
jtaer,2022,91,1116,0.9246064623032312,NA,NA,NA
jtaer,2023,8,130,0.9420289855072463,NA,NA,NA
biomimetics,2016,7,8,0.5333333333333333,NA,NA,NA
biomimetics,2017,25,5,0.16666666666666666,NA,NA,NA
biomimetics,2018,39,28,0.417910447761194,NA,NA,NA
biomimetics,2019,79,41,0.3416666666666667,NA,NA,NA
biomimetics,2020,70,34,0.3269230769230769,NA,NA,NA
biomimetics,2021,76,36,0.32142857142857145,NA,NA,NA
biomimetics,2022,255,84,0.24778761061946902,NA,NA,NA
biomimetics,2023,45,16,0.26229508196721313,NA,NA,NA
fire,2017,3,NA,NA,NA,NA,NA
fire,2018,51,19,0.2714285714285714,NA,NA,NA
fire,2019,61,37,0.37755102040816324,NA,NA,NA
fire,2020,71,25,0.2604166666666667,NA,NA,NA
fire,2021,101,74,0.4228571428571429,NA,NA,NA
fire,2022,227,118,0.34202898550724636,NA,NA,NA
fire,2023,37,19,0.3392857142857143,NA,NA,NA
tomography,2021,84,61,0.4206896551724138,3.000,737,76
tomography,2022,252,127,0.33509234828496043,NA,NA,NA
tomography,2023,18,12,0.4,NA,NA,NA
jintelligence,2013,3,5,0.625,NA,NA,NA
jintelligence,2014,19,10,0.3448275862068966,NA,NA,NA
jintelligence,2015,13,12,0.48,NA,NA,NA
jintelligence,2016,17,11,0.39285714285714285,NA,NA,NA
jintelligence,2017,34,31,0.47692307692307695,NA,NA,NA
jintelligence,2018,53,38,0.4175824175824176,NA,NA,NA
jintelligence,2019,27,26,0.49056603773584906,NA,NA,NA
jintelligence,2020,43,33,0.4342105263157895,NA,NA,NA
jintelligence,2021,63,108,0.631578947368421,NA,NA,NA
jintelligence,2022,134,304,0.6940639269406392,NA,NA,NA
jintelligence,2023,21,53,0.7162162162162162,NA,NA,NA
actuators,2013,9,10,0.5263157894736842,NA,NA,NA
actuators,2014,15,10,0.4,NA,NA,NA
actuators,2015,24,20,0.45454545454545453,NA,NA,NA
actuators,2016,25,19,0.4318181818181818,NA,NA,NA
actuators,2017,33,19,0.36538461538461536,NA,NA,NA
actuators,2018,92,27,0.226890756302521,NA,NA,NA
actuators,2019,78,36,0.3157894736842105,1.957,455,76
