title,journal,yearfunded,articles,IF,ISSN,volumes
Acoustics,acoustics,2019,220,NA,2624-599X,4
Actuators,actuators,2012,NA,2.523,2076-0825,12
Administrative Sciences,admsci,2011,832,NA,2076-3387,13
Adolescents,adolescents,2021,89,NA,2673-7051,2
Advances in Respiratory Medicine,arm,2016,NA,NA,2543-6031,91
Aerospace,aerospace,2014,NA,2.66,2226-4310,10
Agriculture,agriculture,2011,NA,3.408,2077-0472,13
AgriEngineering,agriengineering,2019,252,NA,2624-7402,4
Agrochemicals,agrochemicals,2022,14,NA,2813-3145,1
Agronomy,agronomy,2011,NA,3.949,2073-4395,13
AI,ai,2020,150,NA,2673-2688,3
Air,air,2023,5,NA,2813-4168,NA
Algorithms,algorithms,2008,NA,NA,1999-4893,16
Allergies,allergies,2021,40,NA,2313-5786,2
Alloys,alloys,2022,22,NA,2674-063X,1
Analytica,analytica,2020,60,NA,2673-4532,3
Analytics,analytics,2022,25,NA,2813-2203,1
Anatomia,anatomia,2022,30,NA,2813-0545,1
Animals,animals,2011,NA,3.231,2076-2615,13
Antibiotics,antibiotics,2012,NA,5.222,2079-6382,12
Antibodies,antibodies,2012,455,NA,2073-4468,11
Antioxidants,antioxidants,2012,NA,7.675,2076-3921,12
Applied Biosciences,applbiosci,2022,26,NA,2813-0464,1
Applied Mechanics,applmech,2020,169,NA,2673-3161,3
Applied Microbiology,applmicrobiol,2021,135,NA,2673-8007,2
Applied Nano,applnano,2020,52,NA,2673-3501,3
Applied Sciences,applsci,2011,NA,2.838,2076-3417,13
Applied System Innovation,asi,2018,406,NA,2571-5577,6
AppliedChem,appliedchem,2021,39,NA,2673-9623,2
AppliedMath,appliedmath,2021,58,NA,2673-9909,2
Aquaculture Journal,aquacj,2021,28,NA,2673-9496,2
Architecture,architecture,2021,58,NA, 2673-8945,2
Arthropoda,arthropoda,2023,7,NA,2813-3323,NA
Arts,arts,2012,751,NA,2076-0752,12
Astronomy,astronomy,2022,19,NA,2674-0346,1
Atmosphere,atmosphere,2010,NA,3.11,2073-4433,14
Atoms,atoms,2013,709,NA,2218-2004,11
Audiology Research,audiolres,2011,278,NA,2039-4349,13
Automation,automation,2020,63,NA,2673-4052,3
Axioms,axioms,2012,NA,1.824,2075-1680,12
Bacteria,bacteria,2022,26,NA,2674-1334,1
Batteries,batteries,2015,819,5.938,2313-0105,9
Behavioral Sciences,behavsci,2011,NA,2.286,2076-328X,13
Beverages,beverages,2015,560,NA,2306-5710,8
Big Data and Cognitive Computing,BDCC,2017,423,NA,2504-2289,6
BioChem,biochem,2021,40,NA,2673-6411,2
Bioengineering,bioengineering,2014,NA,5.046,2306-5354,10
Biologics,biologics,2021,45,NA,2673-8449,2
Biology,biology,2012,NA,5.168,2079-7737,12
Biology and Life Sciences Forum,blsf,2021,942,NA,2673-9976,10
Biomass,biomass,2021,40,NA,2673-8783,2
Biomechanics,biomechanics,2021,88,NA,2673-7078,2
BioMed,biomed,2021,61,NA,2673-8430,2
Biomedicines,biomedicines,2013,NA,4.757,2227-9059,11
BioMedInformatics,biomedinformatics,2021,73,NA,2673-7426,2
Biomimetics,biomimetics,2016,630,3.743,2313-7673,7
Biomolecules,biomolecules,2011,NA,6.064,2218-273X,13
Biophysica,biophysica,2021,89,NA,2673-4125,2
Biosensors,biosensors,2011,NA,5.743,2079-6374,13
BioTech,biotech,2012,329,NA,2673-6284,11
Birds,birds,2020,79,NA,2673-6004,3
Blockchains,blockchains,2023,1,NA,2813-5288,NA
Brain Sciences,brainsci,2011,NA,3.333,2076-3425,13
Buildings,buildings,2011,NA,3.324,2075-5309,13
Businesses,businesses,2021,64,NA,2673-7116,2
C,carbon,2015,497,NA,2311-5629,8
Cancers,cancers,2009,NA,6.575,2072-6694,15
Cardiogenetics,cardiogenetics,2011,150,NA,2035-8148,12
Catalysts,catalysts,2011,NA,4.501,2073-4344,13
Cells,cells,2012,NA,7.666,2073-4409,12
Ceramics,ceramics,2018,294,NA,2571-6131,5
Challenges,challenges,2010,376,NA,2078-1547,13
ChemEngineering,ChemEngineering,2017,440,NA,2305-7084,7
Chemistry,chemistry,2019,320,NA,2624-8549,4
Chemistry Proceedings,chemproc,2020,682,NA,2673-4583,11
 Chemosensors,chemosensors,2013,NA,4.229,2227-9040,11
Children,children,2014,NA,2.835,2227-9067,10
Chips,chips,2022,17,NA,2674-0729,1
CivilEng,civileng,2020,156,NA,2673-4109,3
Clean Technologies,cleantechnol,2019,203,NA,2571-8797,4
Climate,climate,2013,NA,NA,2225-1154,11
Clinical and Translational Neuroscience,ctn,2017,153,NA,2514-183X,6
Clinics and Practice,clinpract,2011,767,NA,2039-7283,13
Clocks & Sleep,clockssleep,2019,190,NA,2624-5175,4
Coasts,coasts,2021,28,NA,2673-964X,2
Coatings,coatings,2011,NA,3.236,2079-6412,13
Colloids and Interfaces,colloids,2017,364,NA,2504-5377,6
Colorants,colorants,2022,32,NA,2079-6447,1
Commodities,commodities,2022,14,NA,2813-2432,1
Complications,complications,2023,1,NA,2813-4966,NA
Compounds,compounds,2021,64,NA,2673-6918,2
Computation,computation,2013,805,NA,2079-3197,11
Computer Sciences & Mathematics Forum,csmf,2022,43,NA,2813-0324,1
Computers,computers,2012,767,NA,2073-431X,12
Condensed Matter,condensedmatter,2016,427,NA,2410-3896,7
Conservation,conservation,2021,87,NA,2673-7159,2
Construction Materials,constrmater,2021,38,NA,2673-7108,2
Corrosion and Materials Degradation,cmd,2020,109,NA,2624-5558,3
Cosmetics,cosmetics,2014,696,NA,2079-9284,10
COVID,covid,2021,215,NA,2673-8112,3
Crops,crops,2021,58,NA,2673-7655,2
Cryptography,cryptography,2017,244,NA,2410-387X,6
Crystals,crystals,2011,NA,2.67,2073-4352,13
Current Issues in Molecular Biology,cimb,1999,NA,2.976,1467-3045,45
Current Oncology,curroncol,1994,NA,3.109,1718-7729,30
Dairy,dairy,2020,151,NA,2624-862X,3
Data,data,2016,763,NA,2306-5729,8
Dentistry Journal,dentistry,2013,896,NA,2304-6767,11
Dermato,dermato,2021,25,NA,2673-6179,2
Dermatopathology,dermatopathology,2014,129,NA,2296-3529,9
Designs,designs,2017,418,NA,2411-9660,7
Diabetology,diabetology,2020,89,NA,2673-4540,3
Diagnostics,diagnostics,2011,NA,3.992,2075-4418,13
Dietetics,dietetics,2022,29,NA,2674-0311,1
Digital,digital,2021,51,NA,2673-6470,2
Disabilities,disabilities,2021,95,NA,2673-7272,2
Diseases,diseases,2013,600,NA,2079-9721,10
Diversity,diversity,2009,NA,3.031,1424-2818,15
DNA,dna,2021,35,NA,2673-8856,2
Drones,drones,2017,953,5.532,2504-446X,7
Drugs and Drug Candidates,ddc,2022,10,NA, 2813-2998,1
Dynamics,dynamics,2021,47,NA,2673-8716,2
Earth,earth,2020,149,NA,2673-4834,3
