journal,year,volume,issue,DOI,SI,event,date
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,1,"
Received",2015-10-20
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,1, Revised,2015-12-14
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,1, Accepted,2015-12-17
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,1, Published,2015-12-23
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,1,"
Received",2015-11-11
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,1, Revised,2015-12-16
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,1, Accepted,2015-12-25
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,1, Published,2015-12-30
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,0,"
Received",2015-08-09
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,0, Revised,2015-12-25
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,0, Accepted,2015-12-30
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,0, Published,2016-01-04
Actuators,2016,5,1,https://doi.org/10.3390/act5010004,0,"
Received",2016-01-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010004,0, Accepted,2016-01-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010004,0, Published,2016-01-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,1,"
Received",2015-12-03
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,1, Revised,2016-01-12
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,1, Accepted,2016-02-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,1, Published,2016-02-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,1,"
Received",2015-12-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,1, Revised,2016-02-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,1, Accepted,2016-02-17
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,1, Published,2016-02-26
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,1,"
Received",2015-12-14
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,1, Revised,2016-01-31
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,1, Accepted,2016-02-15
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,1, Published,2016-02-29
Actuators,2016,5,1,https://doi.org/10.3390/act5010008,1,"
Received",2016-01-06
Actuators,2016,5,1,https://doi.org/10.3390/act5010008,1, Revised,2016-02-09
Actuators,2016,5,1,https://doi.org/10.3390/act5010008,1, Accepted,2016-02-25
Actuators,2016,5,1,https://doi.org/10.3390/act5010008,1, Published,2016-03-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010009,1,"
Received",2015-12-30
Actuators,2016,5,1,https://doi.org/10.3390/act5010009,1, Revised,2016-02-26
Actuators,2016,5,1,https://doi.org/10.3390/act5010009,1, Accepted,2016-03-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010009,1, Published,2016-03-09
Actuators,2016,5,1,https://doi.org/10.3390/act5010010,1,"
Received",2016-02-11
Actuators,2016,5,1,https://doi.org/10.3390/act5010010,1, Revised,2016-03-13
Actuators,2016,5,1,https://doi.org/10.3390/act5010010,1, Accepted,2016-03-15
Actuators,2016,5,1,https://doi.org/10.3390/act5010010,1, Published,2016-03-21
Actuators,2016,5,2,https://doi.org/10.3390/act5020011,1,"
Received",2016-03-21
Actuators,2016,5,2,https://doi.org/10.3390/act5020011,1, Revised,2016-05-08
Actuators,2016,5,2,https://doi.org/10.3390/act5020011,1, Accepted,2016-05-11
Actuators,2016,5,2,https://doi.org/10.3390/act5020011,1, Published,2016-05-18
Actuators,2016,5,2,https://doi.org/10.3390/act5020012,1,"
Received",2015-11-15
