journal,year,volume,issue,DOI,SI,event,date
Animals,2016,6,1,https://doi.org/10.3390/ani6010001,1,"
Received",2015-11-27
Animals,2016,6,1,https://doi.org/10.3390/ani6010001,1, Revised,2015-12-16
Animals,2016,6,1,https://doi.org/10.3390/ani6010001,1, Accepted,2015-12-16
Animals,2016,6,1,https://doi.org/10.3390/ani6010001,1, Published,2015-12-22
Animals,2016,6,1,https://doi.org/10.3390/ani6010002,1,"
Received",2015-11-27
Animals,2016,6,1,https://doi.org/10.3390/ani6010002,1, Revised,2015-12-22
Animals,2016,6,1,https://doi.org/10.3390/ani6010002,1, Accepted,2015-12-30
Animals,2016,6,1,https://doi.org/10.3390/ani6010002,1, Published,2016-01-05
Animals,2016,6,1,https://doi.org/10.3390/ani6010003,1,"
Received",2015-11-29
Animals,2016,6,1,https://doi.org/10.3390/ani6010003,1, Revised,2015-12-22
Animals,2016,6,1,https://doi.org/10.3390/ani6010003,1, Accepted,2015-12-30
Animals,2016,6,1,https://doi.org/10.3390/ani6010003,1, Published,2016-01-07
Animals,2016,6,1,https://doi.org/10.3390/ani6010004,0,"
Received",2015-11-24
Animals,2016,6,1,https://doi.org/10.3390/ani6010004,0, Revised,2015-12-17
Animals,2016,6,1,https://doi.org/10.3390/ani6010004,0, Accepted,2015-12-18
Animals,2016,6,1,https://doi.org/10.3390/ani6010004,0, Published,2016-01-07
Animals,2016,6,1,https://doi.org/10.3390/ani6010005,0,"
Received",2015-12-03
Animals,2016,6,1,https://doi.org/10.3390/ani6010005,0, Revised,2015-12-22
Animals,2016,6,1,https://doi.org/10.3390/ani6010005,0, Accepted,2016-01-05
Animals,2016,6,1,https://doi.org/10.3390/ani6010005,0, Published,2016-01-08
Animals,2016,6,1,https://doi.org/10.3390/ani6010006,0,"
Received",2015-11-02
Animals,2016,6,1,https://doi.org/10.3390/ani6010006,0, Revised,2016-01-12
Animals,2016,6,1,https://doi.org/10.3390/ani6010006,0, Accepted,2016-01-12
Animals,2016,6,1,https://doi.org/10.3390/ani6010006,0, Published,2016-01-15
Animals,2016,6,1,https://doi.org/10.3390/ani6010007,0,"
Received",2015-11-11
Animals,2016,6,1,https://doi.org/10.3390/ani6010007,0, Revised,2015-12-31
Animals,2016,6,1,https://doi.org/10.3390/ani6010007,0, Accepted,2016-01-12
Animals,2016,6,1,https://doi.org/10.3390/ani6010007,0, Published,2016-01-15
Animals,2016,6,1,https://doi.org/10.3390/ani6010008,0,"
Received",2016-01-21
Animals,2016,6,1,https://doi.org/10.3390/ani6010008,0, Accepted,2016-01-21
Animals,2016,6,1,https://doi.org/10.3390/ani6010008,0, Published,2016-01-21
Animals,2016,6,2,https://doi.org/10.3390/ani6020009,1,"
Received",2015-06-25
Animals,2016,6,2,https://doi.org/10.3390/ani6020009,1, Revised,2015-09-10
Animals,2016,6,2,https://doi.org/10.3390/ani6020009,1, Accepted,2015-09-11
Animals,2016,6,2,https://doi.org/10.3390/ani6020009,1, Published,2016-01-29
Animals,2016,6,2,https://doi.org/10.3390/ani6020010,1,"
Received",2015-12-21
Animals,2016,6,2,https://doi.org/10.3390/ani6020010,1, Revised,2016-01-19
Animals,2016,6,2,https://doi.org/10.3390/ani6020010,1, Accepted,2016-01-27
Animals,2016,6,2,https://doi.org/10.3390/ani6020010,1, Published,2016-02-02
Animals,2016,6,2,https://doi.org/10.3390/ani6020011,0,"
Received",2015-12-08
Animals,2016,6,2,https://doi.org/10.3390/ani6020011,0, Revised,2016-01-28
Animals,2016,6,2,https://doi.org/10.3390/ani6020011,0, Accepted,2016-01-28
Animals,2016,6,2,https://doi.org/10.3390/ani6020011,0, Published,2016-02-03
Animals,2016,6,2,https://doi.org/10.3390/ani6020012,1,"
Received",2015-10-29
Animals,2016,6,2,https://doi.org/10.3390/ani6020012,1, Revised,2016-01-14
Animals,2016,6,2,https://doi.org/10.3390/ani6020012,1, Accepted,2016-02-02
Animals,2016,6,2,https://doi.org/10.3390/ani6020012,1, Published,2016-02-15
Animals,2016,6,2,https://doi.org/10.3390/ani6020013,1,"
Received",2015-10-27
Animals,2016,6,2,https://doi.org/10.3390/ani6020013,1, Revised,2016-01-08
Animals,2016,6,2,https://doi.org/10.3390/ani6020013,1, Accepted,2016-02-02
Animals,2016,6,2,https://doi.org/10.3390/ani6020013,1, Published,2016-02-16
Animals,2016,6,2,https://doi.org/10.3390/ani6020014,1,"
Received",2015-10-30
Animals,2016,6,2,https://doi.org/10.3390/ani6020014,1, Revised,2016-01-21
Animals,2016,6,2,https://doi.org/10.3390/ani6020014,1, Accepted,2016-02-03
Animals,2016,6,2,https://doi.org/10.3390/ani6020014,1, Published,2016-02-18
Animals,2016,6,3,https://doi.org/10.3390/ani6030015,1,"
Received",2015-10-28
Animals,2016,6,3,https://doi.org/10.3390/ani6030015,1, Revised,2016-01-08
Animals,2016,6,3,https://doi.org/10.3390/ani6030015,1, Accepted,2016-02-02
Animals,2016,6,3,https://doi.org/10.3390/ani6030015,1, Published,2016-02-23
Animals,2016,6,3,https://doi.org/10.3390/ani6030016,1,"
Received",2015-11-04
Animals,2016,6,3,https://doi.org/10.3390/ani6030016,1, Revised,2016-02-06
Animals,2016,6,3,https://doi.org/10.3390/ani6030016,1, Accepted,2016-02-16
Animals,2016,6,3,https://doi.org/10.3390/ani6030016,1, Published,2016-02-24
Animals,2016,6,3,https://doi.org/10.3390/ani6030017,0,"
Received",2016-02-01
Animals,2016,6,3,https://doi.org/10.3390/ani6030017,0, Revised,2016-02-16
Animals,2016,6,3,https://doi.org/10.3390/ani6030017,0, Accepted,2016-02-17
