journal,year,volume,issue,DOI,SI,event,date
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,0,"
Received",2015-07-31
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,0, Revised,2015-12-01
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,0, Accepted,2015-12-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,0, Published,2015-12-24
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,1,"
Received",2015-09-22
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,1, Revised,2015-12-04
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,1, Accepted,2015-12-23
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,1, Published,2015-12-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,1,"
Received",2015-10-12
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,1, Revised,2015-11-27
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,1, Accepted,2015-12-30
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,1, Published,2016-01-09
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,1,"
Received",2015-06-08
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,1, Revised,2015-12-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,1, Accepted,2016-01-05
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,1, Published,2016-01-13
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,1,"
Received",2015-09-28
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,1, Revised,2015-12-04
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,1, Accepted,2016-01-04
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,1, Published,2016-01-13
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,1,"
Received",2015-09-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,1, Revised,2015-12-20
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,1, Accepted,2016-01-06
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,1, Published,2016-01-14
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,1,"
Received",2015-09-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,1, Revised,2015-12-31
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,1, Accepted,2016-01-08
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,1, Published,2016-01-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,1,"
Received",2015-09-30
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,1, Revised,2015-12-14
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,1, Accepted,2015-12-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,1, Published,2016-01-19
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010009,0,"
Received",2016-01-22
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010009,0, Accepted,2016-01-22
