journal,year,volume,issue,DOI,SI,event,date
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010001,0,"
Received",2015-08-26
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010001,0, Revised,2015-11-16
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010001,0, Accepted,2015-11-25
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010001,0, Published,2016-01-04
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010002,1,"
Received",2015-10-29
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010002,1, Revised,2015-12-29
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010002,1, Accepted,2015-12-31
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010002,1, Published,2016-01-11
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010003,1,"
Received",2015-12-02
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010003,1, Revised,2015-12-29
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010003,1, Accepted,2015-12-30
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010003,1, Published,2016-01-14
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010004,1,"
Received",2015-11-17
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010004,1, Revised,2015-12-29
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010004,1, Accepted,2016-01-05
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010004,1, Published,2016-01-18
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010005,0,"
Received",2016-01-25
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010005,0, Accepted,2016-01-25
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010005,0, Published,2016-01-25
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010006,0,"
Received",2015-12-30
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010006,0, Revised,2016-01-23
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010006,0, Accepted,2016-01-26
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010006,0, Published,2016-02-02
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010007,1,"
Received",2015-11-30
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010007,1, Revised,2016-01-22
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010007,1, Accepted,2016-02-05
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010007,1, Published,2016-02-19
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010008,0,"
Received",2016-01-29
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010008,0, Revised,2016-02-21
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010008,0, Accepted,2016-02-29
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010008,0, Published,2016-03-02
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010009,0,"
Received",2015-12-11
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010009,0, Revised,2016-03-04
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010009,0, Accepted,2016-03-07
Antioxidants,2016,5,1,https://doi.org/10.3390/antiox5010009,0, Published,2016-03-17
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020010,1,"
Received",2016-02-02
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020010,1, Revised,2016-03-10
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020010,1, Accepted,2016-03-24
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020010,1, Published,2016-03-31
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020011,1,"
Received",2016-02-02
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020011,1, Revised,2016-03-22
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020011,1, Accepted,2016-03-24
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020011,1, Published,2016-04-01
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020012,0,"
Received",2016-01-27
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020012,0, Revised,2016-03-22
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020012,0, Accepted,2016-03-25
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020012,0, Published,2016-04-02
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020013,1,"
Received",2016-01-29
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020013,1, Revised,2016-02-25
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020013,1, Accepted,2016-03-29
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020013,1, Published,2016-04-06
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020014,1,"
Received",2016-03-15
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020014,1, Revised,2016-04-08
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020014,1, Accepted,2016-04-11
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020014,1, Published,2016-04-19
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020015,1,"
Received",2016-04-07
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020015,1, Revised,2016-05-08
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020015,1, Accepted,2016-05-10
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020015,1, Published,2016-05-17
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020016,1,"
Received",2016-03-12
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020016,1, Revised,2016-05-11
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020016,1, Accepted,2016-05-13
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020016,1, Published,2016-05-18
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020017,1,"
Received",2016-02-01
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020017,1, Revised,2016-04-29
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020017,1, Accepted,2016-05-10
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020017,1, Published,2016-06-01
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020018,1,"
Received",2016-04-28
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020018,1, Revised,2016-05-31
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020018,1, Accepted,2016-06-02
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020018,1, Published,2016-06-07
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020019,1,"
Received",2016-04-28
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020019,1, Revised,2016-06-02
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020019,1, Accepted,2016-06-04
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020019,1, Published,2016-06-13
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020020,0,"
Received",2016-05-16
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020020,0, Revised,2016-05-30
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020020,0, Accepted,2016-06-07
Antioxidants,2016,5,2,https://doi.org/10.3390/antiox5020020,0, Published,2016-06-14
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030021,1,"
Received",2016-04-30
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030021,1, Revised,2016-06-22
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030021,1, Accepted,2016-06-24
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030021,1, Published,2016-07-04
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030022,1,"
Received",2016-05-30
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030022,1, Revised,2016-06-27
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030022,1, Accepted,2016-06-28
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030022,1, Published,2016-07-05
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030023,1,"
Received",2016-04-25
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030023,1, Revised,2016-06-29
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030023,1, Accepted,2016-07-02
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030023,1, Published,2016-07-11
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030024,1,"
Received",2016-06-22
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030024,1, Revised,2016-07-06
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030024,1, Accepted,2016-07-12
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030024,1, Published,2016-07-18
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030025,1,"
Received",2016-05-24
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030025,1, Revised,2016-07-13
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030025,1, Accepted,2016-07-22
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030025,1, Published,2016-07-27
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030026,1,"
Received",2016-06-21
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030026,1, Revised,2016-07-20
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030026,1, Accepted,2016-07-27
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030026,1, Published,2016-08-02
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030027,1,"
Received",2016-06-30
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030027,1, Revised,2016-08-11
Antioxidants,2016,5,3,https://doi.org/10.3390/antiox5030027,1, Accepted,2016-08-15
