journal,year,volume,issue,DOI,SI,event,date
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010001,1,"
Received",2015-10-19
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010001,1, Revised,2015-12-04
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010001,1, Accepted,2015-12-16
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010001,1, Published,2015-12-23
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010002,0,"
Received",2015-10-06
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010002,0, Revised,2015-12-08
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010002,0, Accepted,2015-12-09
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010002,0, Published,2015-12-23
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010003,0,"
Received",2015-12-02
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010003,0, Accepted,2015-12-08
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010003,0, Published,2015-12-28
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010004,0,"
Received",2015-09-30
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010004,0, Revised,2015-12-17
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010004,0, Accepted,2015-12-25
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010004,0, Published,2015-12-31
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010005,0,"
Received",2015-11-12
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010005,0, Revised,2015-12-13
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010005,0, Accepted,2015-12-25
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010005,0, Published,2015-12-31
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010006,0,"
Received",2015-10-28
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010006,0, Revised,2015-12-04
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010006,0, Accepted,2015-12-08
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010006,0, Published,2015-12-31
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010007,1,"
Received",2015-11-05
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010007,1, Revised,2015-12-14
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010007,1, Accepted,2015-12-25
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010007,1, Published,2016-01-04
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010008,0,"
Received",2015-10-29
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010008,0, Revised,2015-11-24
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010008,0, Accepted,2015-12-30
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010008,0, Published,2016-01-05
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010009,1,"
Received",2015-12-05
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010009,1, Revised,2016-01-08
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010009,1, Accepted,2016-01-08
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010009,1, Published,2016-01-13
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010010,1,"
Received",2015-11-19
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010010,1, Revised,2016-01-11
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010010,1, Accepted,2016-01-13
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010010,1, Published,2016-01-15
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010011,0,"
Received",2015-11-17
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010011,0, Revised,2015-12-23
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010011,0, Accepted,2015-12-25
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010011,0, Published,2016-01-19
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010012,0,"
Received",2015-11-23
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010012,0, Revised,2015-12-23
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010012,0, Accepted,2016-01-13
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010012,0, Published,2016-01-21
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010013,0,"
Received",2016-01-21
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010013,0, Accepted,2016-01-21
Atmosphere,2016,7,1,https://doi.org/10.3390/atmos7010013,0, Published,2016-01-21
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020014,0,"
Received",2015-09-23
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020014,0, Revised,2016-01-08
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020014,0, Accepted,2016-01-12
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020014,0, Published,2016-01-22
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020015,1,"
Received",2015-09-29
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020015,1, Revised,2015-12-31
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020015,1, Accepted,2016-01-12
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020015,1, Published,2016-01-26
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020016,1,"
Received",2015-11-06
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020016,1, Revised,2016-01-13
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020016,1, Accepted,2016-01-25
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020016,1, Published,2016-01-28
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020017,1,"
Received",2015-11-20
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020017,1, Revised,2016-01-19
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020017,1, Accepted,2016-01-22
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020017,1, Published,2016-01-28
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020018,1,"
Received",2015-12-15
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020018,1, Revised,2016-01-18
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020018,1, Accepted,2016-01-22
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020018,1, Published,2016-01-29
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020019,1,"
Received",2015-11-28
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020019,1, Revised,2016-01-19
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020019,1, Accepted,2016-01-25
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020019,1, Published,2016-01-29
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020020,0,"
Received",2015-12-10
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020020,0, Revised,2016-01-17
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020020,0, Accepted,2016-01-19
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020020,0, Published,2016-01-29
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020021,1,"
Received",2016-01-01
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020021,1, Revised,2016-01-22
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020021,1, Accepted,2016-01-25
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020021,1, Published,2016-01-30
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020022,1,"
Received",2015-11-10
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020022,1, Revised,2016-01-17
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020022,1, Accepted,2016-01-18
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020022,1, Published,2016-02-02
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020023,1,"
Received",2015-12-06
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020023,1, Revised,2016-01-25
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020023,1, Accepted,2016-01-26
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020023,1, Published,2016-02-05
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020024,1,"
Received",2015-12-08
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020024,1, Revised,2016-01-16
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020024,1, Accepted,2016-01-26
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020024,1, Published,2016-02-05
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020025,1,"
Received",2015-11-10
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020025,1, Accepted,2016-01-21
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020025,1, Published,2016-02-06
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020026,1,"
Received",2015-10-13
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020026,1, Accepted,2016-01-22
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020026,1, Published,2016-02-06
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020027,0,"
Received",2015-12-22
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020027,0, Revised,2016-01-28
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020027,0, Accepted,2016-01-29
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020027,0, Published,2016-02-15
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020028,1,"
Received",2015-11-30
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020028,1, Revised,2016-02-03
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020028,1, Accepted,2016-02-03
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020028,1, Published,2016-02-15
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020029,1,"
Received",2015-12-31
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020029,1, Revised,2016-01-27
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020029,1, Accepted,2016-02-04
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020029,1, Published,2016-02-17
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020030,1,"
Received",2016-01-06
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020030,1, Revised,2016-02-04
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020030,1, Accepted,2016-02-15
Atmosphere,2016,7,2,https://doi.org/10.3390/atmos7020030,1, Published,2016-02-18
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030031,1,"
Received",2015-10-20
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030031,1, Revised,2016-01-13
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030031,1, Accepted,2016-01-15
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030031,1, Published,2016-02-23
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030032,0,"
Received",2015-12-18
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030032,0, Revised,2016-02-09
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030032,0, Accepted,2016-02-13
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030032,0, Published,2016-02-25
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030033,1,"
Received",2016-01-29
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030033,1, Revised,2016-02-09
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030033,1, Accepted,2016-02-17
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030033,1, Published,2016-02-26
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030034,1,"
Received",2015-11-04
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030034,1, Revised,2016-02-11
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030034,1, Accepted,2016-02-19
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030034,1, Published,2016-02-26
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030035,0,"
Received",2015-11-24
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030035,0, Revised,2016-02-17
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030035,0, Accepted,2016-02-24
Atmosphere,2016,7,3,https://doi.org/10.3390/atmos7030035,0, Published,2016-02-29
