journal,year,volume,issue,DOI,SI,event,date
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010001,1,"
Received",2015-08-28
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010001,1, Revised,2015-11-11
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010001,1, Accepted,2015-11-24
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010001,1, Published,2015-12-23
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010002,0,"
Received",2016-01-21
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010002,0, Accepted,2016-01-21
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010002,0, Published,2016-01-22
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010003,1,"
Received",2015-11-23
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010003,1, Revised,2016-01-13
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010003,1, Accepted,2016-01-26
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010003,1, Published,2016-02-04
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010004,1,"
Received",2015-11-17
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010004,1, Revised,2016-01-26
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010004,1, Accepted,2016-02-05
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010004,1, Published,2016-03-01
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010005,0,"
Received",2015-11-25
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010005,0, Revised,2016-02-24
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010005,0, Accepted,2016-02-26
Chemosensors,2016,4,1,https://doi.org/10.3390/chemosensors4010005,0, Published,2016-03-11
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020006,1,"
Received",2015-11-25
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020006,1, Revised,2016-01-18
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020006,1, Accepted,2016-03-16
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020006,1, Published,2016-03-23
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020007,0,"
Received",2016-01-19
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020007,0, Revised,2016-03-21
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020007,0, Accepted,2016-04-06
Chemosensors,2016,4,2,https://doi.org/10.3390/chemosensors4020007,0, Published,2016-04-21
