journal,year,volume,issue,DOI,SI,event,date
Children,2016,3,1,https://doi.org/10.3390/children3010001,0,"
Received",2015-11-25
Children,2016,3,1,https://doi.org/10.3390/children3010001,0, Revised,2015-12-17
Children,2016,3,1,https://doi.org/10.3390/children3010001,0, Accepted,2015-12-18
Children,2016,3,1,https://doi.org/10.3390/children3010001,0, Published,2016-01-08
Children,2016,3,1,https://doi.org/10.3390/children3010002,0,"
Received",2016-01-28
Children,2016,3,1,https://doi.org/10.3390/children3010002,0, Accepted,2016-01-28
Children,2016,3,1,https://doi.org/10.3390/children3010002,0, Published,2016-01-28
Children,2016,3,1,https://doi.org/10.3390/children3010003,0,"
Received",2015-10-26
Children,2016,3,1,https://doi.org/10.3390/children3010003,0, Revised,2015-12-10
Children,2016,3,1,https://doi.org/10.3390/children3010003,0, Accepted,2016-01-13
Children,2016,3,1,https://doi.org/10.3390/children3010003,0, Published,2016-02-03
Children,2016,3,1,https://doi.org/10.3390/children3010004,0,"
Received",2015-12-23
Children,2016,3,1,https://doi.org/10.3390/children3010004,0, Accepted,2016-01-06
Children,2016,3,1,https://doi.org/10.3390/children3010004,0, Published,2016-02-08
Children,2016,3,1,https://doi.org/10.3390/children3010005,1,"
Received",2015-12-21
Children,2016,3,1,https://doi.org/10.3390/children3010005,1, Revised,2016-03-03
Children,2016,3,1,https://doi.org/10.3390/children3010005,1, Accepted,2016-03-08
Children,2016,3,1,https://doi.org/10.3390/children3010005,1, Published,2016-03-10
Children,2016,3,2,https://doi.org/10.3390/children3020006,0,"
Received",2016-04-13
Children,2016,3,2,https://doi.org/10.3390/children3020006,0, Accepted,2016-04-13
Children,2016,3,2,https://doi.org/10.3390/children3020006,0, Published,2016-04-18
Children,2016,3,2,https://doi.org/10.3390/children3020007,0,"
Received",2016-04-07
Children,2016,3,2,https://doi.org/10.3390/children3020007,0, Revised,2016-04-15
Children,2016,3,2,https://doi.org/10.3390/children3020007,0, Accepted,2016-04-20
Children,2016,3,2,https://doi.org/10.3390/children3020007,0, Published,2016-04-29
Children,2016,3,2,https://doi.org/10.3390/children3020008,0,"
Received",2016-04-15
Children,2016,3,2,https://doi.org/10.3390/children3020008,0, Accepted,2016-04-19
Children,2016,3,2,https://doi.org/10.3390/children3020008,0, Published,2016-05-10
Children,2016,3,2,https://doi.org/10.3390/children3020009,0,"
Received",2016-02-19
Children,2016,3,2,https://doi.org/10.3390/children3020009,0, Revised,2016-05-06
Children,2016,3,2,https://doi.org/10.3390/children3020009,0, Accepted,2016-05-12
Children,2016,3,2,https://doi.org/10.3390/children3020009,0, Published,2016-05-17
Children,2016,3,2,https://doi.org/10.3390/children3020010,1,"
Received",2016-04-22
Children,2016,3,2,https://doi.org/10.3390/children3020010,1, Revised,2016-06-02
Children,2016,3,2,https://doi.org/10.3390/children3020010,1, Accepted,2016-06-13
Children,2016,3,2,https://doi.org/10.3390/children3020010,1, Published,2016-06-20
Children,2016,3,3,https://doi.org/10.3390/children3030011,0,"
Received",2016-04-11
Children,2016,3,3,https://doi.org/10.3390/children3030011,0, Revised,2016-06-10
Children,2016,3,3,https://doi.org/10.3390/children3030011,0, Accepted,2016-06-22
Children,2016,3,3,https://doi.org/10.3390/children3030011,0, Published,2016-07-01
Children,2016,3,3,https://doi.org/10.3390/children3030012,0,"
Received",2016-06-22
Children,2016,3,3,https://doi.org/10.3390/children3030012,0, Revised,2016-07-14
Children,2016,3,3,https://doi.org/10.3390/children3030012,0, Accepted,2016-07-21
Children,2016,3,3,https://doi.org/10.3390/children3030012,0, Published,2016-07-30
Children,2016,3,3,https://doi.org/10.3390/children3030013,0,"
Received",2016-02-21
Children,2016,3,3,https://doi.org/10.3390/children3030013,0, Revised,2016-07-22
Children,2016,3,3,https://doi.org/10.3390/children3030013,0, Accepted,2016-07-28
Children,2016,3,3,https://doi.org/10.3390/children3030013,0, Published,2016-08-04
Children,2016,3,3,https://doi.org/10.3390/children3030014,1,"
Received",2016-08-08
Children,2016,3,3,https://doi.org/10.3390/children3030014,1, Accepted,2016-08-31
Children,2016,3,3,https://doi.org/10.3390/children3030014,1, Published,2016-09-10
Children,2016,3,3,https://doi.org/10.3390/children3030015,1,"
Received",2016-08-16
Children,2016,3,3,https://doi.org/10.3390/children3030015,1, Revised,2016-09-12
Children,2016,3,3,https://doi.org/10.3390/children3030015,1, Accepted,2016-09-12
