journal,year,volume,issue,DOI,SI,event,date
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010001,1,"
Received",2015-10-26
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010001,1, Revised,2015-11-18
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010001,1, Accepted,2015-12-17
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010001,1, Published,2015-12-22
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010002,1,"
Received",2015-11-16
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010002,1, Revised,2015-12-14
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010002,1, Accepted,2015-12-16
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010002,1, Published,2015-12-24
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010003,1,"
Received",2015-11-10
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010003,1, Revised,2015-12-15
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010003,1, Accepted,2015-12-17
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010003,1, Published,2015-12-25
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010004,0,"
Received",2015-11-17
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010004,0, Revised,2015-12-22
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010004,0, Accepted,2015-12-22
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010004,0, Published,2015-12-25
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010005,1,"
Received",2015-07-31
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010005,1, Revised,2015-12-11
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010005,1, Accepted,2015-12-22
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010005,1, Published,2015-12-29
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010006,1,"
Received",2015-11-22
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010006,1, Revised,2015-12-19
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010006,1, Accepted,2015-12-28
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010006,1, Published,2015-12-31
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010007,1,"
Received",2015-12-09
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010007,1, Revised,2015-12-28
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010007,1, Accepted,2015-12-30
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010007,1, Published,2016-01-04
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010008,0,"
Received",2015-12-08
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010008,0, Revised,2015-12-28
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010008,0, Accepted,2015-12-31
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010008,0, Published,2016-01-05
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010009,1,"
Received",2015-12-28
Crystals,2016,6,1,https://doi.org/10.3390/cryst6010009,1, Accepted,2016-01-04
