journal,year,volume,issue,DOI,SI,event,date
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,"
(This article belongs to the Special Issue Feature Papers)","
Received",2015-10-20
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,"
(This article belongs to the Special Issue Feature Papers)", Revised,2015-12-14
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,"
(This article belongs to the Special Issue Feature Papers)", Accepted,2015-12-17
Actuators,2016,5,1,https://doi.org/10.3390/act5010001,"
(This article belongs to the Special Issue Feature Papers)", Published,2015-12-23
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,"
(This article belongs to the Special Issue Piezoelectric Actuators)","
Received",2015-11-11
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Revised,2015-12-16
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Accepted,2015-12-25
Actuators,2016,5,1,https://doi.org/10.3390/act5010002,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Published,2015-12-30
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,Normal Issue,"
Received",2015-08-09
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,Normal Issue, Revised,2015-12-25
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,Normal Issue, Accepted,2015-12-30
Actuators,2016,5,1,https://doi.org/10.3390/act5010003,Normal Issue, Published,2016-01-04
Actuators,2016,5,1,https://doi.org/10.3390/act5010004,Normal Issue,"
Received",2016-01-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010004,Normal Issue, Accepted,2016-01-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010004,Normal Issue, Published,2016-01-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,"
(This article belongs to the Special Issue Piezoelectric Actuators)","
Received",2015-12-03
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Revised,2016-01-12
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Accepted,2016-02-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010005,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Published,2016-02-22
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,"
(This article belongs to the Special Issue Piezoelectric Actuators)","
Received",2015-12-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Revised,2016-02-01
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Accepted,2016-02-17
Actuators,2016,5,1,https://doi.org/10.3390/act5010006,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Published,2016-02-26
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,"
(This article belongs to the Special Issue Piezoelectric Actuators)","
Received",2015-12-14
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Revised,2016-01-31
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Accepted,2016-02-15
Actuators,2016,5,1,https://doi.org/10.3390/act5010007,"
(This article belongs to the Special Issue Piezoelectric Actuators)", Published,2016-02-29
