journal,year,volume,issue,DOI,SI,event,date
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,1,"
Received",2015-07-07
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,1, Revised,2015-12-17
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,1, Accepted,2015-12-18
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,1, Published,2015-12-25
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,1,"
Received",2015-11-09
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,1, Revised,2015-12-10
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,1, Accepted,2015-12-16
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,1, Published,2015-12-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010003,1,"
Received",2015-09-07
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010003,1, Accepted,2015-12-14
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010003,1, Published,2016-01-11
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,1,"
Received",2015-10-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,1, Revised,2015-12-11
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,1, Accepted,2015-12-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,1, Published,2016-01-18
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,1,"
Received",2015-09-16
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,1, Revised,2016-01-07
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,1, Accepted,2016-01-13
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,1, Published,2016-01-19
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,1,"
Received",2015-10-12
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,1, Revised,2016-01-05
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,1, Accepted,2016-01-13
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,1, Published,2016-01-26
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,1,"
Received",2015-09-15
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,1, Revised,2016-01-19
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,1, Accepted,2016-01-21
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,1, Published,2016-01-30
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010008,0,"
Received",2016-02-02
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010008,0, Accepted,2016-02-02
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010008,0, Published,2016-02-02
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,1,"
Received",2015-09-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,1, Revised,2016-01-20
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,1, Accepted,2016-02-13
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,1, Published,2016-02-23
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010010,1,"
Received",2015-07-31
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010010,1, Revised,2016-03-01
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010010,1, Accepted,2016-03-04
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010010,1, Published,2016-03-10
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020011,0,"
Received",2015-10-28
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020011,0, Revised,2016-03-09
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020011,0, Accepted,2016-03-09
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020011,0, Published,2016-03-24
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020012,0,"
Received",2015-11-28
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020012,0, Revised,2016-03-08
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020012,0, Accepted,2016-03-14
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020012,0, Published,2016-03-24
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020013,0,"
Received",2015-08-25
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020013,0, Accepted,2016-01-22
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020013,0, Published,2016-03-30
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020014,1,"
Received",2015-11-27
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020014,1, Revised,2016-03-21
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020014,1, Accepted,2016-03-23
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020014,1, Published,2016-04-01
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020015,1,"
Received",2015-12-17
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020015,1, Revised,2016-03-28
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020015,1, Accepted,2016-04-01
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020015,1, Published,2016-04-08
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020016,1,"
Received",2015-11-27
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020016,1, Revised,2016-04-08
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020016,1, Accepted,2016-04-11
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020016,1, Published,2016-04-14
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020017,1,"
Received",2016-02-26
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020017,1, Revised,2016-04-01
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020017,1, Accepted,2016-04-12
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020017,1, Published,2016-04-18
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020018,0,"
Received",2015-12-09
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020018,0, Revised,2016-03-21
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020018,0, Accepted,2016-03-21
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020018,0, Published,2016-04-20
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020019,1,"
Received",2016-04-06
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020019,1, Revised,2016-04-11
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020019,1, Accepted,2016-04-18
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020019,1, Published,2016-04-25
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020020,1,"
Received",2015-10-16
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020020,1, Revised,2016-03-25
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020020,1, Accepted,2016-04-13
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020020,1, Published,2016-04-26
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020021,1,"
Received",2015-12-04
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020021,1, Revised,2016-05-06
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020021,1, Accepted,2016-05-16
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020021,1, Published,2016-05-23
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020022,1,"
Received",2016-02-27
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020022,1, Revised,2016-05-12
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020022,1, Accepted,2016-05-18
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020022,1, Published,2016-05-24
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020023,0,"
Received",2016-02-02
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020023,0, Revised,2016-04-22
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020023,0, Accepted,2016-05-23
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020023,0, Published,2016-05-26
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020024,1,"
Received",2015-10-28
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020024,1, Revised,2016-03-07
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020024,1, Accepted,2016-04-20
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020024,1, Published,2016-05-26
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020025,1,"
Received",2016-03-08
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020025,1, Revised,2016-05-20
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020025,1, Accepted,2016-05-23
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020025,1, Published,2016-05-27
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020026,1,"
Received",2016-04-19
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020026,1, Revised,2016-05-24
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020026,1, Accepted,2016-05-25
Agriculture,2016,6,2,https://doi.org/10.3390/agriculture6020026,1, Published,2016-06-01
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030027,1,"
Received",2016-03-03
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030027,1, Revised,2016-06-03
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030027,1, Accepted,2016-06-03
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030027,1, Published,2016-06-24
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030028,1,"
Received",2016-03-21
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030028,1, Revised,2016-06-12
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030028,1, Accepted,2016-06-29
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030028,1, Published,2016-07-08
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030029,1,"
Received",2016-03-29
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030029,1, Revised,2016-06-16
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030029,1, Accepted,2016-07-04
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030029,1, Published,2016-07-12
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030030,1,"
Received",2016-06-23
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030030,1, Revised,2016-07-13
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030030,1, Accepted,2016-07-15
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030030,1, Published,2016-07-22
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030031,0,"
Received",2016-05-15
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030031,0, Revised,2016-07-11
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030031,0, Accepted,2016-07-19
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030031,0, Published,2016-07-25
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030032,0,"
Received",2016-05-17
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030032,0, Revised,2016-07-14
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030032,0, Accepted,2016-07-21
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030032,0, Published,2016-07-26
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030033,1,"
Received",2016-04-08
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030033,1, Revised,2016-07-18
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030033,1, Accepted,2016-07-21
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030033,1, Published,2016-07-26
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030034,1,"
Received",2016-03-30
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030034,1, Revised,2016-07-18
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030034,1, Accepted,2016-07-19
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030034,1, Published,2016-07-29
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030035,0,"
Received",2016-05-29
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030035,0, Revised,2016-07-15
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030035,0, Accepted,2016-07-20
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030035,0, Published,2016-07-30
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030036,1,"
Received",2016-06-22
Agriculture,2016,6,3,https://doi.org/10.3390/agriculture6030036,1, Revised,2016-07-16
