journal,year,volume,issue,DOI,SI,event,date
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010001,"
(This article belongs to the Special Issue Nitrogen Transport and Assimilation in Plants)","
Received",2015-09-10
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010001,"
(This article belongs to the Special Issue Nitrogen Transport and Assimilation in Plants)", Revised,2015-12-03
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010001,"
(This article belongs to the Special Issue Nitrogen Transport and Assimilation in Plants)", Accepted,2015-12-09
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010001,"
(This article belongs to the Special Issue Nitrogen Transport and Assimilation in Plants)", Published,2016-01-04
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010002,Normal Issue,"
Received",2015-11-09
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010002,Normal Issue, Revised,2015-12-18
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010002,Normal Issue, Accepted,2015-12-23
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010002,Normal Issue, Published,2016-01-02
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010003,"
(This article belongs to the Special Issue Organic Agriculture: Crop Response and Cropping Strategies for Reducing the Effects of Abiotic and Biotic Stress)","
Received",2015-10-31
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010003,"
(This article belongs to the Special Issue Organic Agriculture: Crop Response and Cropping Strategies for Reducing the Effects of Abiotic and Biotic Stress)", Revised,2015-12-23
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010003,"
(This article belongs to the Special Issue Organic Agriculture: Crop Response and Cropping Strategies for Reducing the Effects of Abiotic and Biotic Stress)", Accepted,2015-12-24
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010003,"
(This article belongs to the Special Issue Organic Agriculture: Crop Response and Cropping Strategies for Reducing the Effects of Abiotic and Biotic Stress)", Published,2016-01-05
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010004,"
(This article belongs to the Special Issue Breeding for Disease Resistance)","
Received",2015-11-20
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010004,"
(This article belongs to the Special Issue Breeding for Disease Resistance)", Revised,2015-12-23
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010004,"
(This article belongs to the Special Issue Breeding for Disease Resistance)", Accepted,2015-12-28
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010004,"
(This article belongs to the Special Issue Breeding for Disease Resistance)", Published,2016-01-06
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010005,"
(This article belongs to the Special Issue Interactions between Plant Rhizosphere and Soil Organisms)","
Received",2015-11-06
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010005,"
(This article belongs to the Special Issue Interactions between Plant Rhizosphere and Soil Organisms)", Revised,2015-12-23
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010005,"
(This article belongs to the Special Issue Interactions between Plant Rhizosphere and Soil Organisms)", Accepted,2016-01-05
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010005,"
(This article belongs to the Special Issue Interactions between Plant Rhizosphere and Soil Organisms)", Published,2016-01-12
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010006,Normal Issue,"
Received",2016-01-21
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010006,Normal Issue, Accepted,2016-01-21
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010006,Normal Issue, Published,2016-01-22
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010007,"
(This article belongs to the Special Issue Practical Use of Crop Models in Agronomy)","
Received",2015-11-21
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010007,"
(This article belongs to the Special Issue Practical Use of Crop Models in Agronomy)", Revised,2016-01-08
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010007,"
(This article belongs to the Special Issue Practical Use of Crop Models in Agronomy)", Accepted,2016-01-18
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010007,"
(This article belongs to the Special Issue Practical Use of Crop Models in Agronomy)", Published,2016-01-22
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010008,"
(This article belongs to the Special Issue Advanced Agronomy with Impact for Food Security)","
Received",2015-10-26
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010008,"
(This article belongs to the Special Issue Advanced Agronomy with Impact for Food Security)", Revised,2016-01-05
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010008,"
(This article belongs to the Special Issue Advanced Agronomy with Impact for Food Security)", Accepted,2016-01-15
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010008,"
(This article belongs to the Special Issue Advanced Agronomy with Impact for Food Security)", Published,2016-02-12
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010009,"
(This article belongs to the Special Issue Accumulation and Distribution of Elements in Crop Plants)","
Received",2015-07-30
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010009,"
(This article belongs to the Special Issue Accumulation and Distribution of Elements in Crop Plants)", Revised,2016-01-12
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010009,"
(This article belongs to the Special Issue Accumulation and Distribution of Elements in Crop Plants)", Accepted,2016-01-25
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010009,"
(This article belongs to the Special Issue Accumulation and Distribution of Elements in Crop Plants)", Published,2016-01-28
Agronomy,2016,6,1,https://doi.org/10.3390/agronomy6010010,"
(This article belongs to the Special Issue Organic Agriculture: Crop Response and Cropping Strategies for Reducing the Effects of Abiotic and Biotic Stress)","
Received",2015-10-11
