journal,year,volume,issue,DOI,SI,event,date
Children,2016,3,1,https://doi.org/10.3390/children3010001,Normal Issue,"
Received",2015-11-25
Children,2016,3,1,https://doi.org/10.3390/children3010001,Normal Issue, Revised,2015-12-17
Children,2016,3,1,https://doi.org/10.3390/children3010001,Normal Issue, Accepted,2015-12-18
Children,2016,3,1,https://doi.org/10.3390/children3010001,Normal Issue, Published,2016-01-08
Children,2016,3,1,https://doi.org/10.3390/children3010002,Normal Issue,"
Received",2016-01-28
Children,2016,3,1,https://doi.org/10.3390/children3010002,Normal Issue, Accepted,2016-01-28
Children,2016,3,1,https://doi.org/10.3390/children3010002,Normal Issue, Published,2016-01-28
Children,2016,3,1,https://doi.org/10.3390/children3010003,Normal Issue,"
Received",2015-10-26
Children,2016,3,1,https://doi.org/10.3390/children3010003,Normal Issue, Revised,2015-12-10
Children,2016,3,1,https://doi.org/10.3390/children3010003,Normal Issue, Accepted,2016-01-13
Children,2016,3,1,https://doi.org/10.3390/children3010003,Normal Issue, Published,2016-02-03
Children,2016,3,1,https://doi.org/10.3390/children3010004,Normal Issue,"
Received",2015-12-23
Children,2016,3,1,https://doi.org/10.3390/children3010004,Normal Issue, Accepted,2016-01-06
Children,2016,3,1,https://doi.org/10.3390/children3010004,Normal Issue, Published,2016-02-08
Children,2016,3,1,https://doi.org/10.3390/children3010005,"
(This article belongs to the Collection Advances in Pediatric Digestive Diseases)","
Received",2015-12-21
Children,2016,3,1,https://doi.org/10.3390/children3010005,"
(This article belongs to the Collection Advances in Pediatric Digestive Diseases)", Revised,2016-03-03
Children,2016,3,1,https://doi.org/10.3390/children3010005,"
(This article belongs to the Collection Advances in Pediatric Digestive Diseases)", Accepted,2016-03-08
Children,2016,3,1,https://doi.org/10.3390/children3010005,"
(This article belongs to the Collection Advances in Pediatric Digestive Diseases)", Published,2016-03-10
Children,2016,3,2,https://doi.org/10.3390/children3020006,Normal Issue,"
Received",2016-04-13
Children,2016,3,2,https://doi.org/10.3390/children3020006,Normal Issue, Accepted,2016-04-13
Children,2016,3,2,https://doi.org/10.3390/children3020006,Normal Issue, Published,2016-04-18
Children,2016,3,2,https://doi.org/10.3390/children3020007,Normal Issue,"
Received",2016-04-07
Children,2016,3,2,https://doi.org/10.3390/children3020007,Normal Issue, Revised,2016-04-15
Children,2016,3,2,https://doi.org/10.3390/children3020007,Normal Issue, Accepted,2016-04-20
Children,2016,3,2,https://doi.org/10.3390/children3020007,Normal Issue, Published,2016-04-29
Children,2016,3,2,https://doi.org/10.3390/children3020008,Normal Issue,"
Received",2016-04-15
Children,2016,3,2,https://doi.org/10.3390/children3020008,Normal Issue, Accepted,2016-04-19
Children,2016,3,2,https://doi.org/10.3390/children3020008,Normal Issue, Published,2016-05-10
Children,2016,3,2,https://doi.org/10.3390/children3020009,Normal Issue,"
Received",2016-02-19
Children,2016,3,2,https://doi.org/10.3390/children3020009,Normal Issue, Revised,2016-05-06
Children,2016,3,2,https://doi.org/10.3390/children3020009,Normal Issue, Accepted,2016-05-12
Children,2016,3,2,https://doi.org/10.3390/children3020009,Normal Issue, Published,2016-05-17
Children,2016,3,2,https://doi.org/10.3390/children3020010,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)","
Received",2016-04-22
Children,2016,3,2,https://doi.org/10.3390/children3020010,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Revised,2016-06-02
Children,2016,3,2,https://doi.org/10.3390/children3020010,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Accepted,2016-06-13
Children,2016,3,2,https://doi.org/10.3390/children3020010,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Published,2016-06-20
Children,2016,3,3,https://doi.org/10.3390/children3030011,Normal Issue,"
Received",2016-04-11
Children,2016,3,3,https://doi.org/10.3390/children3030011,Normal Issue, Revised,2016-06-10
Children,2016,3,3,https://doi.org/10.3390/children3030011,Normal Issue, Accepted,2016-06-22
Children,2016,3,3,https://doi.org/10.3390/children3030011,Normal Issue, Published,2016-07-01
Children,2016,3,3,https://doi.org/10.3390/children3030012,Normal Issue,"
Received",2016-06-22
Children,2016,3,3,https://doi.org/10.3390/children3030012,Normal Issue, Revised,2016-07-14
Children,2016,3,3,https://doi.org/10.3390/children3030012,Normal Issue, Accepted,2016-07-21
Children,2016,3,3,https://doi.org/10.3390/children3030012,Normal Issue, Published,2016-07-30
Children,2016,3,3,https://doi.org/10.3390/children3030013,Normal Issue,"
Received",2016-02-21
Children,2016,3,3,https://doi.org/10.3390/children3030013,Normal Issue, Revised,2016-07-22
Children,2016,3,3,https://doi.org/10.3390/children3030013,Normal Issue, Accepted,2016-07-28
Children,2016,3,3,https://doi.org/10.3390/children3030013,Normal Issue, Published,2016-08-04
Children,2016,3,3,https://doi.org/10.3390/children3030014,"
(This article belongs to the Special Issue The Potential Impact of Reliance on Expressed Milk Feeding for Maternal and Child Health)","
Received",2016-08-08
Children,2016,3,3,https://doi.org/10.3390/children3030014,"
(This article belongs to the Special Issue The Potential Impact of Reliance on Expressed Milk Feeding for Maternal and Child Health)", Accepted,2016-08-31
Children,2016,3,3,https://doi.org/10.3390/children3030014,"
(This article belongs to the Special Issue The Potential Impact of Reliance on Expressed Milk Feeding for Maternal and Child Health)", Published,2016-09-10
Children,2016,3,3,https://doi.org/10.3390/children3030015,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)","
Received",2016-08-16
Children,2016,3,3,https://doi.org/10.3390/children3030015,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Revised,2016-09-12
Children,2016,3,3,https://doi.org/10.3390/children3030015,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Accepted,2016-09-12
Children,2016,3,3,https://doi.org/10.3390/children3030015,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Published,2016-09-19
Children,2016,3,3,https://doi.org/10.3390/children3030016,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)","
Received",2016-08-08
Children,2016,3,3,https://doi.org/10.3390/children3030016,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Revised,2016-09-09
Children,2016,3,3,https://doi.org/10.3390/children3030016,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Accepted,2016-09-16
Children,2016,3,3,https://doi.org/10.3390/children3030016,"
(This article belongs to the Special Issue Chronic and Recurrent Pain)", Published,2016-09-20
Children,2016,3,4,https://doi.org/10.3390/children3040017,Normal Issue,"
Received",2016-08-08
Children,2016,3,4,https://doi.org/10.3390/children3040017,Normal Issue, Revised,2016-09-14
Children,2016,3,4,https://doi.org/10.3390/children3040017,Normal Issue, Accepted,2016-09-19
Children,2016,3,4,https://doi.org/10.3390/children3040017,Normal Issue, Published,2016-09-23
Children,2016,3,4,https://doi.org/10.3390/children3040018,"
(This article belongs to the Special Issue The Potential Impact of Reliance on Expressed Milk Feeding for Maternal and Child Health)","
Received",2016-07-01
Children,2016,3,4,https://doi.org/10.3390/children3040018,"
(This article belongs to the Special Issue The Potential Impact of Reliance on Expressed Milk Feeding for Maternal and Child Health)", Revised,2016-09-19
