journal,year,volume,issue,DOI,SI,event,date
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010001,1,"
Received",2015-09-16
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010001,1, Revised,2015-11-16
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010001,1, Accepted,2015-11-30
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010001,1, Published,2015-12-31
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010002,1,"
Received",2015-08-03
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010002,1, Revised,2015-12-25
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010002,1, Accepted,2016-01-07
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010002,1, Published,2016-01-12
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010003,1,"
Received",2015-11-09
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010003,1, Revised,2015-12-27
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010003,1, Accepted,2016-01-06
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010003,1, Published,2016-01-14
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010004,1,"
Received",2015-12-11
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010004,1, Revised,2016-01-13
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010004,1, Accepted,2016-01-15
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010004,1, Published,2016-01-22
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010005,0,"
Received",2016-01-22
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010005,0, Accepted,2016-01-22
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010005,0, Published,2016-01-22
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010006,1,"
Received",2015-12-11
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010006,1, Revised,2016-01-11
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010006,1, Accepted,2016-01-20
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010006,1, Published,2016-01-27
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010007,1,"
Received",2015-10-15
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010007,1, Revised,2015-12-30
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010007,1, Accepted,2016-01-20
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010007,1, Published,2016-01-27
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010008,1,"
Received",2015-11-30
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010008,1, Revised,2016-01-12
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010008,1, Accepted,2016-01-19
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010008,1, Published,2016-02-03
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010009,1,"
Received",2015-11-22
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010009,1, Revised,2016-01-23
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010009,1, Accepted,2016-01-28
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010009,1, Published,2016-02-18
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010010,1,"
Received",2015-12-29
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010010,1, Revised,2016-02-20
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010010,1, Accepted,2016-02-26
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010010,1, Published,2016-03-02
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010011,1,"
Received",2015-12-16
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010011,1, Revised,2016-02-19
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010011,1, Accepted,2016-03-02
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010011,1, Published,2016-03-09
Coatings,2016,6,1,https://doi.org/10.3390/coatings6010012,1,"
Received",2015-12-17
