journal,year,volume,issue,DOI,SI,event,date
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010001,1,"
Received",2015-12-05
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010001,1, Revised,2015-12-14
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010001,1, Accepted,2015-12-15
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010001,1, Published,2015-12-22
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010002,1,"
Received",2015-11-04
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010002,1, Revised,2015-12-12
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010002,1, Accepted,2015-12-17
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010002,1, Published,2015-12-23
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010003,1,"
Received",2015-09-07
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010003,1, Revised,2015-12-21
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010003,1, Accepted,2015-12-23
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010003,1, Published,2015-12-30
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010004,0,"
Received",2015-11-24
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010004,0, Revised,2015-12-28
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010004,0, Accepted,2015-12-29
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010004,0, Published,2016-01-06
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010005,1,"
Received",2015-12-11
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010005,1, Revised,2015-12-29
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010005,1, Accepted,2015-12-31
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010005,1, Published,2016-01-07
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010006,1,"
Received",2015-12-09
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010006,1, Revised,2015-12-30
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010006,1, Accepted,2016-01-11
Diagnostics,2016,6,1,https://doi.org/10.3390/diagnostics6010006,1, Published,2016-01-21
