journal,year,volume,issue,DOI,SI,event,date
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)","
Received",2015-11-02
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Revised,2015-12-21
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Accepted,2015-12-22
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Published,2015-12-29
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)","
Received",2015-10-28
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Revised,2015-12-04
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Accepted,2015-12-21
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Published,2015-12-29
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,"
(This article belongs to the Special Issue Camera Traps in Animal Ecology)","
Received",2015-11-01
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,"
(This article belongs to the Special Issue Camera Traps in Animal Ecology)", Revised,2015-12-31
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,"
(This article belongs to the Special Issue Camera Traps in Animal Ecology)", Accepted,2016-01-07
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,"
(This article belongs to the Special Issue Camera Traps in Animal Ecology)", Published,2016-01-12
Diversity,2016,8,1,https://doi.org/10.3390/d8010004,Normal Issue,"
Received",2016-01-25
Diversity,2016,8,1,https://doi.org/10.3390/d8010004,Normal Issue, Accepted,2016-01-25
Diversity,2016,8,1,https://doi.org/10.3390/d8010004,Normal Issue, Published,2016-01-25
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)","
Received",2015-10-19
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Revised,2016-02-14
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Accepted,2016-02-24
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,"
(This article belongs to the Special Issue DNA Barcoding and Biodiversity Research)", Published,2016-02-29
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,Normal Issue,"
Received",2016-01-09
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,Normal Issue, Revised,2016-02-22
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,Normal Issue, Accepted,2016-03-01
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,Normal Issue, Published,2016-03-08
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,"
(This article belongs to the Special Issue Coral Reef Biodiversity and Conservation)","
Received",2015-12-24
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,"
(This article belongs to the Special Issue Coral Reef Biodiversity and Conservation)", Revised,2016-03-17
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,"
(This article belongs to the Special Issue Coral Reef Biodiversity and Conservation)", Accepted,2016-03-17
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,"
(This article belongs to the Special Issue Coral Reef Biodiversity and Conservation)", Published,2016-03-24
Diversity,2016,8,2,https://doi.org/10.3390/d8020008,Normal Issue,"
Received",2015-12-18
