journal,year,volume,issue,DOI,SI,event,date
Forests,2016,7,1,https://doi.org/10.3390/f7010001,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)","
Received",2015-10-01
Forests,2016,7,1,https://doi.org/10.3390/f7010001,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Revised,2015-11-30
Forests,2016,7,1,https://doi.org/10.3390/f7010001,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Accepted,2015-12-09
Forests,2016,7,1,https://doi.org/10.3390/f7010001,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Published,2015-12-22
Forests,2016,7,1,https://doi.org/10.3390/f7010002,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)","
Received",2015-10-15
Forests,2016,7,1,https://doi.org/10.3390/f7010002,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)", Revised,2015-12-07
Forests,2016,7,1,https://doi.org/10.3390/f7010002,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)", Accepted,2015-12-15
Forests,2016,7,1,https://doi.org/10.3390/f7010002,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)", Published,2015-12-22
Forests,2016,7,1,https://doi.org/10.3390/f7010003,Normal Issue,"
Received",2015-09-18
Forests,2016,7,1,https://doi.org/10.3390/f7010003,Normal Issue, Revised,2015-12-01
Forests,2016,7,1,https://doi.org/10.3390/f7010003,Normal Issue, Accepted,2015-12-15
Forests,2016,7,1,https://doi.org/10.3390/f7010003,Normal Issue, Published,2015-12-22
Forests,2016,7,1,https://doi.org/10.3390/f7010004,Normal Issue,"
Received",2015-11-12
Forests,2016,7,1,https://doi.org/10.3390/f7010004,Normal Issue, Revised,2015-12-08
Forests,2016,7,1,https://doi.org/10.3390/f7010004,Normal Issue, Accepted,2015-12-15
Forests,2016,7,1,https://doi.org/10.3390/f7010004,Normal Issue, Published,2015-12-24
Forests,2016,7,1,https://doi.org/10.3390/f7010005,Normal Issue,"
Received",2015-10-05
Forests,2016,7,1,https://doi.org/10.3390/f7010005,Normal Issue, Revised,2015-11-25
Forests,2016,7,1,https://doi.org/10.3390/f7010005,Normal Issue, Accepted,2015-12-17
Forests,2016,7,1,https://doi.org/10.3390/f7010005,Normal Issue, Published,2015-12-24
Forests,2016,7,1,https://doi.org/10.3390/f7010006,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)","
Received",2015-09-06
Forests,2016,7,1,https://doi.org/10.3390/f7010006,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Revised,2015-12-15
Forests,2016,7,1,https://doi.org/10.3390/f7010006,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Accepted,2015-12-17
Forests,2016,7,1,https://doi.org/10.3390/f7010006,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Published,2015-12-25
Forests,2016,7,1,https://doi.org/10.3390/f7010007,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)","
Received",2015-11-06
Forests,2016,7,1,https://doi.org/10.3390/f7010007,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Revised,2015-12-10
Forests,2016,7,1,https://doi.org/10.3390/f7010007,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Accepted,2015-12-17
Forests,2016,7,1,https://doi.org/10.3390/f7010007,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Published,2015-12-25
Forests,2016,7,1,https://doi.org/10.3390/f7010008,Normal Issue,"
Received",2015-09-26
Forests,2016,7,1,https://doi.org/10.3390/f7010008,Normal Issue, Revised,2015-12-21
Forests,2016,7,1,https://doi.org/10.3390/f7010008,Normal Issue, Accepted,2015-12-21
Forests,2016,7,1,https://doi.org/10.3390/f7010008,Normal Issue, Published,2015-12-25
Forests,2016,7,1,https://doi.org/10.3390/f7010009,"
(This article belongs to the Special Issue Biodiversity and Conservation in Forests)","
Received",2015-11-04
Forests,2016,7,1,https://doi.org/10.3390/f7010009,"
(This article belongs to the Special Issue Biodiversity and Conservation in Forests)", Revised,2015-12-04
Forests,2016,7,1,https://doi.org/10.3390/f7010009,"
(This article belongs to the Special Issue Biodiversity and Conservation in Forests)", Accepted,2015-12-21
Forests,2016,7,1,https://doi.org/10.3390/f7010009,"
(This article belongs to the Special Issue Biodiversity and Conservation in Forests)", Published,2015-12-25
Forests,2016,7,1,https://doi.org/10.3390/f7010010,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)","
Received",2015-09-29
Forests,2016,7,1,https://doi.org/10.3390/f7010010,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Revised,2015-12-18
Forests,2016,7,1,https://doi.org/10.3390/f7010010,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Accepted,2015-12-21
Forests,2016,7,1,https://doi.org/10.3390/f7010010,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Published,2015-12-25
Forests,2016,7,1,https://doi.org/10.3390/f7010011,Normal Issue,"
Received",2015-09-04
Forests,2016,7,1,https://doi.org/10.3390/f7010011,Normal Issue, Revised,2015-11-27
Forests,2016,7,1,https://doi.org/10.3390/f7010011,Normal Issue, Accepted,2015-12-21
Forests,2016,7,1,https://doi.org/10.3390/f7010011,Normal Issue, Published,2016-01-02
Forests,2016,7,1,https://doi.org/10.3390/f7010012,Normal Issue,"
Received",2015-10-05
Forests,2016,7,1,https://doi.org/10.3390/f7010012,Normal Issue, Revised,2015-12-11
Forests,2016,7,1,https://doi.org/10.3390/f7010012,Normal Issue, Accepted,2015-12-23
Forests,2016,7,1,https://doi.org/10.3390/f7010012,Normal Issue, Published,2016-01-02
Forests,2016,7,1,https://doi.org/10.3390/f7010014,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)","
Received",2015-10-02
Forests,2016,7,1,https://doi.org/10.3390/f7010014,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Revised,2015-12-10
Forests,2016,7,1,https://doi.org/10.3390/f7010014,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Accepted,2015-12-17
Forests,2016,7,1,https://doi.org/10.3390/f7010014,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Published,2016-01-06
Forests,2016,7,1,https://doi.org/10.3390/f7010015,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)","
Received",2015-10-05
Forests,2016,7,1,https://doi.org/10.3390/f7010015,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)", Revised,2015-12-15
Forests,2016,7,1,https://doi.org/10.3390/f7010015,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)", Accepted,2015-12-21
Forests,2016,7,1,https://doi.org/10.3390/f7010015,"
(This article belongs to the Special Issue Eucalyptus and Pine Nutritional Diagnosis and Fertilizer Prescriptions)", Published,2016-01-06
Forests,2016,7,1,https://doi.org/10.3390/f7010016,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)","
Received",2015-09-18
Forests,2016,7,1,https://doi.org/10.3390/f7010016,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Revised,2015-12-17
Forests,2016,7,1,https://doi.org/10.3390/f7010016,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Accepted,2015-12-24
Forests,2016,7,1,https://doi.org/10.3390/f7010016,"
(This article belongs to the Special Issue Forest Management and Water Resources in the Anthropocene)", Published,2016-01-06
Forests,2016,7,1,https://doi.org/10.3390/f7010017,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)","
Received",2015-09-28
Forests,2016,7,1,https://doi.org/10.3390/f7010017,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Revised,2015-12-28
Forests,2016,7,1,https://doi.org/10.3390/f7010017,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Accepted,2016-01-04
Forests,2016,7,1,https://doi.org/10.3390/f7010017,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)", Published,2016-01-08
Forests,2016,7,1,https://doi.org/10.3390/f7010018,Normal Issue,"
Received",2015-09-09
Forests,2016,7,1,https://doi.org/10.3390/f7010018,Normal Issue, Revised,2015-11-17
Forests,2016,7,1,https://doi.org/10.3390/f7010018,Normal Issue, Accepted,2015-12-18
Forests,2016,7,1,https://doi.org/10.3390/f7010018,Normal Issue, Published,2016-01-11
Forests,2016,7,1,https://doi.org/10.3390/f7010019,Normal Issue,"
Received",2015-11-11
Forests,2016,7,1,https://doi.org/10.3390/f7010019,Normal Issue, Revised,2015-12-31
Forests,2016,7,1,https://doi.org/10.3390/f7010019,Normal Issue, Accepted,2016-01-06
Forests,2016,7,1,https://doi.org/10.3390/f7010019,Normal Issue, Published,2016-01-12
Forests,2016,7,1,https://doi.org/10.3390/f7010020,"
(This article belongs to the Special Issue Joint IUFRO 7.02.02 “Foliage, shoot and stem diseases of forest trees” and 7.03.04 “Diseases and insects in forest nurseries” Working Parties Meeting)","
Received",2015-10-01
