journal,year,volume,issue,DOI,SI,event,date
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,Normal Issue,"
Received",2015-09-01
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,Normal Issue, Revised,2015-12-07
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,Normal Issue, Accepted,2015-12-22
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,Normal Issue, Published,2015-12-31
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,"
(This article belongs to the Section Human Genomics and Genetic Diseases)","
Received",2015-09-29
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,"
(This article belongs to the Section Human Genomics and Genetic Diseases)", Revised,2015-12-21
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,"
(This article belongs to the Section Human Genomics and Genetic Diseases)", Accepted,2016-01-05
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,"
(This article belongs to the Section Human Genomics and Genetic Diseases)", Published,2016-01-14
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)","
Received",2015-10-27
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Revised,2016-01-09
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Accepted,2016-01-12
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Published,2016-01-16
Genes,2016,7,1,https://doi.org/10.3390/genes7010004,Normal Issue,"
Received",2016-01-21
Genes,2016,7,1,https://doi.org/10.3390/genes7010004,Normal Issue, Accepted,2016-01-21
Genes,2016,7,1,https://doi.org/10.3390/genes7010004,Normal Issue, Published,2016-01-21
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,Normal Issue,"
Received",2015-11-20
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,Normal Issue, Revised,2015-12-30
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,Normal Issue, Accepted,2016-01-12
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,Normal Issue, Published,2016-01-22
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,"
(This article belongs to the Section Molecular Genetics and Genomics)","
Received",2015-11-24
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,"
(This article belongs to the Section Molecular Genetics and Genomics)", Revised,2016-01-11
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,"
(This article belongs to the Section Molecular Genetics and Genomics)", Accepted,2016-01-19
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,"
(This article belongs to the Section Molecular Genetics and Genomics)", Published,2016-01-23
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,Normal Issue,"
Received",2015-10-29
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,Normal Issue, Revised,2016-01-13
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,Normal Issue, Accepted,2016-01-19
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,Normal Issue, Published,2016-01-26
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)","
Received",2015-09-24
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Revised,2016-01-14
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Accepted,2016-01-14
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Published,2016-01-28
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,"
(This article belongs to the Section Human Genomics and Genetic Diseases)","
Received",2015-10-06
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,"
(This article belongs to the Section Human Genomics and Genetic Diseases)", Revised,2016-02-01
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,"
(This article belongs to the Section Human Genomics and Genetic Diseases)", Accepted,2016-02-04
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,"
(This article belongs to the Section Human Genomics and Genetic Diseases)", Published,2016-02-16
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,"
(This article belongs to the Section Technologies and Resources for Genetics)","
Received",2015-12-24
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,"
(This article belongs to the Section Technologies and Resources for Genetics)", Revised,2016-02-05
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,"
(This article belongs to the Section Technologies and Resources for Genetics)", Accepted,2016-02-17
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,"
(This article belongs to the Section Technologies and Resources for Genetics)", Published,2016-02-24
Genes,2016,7,3,https://doi.org/10.3390/genes7030011,"
(This article belongs to the Section Molecular Genetics and Genomics)","
Received",2015-12-02
Genes,2016,7,3,https://doi.org/10.3390/genes7030011,"
(This article belongs to the Section Molecular Genetics and Genomics)", Revised,2016-02-19
Genes,2016,7,3,https://doi.org/10.3390/genes7030011,"
(This article belongs to the Section Molecular Genetics and Genomics)", Accepted,2016-02-22
Genes,2016,7,3,https://doi.org/10.3390/genes7030011,"
(This article belongs to the Section Molecular Genetics and Genomics)", Published,2016-02-29
Genes,2016,7,4,https://doi.org/10.3390/genes7040012,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)","
Received",2016-01-08
Genes,2016,7,4,https://doi.org/10.3390/genes7040012,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Revised,2016-03-13
Genes,2016,7,4,https://doi.org/10.3390/genes7040012,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Accepted,2016-03-18
Genes,2016,7,4,https://doi.org/10.3390/genes7040012,"
(This article belongs to the Section Population and Evolutionary Genetics and Genomics)", Published,2016-03-23
Genes,2016,7,4,https://doi.org/10.3390/genes7040013,"
(This article belongs to the Section Molecular Genetics and Genomics)","
Received",2015-12-31
