journal,year,volume,issue,DOI,SI,event,date
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010001,1,"
Received",2015-11-24
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010001,1, Revised,2015-12-09
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010001,1, Accepted,2015-12-14
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010001,1, Published,2015-12-25
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010002,1,"
Received",2015-10-22
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010002,1, Revised,2015-12-01
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010002,1, Accepted,2015-12-21
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010002,1, Published,2015-12-25
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010003,1,"
Received",2015-12-01
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010003,1, Revised,2015-12-14
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010003,1, Accepted,2015-12-22
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010003,1, Published,2015-12-31
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010004,1,"
Received",2015-11-30
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010004,1, Revised,2015-12-22
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010004,1, Accepted,2015-12-24
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010004,1, Published,2015-12-30
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010005,0,"
Received",2015-10-25
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010005,0, Revised,2015-12-16
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010005,0, Accepted,2015-12-24
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010005,0, Published,2016-01-04
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010006,1,"
Received",2015-11-20
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010006,1, Revised,2015-12-18
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010006,1, Accepted,2016-01-04
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010006,1, Published,2016-01-12
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010007,1,"
Received",2015-11-18
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010007,1, Revised,2015-12-16
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010007,1, Accepted,2016-01-04
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010007,1, Published,2016-01-12
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010008,1,"
Received",2015-11-23
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010008,1, Revised,2015-12-18
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010008,1, Accepted,2016-01-05
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010008,1, Published,2016-01-14
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010009,1,"
Received",2015-12-18
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010009,1, Revised,2016-01-03
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010009,1, Accepted,2016-01-11
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010009,1, Published,2016-01-14
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010010,1,"
Received",2015-11-30
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010010,1, Revised,2015-12-25
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010010,1, Accepted,2016-01-14
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010010,1, Published,2016-01-19
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010011,1,"
Received",2015-12-08
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010011,1, Revised,2015-12-23
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010011,1, Accepted,2015-12-30
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010011,1, Published,2016-01-19
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010012,0,"
Received",2016-01-21
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010012,0, Accepted,2016-01-21
J. Clin. Med.,2016,5,1,https://doi.org/10.3390/jcm5010012,0, Published,2016-01-21
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020013,1,"
Received",2015-12-01
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020013,1, Revised,2016-01-11
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020013,1, Accepted,2016-01-19
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020013,1, Published,2016-01-26
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020014,0,"
Received",2015-11-28
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020014,0, Revised,2016-01-16
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020014,0, Accepted,2016-01-19
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020014,0, Published,2016-01-26
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020015,1,"
Received",2015-12-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020015,1, Revised,2016-01-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020015,1, Accepted,2016-01-19
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020015,1, Published,2016-01-26
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020016,1,"
Received",2015-12-23
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020016,1, Revised,2016-01-13
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020016,1, Accepted,2016-01-19
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020016,1, Published,2016-01-26
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020017,1,"
Received",2015-10-20
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020017,1, Revised,2015-12-22
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020017,1, Accepted,2015-12-23
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020017,1, Published,2016-01-27
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020018,1,"
Received",2015-11-05
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020018,1, Revised,2015-12-01
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020018,1, Accepted,2016-01-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020018,1, Published,2016-01-28
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020019,1,"
Received",2015-12-11
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020019,1, Revised,2016-01-05
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020019,1, Accepted,2016-01-28
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020019,1, Published,2016-02-02
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020020,1,"
Received",2015-09-01
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020020,1, Revised,2015-12-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020020,1, Accepted,2016-01-18
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020020,1, Published,2016-02-03
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020021,1,"
Received",2015-11-12
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020021,1, Revised,2016-01-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020021,1, Accepted,2016-01-25
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020021,1, Published,2016-02-03
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020022,1,"
Received",2015-08-02
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020022,1, Revised,2016-01-07
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020022,1, Accepted,2016-01-26
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020022,1, Published,2016-02-04
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020023,1,"
Received",2015-11-18
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020023,1, Revised,2016-01-20
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020023,1, Accepted,2016-01-22
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020023,1, Published,2016-02-04
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020024,1,"
Received",2015-11-29
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020024,1, Revised,2016-01-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020024,1, Accepted,2016-01-26
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020024,1, Published,2016-02-04
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020025,1,"
Received",2015-11-29
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020025,1, Revised,2016-01-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020025,1, Accepted,2016-02-02
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020025,1, Published,2016-02-15
J. Clin. Med.,2016,5,2,https://doi.org/10.3390/jcm5020026,1,"
Received",2015-12-18
