journal,year,volume,issue,DOI,SI,event,date
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,1,"
Received",2015-10-07
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,1, Revised,2015-11-18
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,1, Accepted,2015-12-09
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,1, Published,2015-12-23
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,1,"
Received",2015-11-13
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,1, Revised,2015-12-15
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,1, Accepted,2015-12-17
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,1, Published,2015-12-22
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,0,"
Received",2015-10-13
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,0, Revised,2015-12-07
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,0, Accepted,2015-12-18
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,0, Published,2015-12-24
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,1,"
Received",2015-10-21
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,1, Revised,2015-11-16
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,1, Accepted,2015-12-14
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,1, Published,2015-12-31
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,1,"
Received",2015-12-03
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,1, Revised,2016-01-04
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,1, Accepted,2016-01-05
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,1, Published,2016-01-08
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,1,"
Received",2015-11-24
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,1, Revised,2015-12-21
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,1, Accepted,2016-01-05
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,1, Published,2016-01-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,1,"
Received",2015-10-22
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,1, Revised,2015-12-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,1, Accepted,2015-12-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,1, Published,2016-01-14
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010008,0,"
Received",2016-02-01
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010008,0, Accepted,2016-02-01
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010008,0, Published,2016-02-02
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010009,1,"
Received",2015-12-09
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010009,1, Revised,2016-01-24
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010009,1, Accepted,2016-01-29
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010009,1, Published,2016-02-05
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010010,1,"
Received",2015-12-15
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010010,1, Revised,2016-01-27
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010010,1, Accepted,2016-01-29
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010010,1, Published,2016-02-06
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010011,1,"
Received",2016-01-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010011,1, Revised,2016-02-23
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010011,1, Accepted,2016-02-24
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010011,1, Published,2016-03-03
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020012,0,"
Received",2016-03-02
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020012,0, Revised,2016-04-14
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020012,0, Accepted,2016-04-15
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020012,0, Published,2016-04-19
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020013,0,"
Received",2016-01-19
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020013,0, Revised,2016-04-19
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020013,0, Accepted,2016-04-26
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020013,0, Published,2016-04-30
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020014,1,"
Received",2016-04-07
J. Fungi,2016,2,2,https://doi.org/10.3390/jof2020014,1, Revised,2016-05-11
