journal,year,volume,issue,DOI,SI,event,date
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010001,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)","
Received",2015-10-21
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010001,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Revised,2015-12-16
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010001,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Accepted,2015-12-28
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010001,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Published,2016-01-07
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010002,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)","
Received",2015-10-21
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010002,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Revised,2015-12-07
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010002,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Accepted,2015-12-23
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010002,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Published,2016-01-14
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010003,Normal Issue,"
Received",2015-11-26
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010003,Normal Issue, Revised,2016-01-12
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010003,Normal Issue, Accepted,2016-01-13
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010003,Normal Issue, Published,2016-01-15
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010004,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)","
Received",2015-10-21
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010004,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Revised,2015-12-08
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010004,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Accepted,2015-12-28
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010004,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Published,2016-01-20
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010005,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)","
Received",2015-10-21
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010005,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Revised,2016-01-12
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010005,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Accepted,2016-01-13
J. Pers. Med.,2016,6,1,https://doi.org/10.3390/jpm6010005,"
(This article belongs to the Special Issue Implementing Personalized Medicine in a Large Health Care System)", Published,2016-01-20
