journal,year,volume,issue,DOI,SI,event,date
Medicina,2016,52,1,https://doi.org/10.1016/j.medici.2015.12.001,Normal Issue,"
Received",2015-08-21
Medicina,2016,52,1,https://doi.org/10.1016/j.medici.2015.12.001,Normal Issue, Revised,2015-12-08
Medicina,2016,52,1,https://doi.org/10.1016/j.medici.2015.12.001,Normal Issue, Accepted,2015-12-22
Medicina,2016,52,1,https://doi.org/10.1016/j.medici.2015.12.001,Normal Issue, Published,2016-01-15
Medicina,2017,53,1,https://doi.org/10.1016/j.medici.2017.01.002,Normal Issue,"
Received",2016-07-20
Medicina,2017,53,1,https://doi.org/10.1016/j.medici.2017.01.002,Normal Issue, Revised,2016-12-23
Medicina,2017,53,1,https://doi.org/10.1016/j.medici.2017.01.002,Normal Issue, Accepted,2017-01-16
Medicina,2017,53,1,https://doi.org/10.1016/j.medici.2017.01.002,Normal Issue, Published,2017-01-31
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010001,Normal Issue,"
Received",2017-07-06
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010001,Normal Issue, Revised,2018-02-26
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010001,Normal Issue, Accepted,2018-02-26
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010001,Normal Issue, Published,2018-03-09
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010002,Normal Issue,"
Received",2017-03-19
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010002,Normal Issue, Revised,2018-02-28
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010002,Normal Issue, Accepted,2018-02-28
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010002,Normal Issue, Published,2018-03-12
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010003,Normal Issue,"
Received",2017-05-24
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010003,Normal Issue, Revised,2018-02-28
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010003,Normal Issue, Accepted,2018-03-05
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010003,Normal Issue, Published,2018-03-13
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010004,Normal Issue,"
Received",2017-08-31
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010004,Normal Issue, Revised,2018-03-15
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010004,Normal Issue, Accepted,2018-03-16
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010004,Normal Issue, Published,2018-03-19
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010005,Normal Issue,"
Received",2017-09-02
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010005,Normal Issue, Revised,2018-03-15
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010005,Normal Issue, Accepted,2018-03-16
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010005,Normal Issue, Published,2018-03-20
Medicina,2018,54,1,https://doi.org/10.3390/medicina54010006,Normal Issue,"
Received",2017-10-30
