journal,year,volume,issue,DOI,SI,event,date
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010001,1,"
Received",2015-11-09
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010001,1, Revised,2015-12-14
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010001,1, Accepted,2015-12-19
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010001,1, Published,2015-12-23
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010002,1,"
Received",2015-10-05
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010002,1, Revised,2015-12-07
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010002,1, Accepted,2015-12-19
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010002,1, Published,2016-01-04
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010003,1,"
Received",2015-11-01
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010003,1, Revised,2015-12-17
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010003,1, Accepted,2015-12-22
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010003,1, Published,2015-12-29
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010004,1,"
Received",2015-11-20
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010004,1, Revised,2015-12-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010004,1, Accepted,2015-12-22
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010004,1, Published,2015-12-30
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010005,0,"
Received",2015-10-29
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010005,0, Revised,2015-12-08
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010005,0, Accepted,2015-12-25
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010005,0, Published,2016-01-15
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010006,1,"
Received",2015-11-30
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010006,1, Revised,2015-12-29
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010006,1, Accepted,2016-01-05
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010006,1, Published,2016-01-12
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010007,0,"
Received",2015-12-13
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010007,0, Revised,2015-12-31
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010007,0, Accepted,2016-01-05
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010007,0, Published,2016-01-13
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010008,1,"
Received",2015-10-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010008,1, Revised,2015-12-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010008,1, Accepted,2016-01-08
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010008,1, Published,2016-01-15
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010009,1,"
Received",2015-10-30
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010009,1, Revised,2016-01-04
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010009,1, Accepted,2016-01-11
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010009,1, Published,2016-01-15
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010010,1,"
Received",2015-11-13
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010010,1, Revised,2016-01-07
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010010,1, Accepted,2016-01-12
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010010,1, Published,2016-01-15
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010011,1,"
Received",2015-12-08
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010011,1, Revised,2015-12-28
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010011,1, Accepted,2016-01-06
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010011,1, Published,2016-01-18
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010012,1,"
Received",2015-09-28
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010012,1, Revised,2016-01-09
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010012,1, Accepted,2016-01-12
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010012,1, Published,2016-01-20
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010013,1,"
Received",2015-11-01
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010013,1, Revised,2016-01-01
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010013,1, Accepted,2016-01-08
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010013,1, Published,2016-01-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010014,1,"
Received",2015-08-31
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010014,1, Revised,2015-11-09
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010014,1, Accepted,2016-01-15
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010014,1, Published,2016-01-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010015,1,"
Received",2015-10-28
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010015,1, Revised,2016-01-11
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010015,1, Accepted,2016-01-14
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010015,1, Published,2016-01-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010016,0,"
Received",2016-01-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010016,0, Accepted,2016-01-21
Micromachines,2016,7,1,https://doi.org/10.3390/mi7010016,0, Published,2016-01-21
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020017,1,"
Received",2015-12-01
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020017,1, Revised,2016-01-14
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020017,1, Accepted,2016-01-20
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020017,1, Published,2016-01-25
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020018,1,"
Received",2015-11-02
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020018,1, Revised,2016-01-17
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020018,1, Accepted,2016-01-18
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020018,1, Published,2016-01-25
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020019,1,"
Received",2015-12-01
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020019,1, Revised,2016-01-16
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020019,1, Accepted,2016-01-18
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020019,1, Published,2016-01-25
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020020,1,"
Received",2015-08-20
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020020,1, Revised,2016-01-15
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020020,1, Accepted,2016-01-18
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020020,1, Published,2016-01-26
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020021,1,"
Received",2015-11-23
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020021,1, Revised,2016-01-17
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020021,1, Accepted,2016-01-18
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020021,1, Published,2016-01-28
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020022,1,"
Received",2015-12-11
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020022,1, Revised,2016-01-08
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020022,1, Accepted,2016-01-19
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020022,1, Published,2016-01-29
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020023,1,"
Received",2015-10-31
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020023,1, Revised,2016-01-05
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020023,1, Accepted,2016-01-22
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020023,1, Published,2016-02-01
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020024,1,"
Received",2015-11-01
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020024,1, Accepted,2016-01-15
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020024,1, Published,2016-02-06
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020025,1,"
Received",2016-01-04
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020025,1, Revised,2016-02-02
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020025,1, Accepted,2016-02-03
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020025,1, Published,2016-02-08
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020026,1,"
Received",2015-11-18
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020026,1, Accepted,2016-02-03
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020026,1, Published,2016-02-06
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020027,1,"
Received",2015-10-29
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020027,1, Revised,2016-01-30
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020027,1, Accepted,2016-02-04
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020027,1, Published,2016-02-14
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020028,1,"
Received",2015-12-19
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020028,1, Revised,2016-02-04
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020028,1, Accepted,2016-02-04
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020028,1, Published,2016-02-15
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020029,1,"
Received",2015-12-13
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020029,1, Revised,2016-01-25
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020029,1, Accepted,2016-02-04
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020029,1, Published,2016-02-15
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020030,1,"
Received",2015-12-21
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020030,1, Revised,2016-01-21
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020030,1, Accepted,2016-02-02
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020030,1, Published,2016-02-15
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020031,1,"
Received",2015-12-03
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020031,1, Revised,2016-01-20
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020031,1, Accepted,2016-02-04
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020031,1, Published,2016-02-17
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020032,1,"
Received",2015-12-02
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020032,1, Revised,2016-01-21
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020032,1, Accepted,2016-02-14
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020032,1, Published,2016-02-19
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020033,1,"
Received",2015-11-30
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020033,1, Revised,2016-02-08
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020033,1, Accepted,2016-02-15
Micromachines,2016,7,2,https://doi.org/10.3390/mi7020033,1, Published,2016-02-19
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030034,1,"
Received",2016-01-07
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030034,1, Revised,2016-02-06
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030034,1, Accepted,2016-02-14
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030034,1, Published,2016-02-23
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030035,1,"
Received",2015-11-27
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030035,1, Revised,2016-02-16
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030035,1, Accepted,2016-02-18
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030035,1, Published,2016-02-25
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030036,1,"
Received",2015-12-07
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030036,1, Revised,2016-01-29
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030036,1, Accepted,2016-02-22
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030036,1, Published,2016-02-25
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030037,1,"
Received",2015-11-30
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030037,1, Revised,2016-02-17
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030037,1, Accepted,2016-02-22
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030037,1, Published,2016-02-26
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030038,1,"
Received",2015-12-07
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030038,1, Revised,2016-02-15
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030038,1, Accepted,2016-02-24
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030038,1, Published,2016-02-27
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030039,1,"
Received",2015-12-24
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030039,1, Revised,2016-02-09
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030039,1, Accepted,2016-02-22
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030039,1, Published,2016-03-01
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030040,1,"
Received",2015-12-23
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030040,1, Revised,2016-02-23
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030040,1, Accepted,2016-02-25
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030040,1, Published,2016-03-02
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030041,1,"
Received",2016-01-08
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030041,1, Revised,2016-02-08
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030041,1, Accepted,2016-03-02
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030041,1, Published,2016-03-04
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030042,0,"
Received",2016-01-07
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030042,0, Revised,2016-03-01
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030042,0, Accepted,2016-03-10
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030042,0, Published,2016-03-18
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030043,1,"
Received",2015-12-29
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030043,1, Revised,2016-02-25
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030043,1, Accepted,2016-03-01
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030043,1, Published,2016-03-09
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030044,0,"
Received",2016-03-08
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030044,0, Accepted,2016-03-08
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030044,0, Published,2016-03-09
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030045,1,"
Received",2016-02-04
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030045,1, Revised,2016-03-02
Micromachines,2016,7,3,https://doi.org/10.3390/mi7030045,1, Accepted,2016-03-07
