journal,year,volume,issue,DOI,SI,event,date
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,"
(This article belongs to the Special Issue Biomineralization: Towards a Unification of Concepts in Chemistry, Physics, Earth Sciences and Biology)","
Received",2015-10-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,"
(This article belongs to the Special Issue Biomineralization: Towards a Unification of Concepts in Chemistry, Physics, Earth Sciences and Biology)", Revised,2015-12-12
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,"
(This article belongs to the Special Issue Biomineralization: Towards a Unification of Concepts in Chemistry, Physics, Earth Sciences and Biology)", Accepted,2015-12-16
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,"
(This article belongs to the Special Issue Biomineralization: Towards a Unification of Concepts in Chemistry, Physics, Earth Sciences and Biology)", Published,2015-12-23
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,"
(This article belongs to the Special Issue Advanced Underground Mine Ventilation and Monitoring Systems)","
Received",2015-10-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,"
(This article belongs to the Special Issue Advanced Underground Mine Ventilation and Monitoring Systems)", Revised,2015-12-03
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,"
(This article belongs to the Special Issue Advanced Underground Mine Ventilation and Monitoring Systems)", Accepted,2015-12-14
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,"
(This article belongs to the Special Issue Advanced Underground Mine Ventilation and Monitoring Systems)", Published,2015-12-29
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,"
(This article belongs to the Special Issue Uranium Minerals: From Resources to Environmental Impact)","
Received",2015-10-07
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,"
(This article belongs to the Special Issue Uranium Minerals: From Resources to Environmental Impact)", Revised,2015-12-06
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,"
(This article belongs to the Special Issue Uranium Minerals: From Resources to Environmental Impact)", Accepted,2015-12-23
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,"
(This article belongs to the Special Issue Uranium Minerals: From Resources to Environmental Impact)", Published,2015-12-30
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,Normal Issue,"
Received",2015-11-15
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,Normal Issue, Revised,2015-12-17
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,Normal Issue, Accepted,2016-01-11
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,Normal Issue, Published,2016-01-18
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,Normal Issue,"
Received",2015-11-17
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,Normal Issue, Revised,2016-01-11
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,Normal Issue, Accepted,2016-01-13
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,Normal Issue, Published,2016-01-19
Minerals,2016,6,1,https://doi.org/10.3390/min6010006,Normal Issue,"
Received",2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010006,Normal Issue, Accepted,2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010006,Normal Issue, Published,2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,"
(This article belongs to the Special Issue Advancements in Hydrometallurgical Processing for Base and Precious Metals)","
Received",2015-08-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,"
(This article belongs to the Special Issue Advancements in Hydrometallurgical Processing for Base and Precious Metals)", Revised,2016-01-11
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,"
(This article belongs to the Special Issue Advancements in Hydrometallurgical Processing for Base and Precious Metals)", Accepted,2016-01-12
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,"
(This article belongs to the Special Issue Advancements in Hydrometallurgical Processing for Base and Precious Metals)", Published,2016-01-28
