journal,year,volume,issue,DOI,SI,event,date
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010001,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010001,1, Revised,2015-12-02
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010001,1, Accepted,2015-12-29
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010001,1, Published,2015-12-31
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010002,1,"
Received",2015-07-16
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010002,1, Revised,2015-08-03
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010002,1, Accepted,2015-12-29
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010002,1, Published,2016-01-04
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010003,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010003,1, Revised,2015-12-02
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010003,1, Accepted,2015-12-29
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010003,1, Published,2016-01-05
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010004,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010004,1, Revised,2015-12-02
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010004,1, Accepted,2015-12-29
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010004,1, Published,2016-01-05
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010005,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010005,1, Revised,2015-12-02
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010005,1, Accepted,2015-12-30
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010005,1, Published,2016-01-07
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010006,1,"
Received",2015-12-21
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010006,1, Revised,2016-01-08
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010006,1, Accepted,2016-01-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010006,1, Published,2016-01-15
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010007,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010007,1, Revised,2016-01-13
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010007,1, Accepted,2016-01-13
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010007,1, Published,2016-01-15
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010008,1,"
Received",2015-11-23
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010008,1, Revised,2016-01-14
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010008,1, Accepted,2016-01-15
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010008,1, Published,2016-01-18
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010009,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010009,1, Revised,2016-01-07
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010009,1, Accepted,2016-01-13
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010009,1, Published,2016-01-18
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010010,1,"
Received",2015-10-22
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010010,1, Revised,2015-12-04
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010010,1, Accepted,2016-01-13
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010010,1, Published,2016-01-19
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010011,0,"
Received",2016-01-22
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010011,0, Accepted,2016-01-22
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010011,0, Published,2016-01-22
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010012,1,"
Received",2015-09-01
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010012,1, Revised,2016-01-19
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010012,1, Accepted,2016-01-21
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010012,1, Published,2016-01-27
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010013,1,"
Received",2015-07-16
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010013,1, Revised,2015-08-05
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010013,1, Accepted,2016-01-21
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010013,1, Published,2016-01-27
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010014,1,"
Received",2015-09-11
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010014,1, Revised,2016-01-20
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010014,1, Accepted,2016-01-21
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010014,1, Published,2016-02-02
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010015,1,"
Received",2015-07-16
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010015,1, Revised,2016-01-28
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010015,1, Accepted,2016-01-28
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010015,1, Published,2016-02-04
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010016,1,"
Received",2015-07-16
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010016,1, Revised,2016-01-26
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010016,1, Accepted,2016-01-27
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010016,1, Published,2016-02-04
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010017,0,"
Received",2015-10-31
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010017,0, Accepted,2016-01-29
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010017,0, Published,2016-02-06
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010018,1,"
Received",2015-12-10
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010018,1, Accepted,2016-01-27
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010018,1, Published,2016-02-06
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010019,1,"
Received",2015-07-16
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010019,1, Accepted,2016-02-02
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010019,1, Published,2016-02-14
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010020,1,"
Received",2015-11-12
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010020,1, Accepted,2016-02-05
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010020,1, Published,2016-02-14
Pathogens,2016,5,1,https://doi.org/10.3390/pathogens5010021,1,"
Received",2015-11-12
