journal,year,volume,issue,DOI,SI,event,date
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,1,"
Received",2015-11-16
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,1, Revised,2015-12-14
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,1, Accepted,2015-12-18
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,1, Published,2015-12-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,0,"
Received",2015-10-10
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,0, Revised,2015-12-02
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,0, Accepted,2015-12-19
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,0, Published,2015-12-26
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,0,"
Received",2015-11-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,0, Revised,2015-12-19
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,0, Accepted,2015-12-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,0, Published,2016-01-11
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,0,"
Received",2015-11-18
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,0, Revised,2015-12-23
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,0, Accepted,2015-12-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,0, Published,2016-01-08
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010005,0,"
Received",2015-11-20
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010005,0, Revised,2016-01-04
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010005,0, Accepted,2016-01-06
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010005,0, Published,2016-01-13
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010006,0,"
Received",2016-01-21
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010006,0, Accepted,2016-01-21
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010006,0, Published,2016-01-21
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010007,0,"
Received",2015-12-21
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010007,0, Revised,2016-01-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010007,0, Accepted,2016-01-25
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010007,0, Published,2016-01-27
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010008,0,"
Received",2016-02-11
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010008,0, Revised,2016-03-03
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010008,0, Accepted,2016-03-03
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010008,0, Published,2016-03-08
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010009,1,"
Received",2016-02-04
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010009,1, Revised,2016-03-07
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010009,1, Accepted,2016-03-08
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010009,1, Published,2016-03-11
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010010,1,"
Received",2016-02-28
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010010,1, Revised,2016-03-16
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010010,1, Accepted,2016-03-17
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010010,1, Published,2016-03-21
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010011,1,"
Received",2016-02-18
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010011,1, Revised,2016-03-04
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010011,1, Accepted,2016-03-18
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010011,1, Published,2016-03-22
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020012,0,"
Received",2016-02-15
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020012,0, Revised,2016-03-22
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020012,0, Accepted,2016-03-22
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020012,0, Published,2016-03-26
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020013,1,"
Received",2016-02-29
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020013,1, Revised,2016-03-21
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020013,1, Accepted,2016-03-22
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020013,1, Published,2016-03-29
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020014,1,"
Received",2016-03-01
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020014,1, Revised,2016-03-15
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020014,1, Accepted,2016-03-17
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020014,1, Published,2016-03-30
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020015,0,"
Received",2016-02-25
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020015,0, Revised,2016-03-27
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020015,0, Accepted,2016-03-28
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020015,0, Published,2016-03-31
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020016,1,"
Received",2016-03-11
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020016,1, Revised,2016-03-29
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020016,1, Accepted,2016-03-29
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020016,1, Published,2016-04-01
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020017,1,"
Received",2016-02-29
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020017,1, Revised,2016-03-27
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020017,1, Accepted,2016-03-29
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020017,1, Published,2016-04-02
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020018,1,"
Received",2016-03-04
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020018,1, Revised,2016-04-02
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020018,1, Accepted,2016-04-04
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020018,1, Published,2016-04-08
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020019,1,"
Received",2016-03-21
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020019,1, Revised,2016-04-11
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020019,1, Accepted,2016-04-13
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020019,1, Published,2016-04-18
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020020,1,"
Received",2016-03-31
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020020,1, Revised,2016-04-14
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020020,1, Accepted,2016-04-15
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020020,1, Published,2016-04-20
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020021,0,"
Received",2016-03-22
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020021,0, Revised,2016-04-18
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020021,0, Accepted,2016-04-19
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020021,0, Published,2016-04-21
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020022,1,"
Received",2016-03-31
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020022,1, Revised,2016-04-22
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020022,1, Accepted,2016-04-24
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020022,1, Published,2016-04-27
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020023,0,"
Received",2016-04-04
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020023,0, Revised,2016-04-25
Photonics,2016,3,2,https://doi.org/10.3390/photonics3020023,0, Accepted,2016-04-27
