journal,year,volume,issue,DOI,SI,event,date
Polymers,2016,8,1,https://doi.org/10.3390/polym8010001,1,"
Received",2015-10-28
Polymers,2016,8,1,https://doi.org/10.3390/polym8010001,1, Revised,2015-11-29
Polymers,2016,8,1,https://doi.org/10.3390/polym8010001,1, Accepted,2015-12-16
Polymers,2016,8,1,https://doi.org/10.3390/polym8010001,1, Published,2015-12-23
Polymers,2016,8,1,https://doi.org/10.3390/polym8010002,1,"
Received",2015-11-05
Polymers,2016,8,1,https://doi.org/10.3390/polym8010002,1, Revised,2015-12-11
Polymers,2016,8,1,https://doi.org/10.3390/polym8010002,1, Accepted,2015-12-22
Polymers,2016,8,1,https://doi.org/10.3390/polym8010002,1, Published,2015-12-24
Polymers,2016,8,1,https://doi.org/10.3390/polym8010003,1,"
Received",2015-11-12
Polymers,2016,8,1,https://doi.org/10.3390/polym8010003,1, Revised,2015-12-17
Polymers,2016,8,1,https://doi.org/10.3390/polym8010003,1, Accepted,2015-12-21
Polymers,2016,8,1,https://doi.org/10.3390/polym8010003,1, Published,2016-01-06
Polymers,2016,8,1,https://doi.org/10.3390/polym8010004,1,"
Received",2015-11-23
Polymers,2016,8,1,https://doi.org/10.3390/polym8010004,1, Revised,2015-12-20
Polymers,2016,8,1,https://doi.org/10.3390/polym8010004,1, Accepted,2015-12-24
Polymers,2016,8,1,https://doi.org/10.3390/polym8010004,1, Published,2015-12-29
Polymers,2016,8,1,https://doi.org/10.3390/polym8010005,1,"
Received",2015-09-16
Polymers,2016,8,1,https://doi.org/10.3390/polym8010005,1, Revised,2015-12-18
Polymers,2016,8,1,https://doi.org/10.3390/polym8010005,1, Accepted,2015-12-24
Polymers,2016,8,1,https://doi.org/10.3390/polym8010005,1, Published,2015-12-29
Polymers,2016,8,1,https://doi.org/10.3390/polym8010006,1,"
Received",2015-12-01
Polymers,2016,8,1,https://doi.org/10.3390/polym8010006,1, Revised,2015-12-22
Polymers,2016,8,1,https://doi.org/10.3390/polym8010006,1, Accepted,2015-12-24
Polymers,2016,8,1,https://doi.org/10.3390/polym8010006,1, Published,2015-12-30
Polymers,2016,8,1,https://doi.org/10.3390/polym8010007,1,"
Received",2015-12-02
Polymers,2016,8,1,https://doi.org/10.3390/polym8010007,1, Revised,2015-12-22
Polymers,2016,8,1,https://doi.org/10.3390/polym8010007,1, Accepted,2015-12-23
Polymers,2016,8,1,https://doi.org/10.3390/polym8010007,1, Published,2015-12-31
