journal,year,volume,issue,DOI,SI,event,date
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010001,1,"
Received",2015-11-23
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010001,1, Revised,2015-12-28
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010001,1, Accepted,2016-01-05
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010001,1, Published,2016-01-08
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010002,0,"
Received",2016-01-21
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010002,0, Accepted,2016-01-21
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010002,0, Published,2016-01-21
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010003,1,"
Received",2015-11-29
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010003,1, Revised,2016-01-18
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010003,1, Accepted,2016-01-20
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010003,1, Published,2016-01-29
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010004,1,"
Received",2015-12-18
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010004,1, Revised,2016-01-22
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010004,1, Accepted,2016-01-25
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010004,1, Published,2016-02-02
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010005,0,"
Received",2015-12-22
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010005,0, Revised,2016-02-02
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010005,0, Accepted,2016-02-06
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010005,0, Published,2016-02-15
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010006,1,"
Received",2016-01-14
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010006,1, Revised,2016-02-03
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010006,1, Accepted,2016-02-04
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010006,1, Published,2016-02-19
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010007,1,"
Received",2016-01-07
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010007,1, Revised,2016-02-29
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010007,1, Accepted,2016-03-07
Toxics,2016,4,1,https://doi.org/10.3390/toxics4010007,1, Published,2016-03-14
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020008,1,"
Received",2016-02-10
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020008,1, Revised,2016-03-24
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020008,1, Accepted,2016-04-05
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020008,1, Published,2016-04-12
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020009,1,"
Received",2016-02-29
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020009,1, Revised,2016-04-01
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020009,1, Accepted,2016-04-07
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020009,1, Published,2016-04-13
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020010,1,"
Received",2016-03-16
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020010,1, Revised,2016-04-26
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020010,1, Accepted,2016-05-05
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020010,1, Published,2016-05-13
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020011,1,"
Received",2016-03-16
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020011,1, Revised,2016-05-17
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020011,1, Accepted,2016-06-07
Toxics,2016,4,2,https://doi.org/10.3390/toxics4020011,1, Published,2016-06-18
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030012,1,"
Received",2016-05-18
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030012,1, Revised,2016-06-22
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030012,1, Accepted,2016-07-04
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030012,1, Published,2016-07-13
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030013,0,"
Received",2016-03-31
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030013,0, Revised,2016-06-15
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030013,0, Accepted,2016-06-23
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030013,0, Published,2016-07-28
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030014,1,"
Received",2016-06-29
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030014,1, Accepted,2016-07-14
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030014,1, Published,2016-07-27
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030015,1,"
Received",2016-04-15
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030015,1, Revised,2016-07-26
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030015,1, Accepted,2016-07-29
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030015,1, Published,2016-08-05
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030016,1,"
Received",2016-04-05
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030016,1, Revised,2016-06-09
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030016,1, Accepted,2016-08-05
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030016,1, Published,2016-08-16
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030017,1,"
Received",2016-04-29
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030017,1, Revised,2016-08-02
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030017,1, Accepted,2016-08-05
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030017,1, Published,2016-08-17
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030018,1,"
Received",2016-06-30
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030018,1, Revised,2016-08-07
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030018,1, Accepted,2016-08-17
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030018,1, Published,2016-08-26
Toxics,2016,4,3,https://doi.org/10.3390/toxics4030019,1,"
Received",2016-07-01
