journal,year,volume,issue,DOI,SI,event,date
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010001,1,"
Received",2015-09-11
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010001,1, Revised,2015-11-29
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010001,1, Accepted,2015-12-09
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010001,1, Published,2015-12-22
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010002,1,"
Received",2015-10-28
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010002,1, Revised,2015-11-25
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010002,1, Accepted,2015-12-09
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010002,1, Published,2015-12-24
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010003,1,"
Received",2015-10-05
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010003,1, Revised,2015-11-27
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010003,1, Accepted,2015-12-15
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010003,1, Published,2015-12-23
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010004,1,"
Received",2015-10-28
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010004,1, Revised,2015-11-30
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010004,1, Accepted,2015-12-15
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010004,1, Published,2015-12-24
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010005,1,"
Received",2015-08-31
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010005,1, Revised,2015-12-09
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010005,1, Accepted,2015-12-11
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010005,1, Published,2015-12-28
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010006,1,"
Received",2015-10-19
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010006,1, Revised,2015-12-18
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010006,1, Accepted,2015-12-21
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010006,1, Published,2015-12-25
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010007,1,"
Received",2015-10-26
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010007,1, Revised,2015-12-14
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010007,1, Accepted,2015-12-18
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010007,1, Published,2015-12-24
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010008,1,"
Received",2015-11-02
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010008,1, Revised,2015-12-11
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010008,1, Accepted,2015-12-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010008,1, Published,2015-12-25
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010009,1,"
Received",2015-11-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010009,1, Revised,2015-12-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010009,1, Accepted,2015-12-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010009,1, Published,2015-12-25
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010010,1,"
Received",2015-10-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010010,1, Revised,2015-11-26
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010010,1, Accepted,2015-12-07
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010010,1, Published,2015-12-29
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010011,0,"
Received",2015-10-14
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010011,0, Revised,2015-12-14
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010011,0, Accepted,2015-12-24
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010011,0, Published,2015-12-30
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010012,1,"
Received",2015-12-07
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010012,1, Revised,2015-12-20
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010012,1, Accepted,2015-12-22
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010012,1, Published,2015-12-30
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010013,1,"
Received",2015-12-09
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010013,1, Revised,2015-12-23
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010013,1, Accepted,2015-12-25
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010013,1, Published,2016-01-04
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010014,1,"
Received",2015-10-14
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010014,1, Revised,2015-12-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010014,1, Accepted,2015-12-29
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010014,1, Published,2016-01-05
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010015,1,"
Received",2015-10-26
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010015,1, Revised,2015-12-17
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010015,1, Accepted,2015-12-28
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010015,1, Published,2016-01-04
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010016,1,"
Received",2015-11-30
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010016,1, Revised,2015-12-23
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010016,1, Accepted,2015-12-30
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010016,1, Published,2016-01-06
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010017,1,"
Received",2015-12-29
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010017,1, Accepted,2016-01-04
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010017,1, Published,2016-01-08
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010018,1,"
Received",2015-11-15
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010018,1, Revised,2016-01-02
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010018,1, Accepted,2016-01-05
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010018,1, Published,2016-01-08
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010019,1,"
Received",2015-10-30
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010019,1, Revised,2015-12-28
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010019,1, Accepted,2016-01-04
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010019,1, Published,2016-01-11
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010020,1,"
Received",2015-12-11
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010020,1, Revised,2016-01-05
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010020,1, Accepted,2016-01-06
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010020,1, Published,2016-01-12
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010021,1,"
Received",2015-11-20
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010021,1, Revised,2015-12-08
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010021,1, Accepted,2016-01-06
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010021,1, Published,2016-01-12
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010022,1,"
Received",2015-08-21
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010022,1, Revised,2015-12-10
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010022,1, Accepted,2015-12-23
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010022,1, Published,2016-01-13
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010023,1,"
Received",2015-08-13
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010023,1, Revised,2015-12-07
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010023,1, Accepted,2016-01-08
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010023,1, Published,2016-01-15
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010024,1,"
Received",2015-12-04
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010024,1, Revised,2015-12-18
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010024,1, Accepted,2016-01-07
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010024,1, Published,2016-01-15
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010025,1,"
Received",2015-12-07
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010025,1, Revised,2016-01-07
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010025,1, Accepted,2016-01-13
Toxins,2016,8,1,https://doi.org/10.3390/toxins8010025,1, Published,2016-01-18
