journal,year,volume,issue,DOI,SI,event,date
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)","
Received",2015-11-19
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Revised,2016-01-04
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Accepted,2016-01-07
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Published,2016-01-15
Universe,2016,2,1,https://doi.org/10.3390/universe2010002,Normal Issue,"
Received",2016-01-22
Universe,2016,2,1,https://doi.org/10.3390/universe2010002,Normal Issue, Accepted,2016-01-22
Universe,2016,2,1,https://doi.org/10.3390/universe2010002,Normal Issue, Published,2016-01-22
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)","
Received",2015-06-23
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)", Revised,2016-01-27
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)", Accepted,2016-01-27
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)", Published,2016-02-05
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)","
Received",2015-12-30
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)", Revised,2016-02-02
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)", Accepted,2016-02-03
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,"
(This article belongs to the Special Issue Modified Gravity Cosmology: From Inflation to Dark Energy)", Published,2016-02-23
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)","
Received",2016-02-09
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Revised,2016-03-08
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Accepted,2016-03-08
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Published,2016-03-14
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)","
Received",2016-01-05
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Revised,2016-02-19
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Accepted,2016-03-07
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,"
(This article belongs to the Special Issue 100 Years of Chronogeometrodynamics: the Status of the Einstein's Theory of Gravitation in Its Centennial Year)", Published,2016-03-14
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,"
(This article belongs to the Collection Open Questions in Black Hole Physics)","
Received",2015-10-20
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,"
(This article belongs to the Collection Open Questions in Black Hole Physics)", Revised,2016-04-28
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,"
(This article belongs to the Collection Open Questions in Black Hole Physics)", Accepted,2016-05-03
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,"
(This article belongs to the Collection Open Questions in Black Hole Physics)", Published,2016-05-13
Universe,2016,2,2,https://doi.org/10.3390/universe2020008,"
(This article belongs to the Collection Open Questions in Black Hole Physics)","
Received",2016-03-24
