journal,year,volume,issue,DOI,SI,event,date
Viruses,2016,8,1,https://doi.org/10.3390/v8010001,1,"
Received",2015-09-30
Viruses,2016,8,1,https://doi.org/10.3390/v8010001,1, Revised,2015-12-10
Viruses,2016,8,1,https://doi.org/10.3390/v8010001,1, Accepted,2015-12-15
Viruses,2016,8,1,https://doi.org/10.3390/v8010001,1, Published,2015-12-30
Viruses,2016,8,1,https://doi.org/10.3390/v8010002,1,"
Received",2015-08-07
Viruses,2016,8,1,https://doi.org/10.3390/v8010002,1, Revised,2015-12-02
Viruses,2016,8,1,https://doi.org/10.3390/v8010002,1, Accepted,2015-12-14
Viruses,2016,8,1,https://doi.org/10.3390/v8010002,1, Published,2015-12-23
Viruses,2016,8,1,https://doi.org/10.3390/v8010003,1,"
Received",2015-09-01
Viruses,2016,8,1,https://doi.org/10.3390/v8010003,1, Revised,2015-11-17
Viruses,2016,8,1,https://doi.org/10.3390/v8010003,1, Accepted,2015-11-24
Viruses,2016,8,1,https://doi.org/10.3390/v8010003,1, Published,2015-12-23
Viruses,2016,8,1,https://doi.org/10.3390/v8010004,1,"
Received",2015-09-11
Viruses,2016,8,1,https://doi.org/10.3390/v8010004,1, Revised,2015-12-04
Viruses,2016,8,1,https://doi.org/10.3390/v8010004,1, Accepted,2015-12-15
Viruses,2016,8,1,https://doi.org/10.3390/v8010004,1, Published,2015-12-24
Viruses,2016,8,1,https://doi.org/10.3390/v8010005,1,"
Received",2015-10-18
Viruses,2016,8,1,https://doi.org/10.3390/v8010005,1, Revised,2015-11-27
Viruses,2016,8,1,https://doi.org/10.3390/v8010005,1, Accepted,2015-12-14
Viruses,2016,8,1,https://doi.org/10.3390/v8010005,1, Published,2015-12-24
Viruses,2016,8,1,https://doi.org/10.3390/v8010006,1,"
Received",2015-10-10
Viruses,2016,8,1,https://doi.org/10.3390/v8010006,1, Revised,2015-11-25
Viruses,2016,8,1,https://doi.org/10.3390/v8010006,1, Accepted,2015-11-30
Viruses,2016,8,1,https://doi.org/10.3390/v8010006,1, Published,2015-12-25
Viruses,2016,8,1,https://doi.org/10.3390/v8010007,1,"
Received",2015-10-06
Viruses,2016,8,1,https://doi.org/10.3390/v8010007,1, Revised,2015-12-11
Viruses,2016,8,1,https://doi.org/10.3390/v8010007,1, Accepted,2015-12-18
Viruses,2016,8,1,https://doi.org/10.3390/v8010007,1, Published,2015-12-30
Viruses,2016,8,1,https://doi.org/10.3390/v8010008,0,"
Received",2015-10-23
Viruses,2016,8,1,https://doi.org/10.3390/v8010008,0, Revised,2015-12-18
Viruses,2016,8,1,https://doi.org/10.3390/v8010008,0, Accepted,2015-12-25
Viruses,2016,8,1,https://doi.org/10.3390/v8010008,0, Published,2015-12-29
Viruses,2016,8,1,https://doi.org/10.3390/v8010009,1,"
Received",2015-09-30
Viruses,2016,8,1,https://doi.org/10.3390/v8010009,1, Revised,2015-12-16
Viruses,2016,8,1,https://doi.org/10.3390/v8010009,1, Accepted,2015-12-22
Viruses,2016,8,1,https://doi.org/10.3390/v8010009,1, Published,2016-01-06
Viruses,2016,8,1,https://doi.org/10.3390/v8010010,1,"
Received",2015-10-23
Viruses,2016,8,1,https://doi.org/10.3390/v8010010,1, Revised,2015-12-21
Viruses,2016,8,1,https://doi.org/10.3390/v8010010,1, Accepted,2015-12-24
Viruses,2016,8,1,https://doi.org/10.3390/v8010010,1, Published,2016-01-06
Viruses,2016,8,1,https://doi.org/10.3390/v8010011,1,"
Received",2015-10-01
Viruses,2016,8,1,https://doi.org/10.3390/v8010011,1, Revised,2015-12-04
Viruses,2016,8,1,https://doi.org/10.3390/v8010011,1, Accepted,2015-12-18
Viruses,2016,8,1,https://doi.org/10.3390/v8010011,1, Published,2016-01-06
Viruses,2016,8,1,https://doi.org/10.3390/v8010012,1,"
Received",2015-09-28
Viruses,2016,8,1,https://doi.org/10.3390/v8010012,1, Revised,2015-12-08
Viruses,2016,8,1,https://doi.org/10.3390/v8010012,1, Accepted,2015-12-15
Viruses,2016,8,1,https://doi.org/10.3390/v8010012,1, Published,2016-01-07
Viruses,2016,8,1,https://doi.org/10.3390/v8010013,1,"
Received",2015-09-05
Viruses,2016,8,1,https://doi.org/10.3390/v8010013,1, Accepted,2015-12-31
Viruses,2016,8,1,https://doi.org/10.3390/v8010013,1, Published,2016-01-08
Viruses,2016,8,1,https://doi.org/10.3390/v8010014,1,"
Received",2015-10-22
