journal,year,volume,issue,DOI,SI,event,date
Water,2016,8,1,https://doi.org/10.3390/w8010001,1,"
Received",2015-11-03
Water,2016,8,1,https://doi.org/10.3390/w8010001,1, Revised,2015-12-14
Water,2016,8,1,https://doi.org/10.3390/w8010001,1, Accepted,2015-12-16
Water,2016,8,1,https://doi.org/10.3390/w8010001,1, Published,2015-12-22
Water,2016,8,1,https://doi.org/10.3390/w8010002,1,"
Received",2015-10-09
Water,2016,8,1,https://doi.org/10.3390/w8010002,1, Revised,2015-12-16
Water,2016,8,1,https://doi.org/10.3390/w8010002,1, Accepted,2015-12-17
Water,2016,8,1,https://doi.org/10.3390/w8010002,1, Published,2015-12-24
Water,2016,8,1,https://doi.org/10.3390/w8010003,1,"
Received",2015-11-05
Water,2016,8,1,https://doi.org/10.3390/w8010003,1, Revised,2015-12-10
Water,2016,8,1,https://doi.org/10.3390/w8010003,1, Accepted,2015-12-14
Water,2016,8,1,https://doi.org/10.3390/w8010003,1, Published,2015-12-24
Water,2016,8,1,https://doi.org/10.3390/w8010004,1,"
Received",2015-09-22
Water,2016,8,1,https://doi.org/10.3390/w8010004,1, Revised,2015-12-15
Water,2016,8,1,https://doi.org/10.3390/w8010004,1, Accepted,2015-12-17
Water,2016,8,1,https://doi.org/10.3390/w8010004,1, Published,2015-12-24
Water,2016,8,1,https://doi.org/10.3390/w8010005,1,"
Received",2015-10-19
Water,2016,8,1,https://doi.org/10.3390/w8010005,1, Revised,2015-11-28
Water,2016,8,1,https://doi.org/10.3390/w8010005,1, Accepted,2015-12-14
Water,2016,8,1,https://doi.org/10.3390/w8010005,1, Published,2015-12-25
Water,2016,8,1,https://doi.org/10.3390/w8010006,0,"
Received",2015-09-15
Water,2016,8,1,https://doi.org/10.3390/w8010006,0, Revised,2015-11-26
Water,2016,8,1,https://doi.org/10.3390/w8010006,0, Accepted,2015-12-16
Water,2016,8,1,https://doi.org/10.3390/w8010006,0, Published,2015-12-25
Water,2016,8,1,https://doi.org/10.3390/w8010007,1,"
Received",2015-10-14
Water,2016,8,1,https://doi.org/10.3390/w8010007,1, Revised,2015-12-15
Water,2016,8,1,https://doi.org/10.3390/w8010007,1, Accepted,2015-12-16
Water,2016,8,1,https://doi.org/10.3390/w8010007,1, Published,2015-12-25
Water,2016,8,1,https://doi.org/10.3390/w8010008,1,"
Received",2015-11-11
Water,2016,8,1,https://doi.org/10.3390/w8010008,1, Revised,2015-12-16
Water,2016,8,1,https://doi.org/10.3390/w8010008,1, Accepted,2015-12-18
Water,2016,8,1,https://doi.org/10.3390/w8010008,1, Published,2015-12-26
Water,2016,8,1,https://doi.org/10.3390/w8010009,0,"
Received",2015-10-19
Water,2016,8,1,https://doi.org/10.3390/w8010009,0, Revised,2015-12-09
Water,2016,8,1,https://doi.org/10.3390/w8010009,0, Accepted,2015-12-16
Water,2016,8,1,https://doi.org/10.3390/w8010009,0, Published,2015-12-26
Water,2016,8,1,https://doi.org/10.3390/w8010010,1,"
Received",2015-11-05
Water,2016,8,1,https://doi.org/10.3390/w8010010,1, Revised,2015-12-09
Water,2016,8,1,https://doi.org/10.3390/w8010010,1, Accepted,2015-12-17
Water,2016,8,1,https://doi.org/10.3390/w8010010,1, Published,2015-12-26
Water,2016,8,1,https://doi.org/10.3390/w8010011,1,"
Received",2015-08-23
Water,2016,8,1,https://doi.org/10.3390/w8010011,1, Revised,2015-12-09
Water,2016,8,1,https://doi.org/10.3390/w8010011,1, Accepted,2015-12-22
Water,2016,8,1,https://doi.org/10.3390/w8010011,1, Published,2015-12-29
Water,2016,8,1,https://doi.org/10.3390/w8010012,0,"
Received",2015-07-22
Water,2016,8,1,https://doi.org/10.3390/w8010012,0, Revised,2015-10-09
Water,2016,8,1,https://doi.org/10.3390/w8010012,0, Accepted,2015-12-24
Water,2016,8,1,https://doi.org/10.3390/w8010012,0, Published,2016-01-02
Water,2016,8,1,https://doi.org/10.3390/w8010013,1,"
Received",2015-11-16
Water,2016,8,1,https://doi.org/10.3390/w8010013,1, Revised,2015-12-22
Water,2016,8,1,https://doi.org/10.3390/w8010013,1, Accepted,2015-12-23
Water,2016,8,1,https://doi.org/10.3390/w8010013,1, Published,2016-01-02
Water,2016,8,1,https://doi.org/10.3390/w8010014,0,"
Received",2015-09-05
Water,2016,8,1,https://doi.org/10.3390/w8010014,0, Revised,2015-12-11
Water,2016,8,1,https://doi.org/10.3390/w8010014,0, Accepted,2015-12-22
Water,2016,8,1,https://doi.org/10.3390/w8010014,0, Published,2016-01-02
Water,2016,8,1,https://doi.org/10.3390/w8010015,0,"
Received",2015-08-14
Water,2016,8,1,https://doi.org/10.3390/w8010015,0, Revised,2015-11-30
Water,2016,8,1,https://doi.org/10.3390/w8010015,0, Accepted,2015-12-30
Water,2016,8,1,https://doi.org/10.3390/w8010015,0, Published,2016-01-06
Water,2016,8,1,https://doi.org/10.3390/w8010016,0,"
Received",2015-09-03
Water,2016,8,1,https://doi.org/10.3390/w8010016,0, Revised,2015-12-07
Water,2016,8,1,https://doi.org/10.3390/w8010016,0, Accepted,2015-12-15
Water,2016,8,1,https://doi.org/10.3390/w8010016,0, Published,2016-01-06
Water,2016,8,1,https://doi.org/10.3390/w8010017,1,"
Received",2015-10-20
Water,2016,8,1,https://doi.org/10.3390/w8010017,1, Revised,2015-12-18
Water,2016,8,1,https://doi.org/10.3390/w8010017,1, Accepted,2015-12-31
Water,2016,8,1,https://doi.org/10.3390/w8010017,1, Published,2016-01-06
Water,2016,8,1,https://doi.org/10.3390/w8010018,1,"
Received",2015-09-30
Water,2016,8,1,https://doi.org/10.3390/w8010018,1, Revised,2015-11-19
Water,2016,8,1,https://doi.org/10.3390/w8010018,1, Accepted,2016-01-05
Water,2016,8,1,https://doi.org/10.3390/w8010018,1, Published,2016-01-08
Water,2016,8,1,https://doi.org/10.3390/w8010019,0,"
Received",2015-11-19
Water,2016,8,1,https://doi.org/10.3390/w8010019,0, Revised,2015-12-31
Water,2016,8,1,https://doi.org/10.3390/w8010019,0, Accepted,2016-01-04
Water,2016,8,1,https://doi.org/10.3390/w8010019,0, Published,2016-01-11
Water,2016,8,1,https://doi.org/10.3390/w8010020,1,"
Received",2015-10-02
Water,2016,8,1,https://doi.org/10.3390/w8010020,1, Revised,2016-01-11
Water,2016,8,1,https://doi.org/10.3390/w8010020,1, Accepted,2016-01-11
Water,2016,8,1,https://doi.org/10.3390/w8010020,1, Published,2016-01-15
Water,2016,8,1,https://doi.org/10.3390/w8010021,1,"
Received",2015-08-23
Water,2016,8,1,https://doi.org/10.3390/w8010021,1, Revised,2015-12-23
Water,2016,8,1,https://doi.org/10.3390/w8010021,1, Accepted,2016-01-06
Water,2016,8,1,https://doi.org/10.3390/w8010021,1, Published,2016-01-18
Water,2016,8,1,https://doi.org/10.3390/w8010022,1,"
Received",2015-11-02
Water,2016,8,1,https://doi.org/10.3390/w8010022,1, Revised,2015-12-23
Water,2016,8,1,https://doi.org/10.3390/w8010022,1, Accepted,2016-01-07
Water,2016,8,1,https://doi.org/10.3390/w8010022,1, Published,2016-01-16
Water,2016,8,1,https://doi.org/10.3390/w8010023,1,"
Received",2015-10-19
Water,2016,8,1,https://doi.org/10.3390/w8010023,1, Revised,2015-12-31
Water,2016,8,1,https://doi.org/10.3390/w8010023,1, Accepted,2016-01-04
Water,2016,8,1,https://doi.org/10.3390/w8010023,1, Published,2016-01-16
Water,2016,8,1,https://doi.org/10.3390/w8010024,1,"
Received",2015-11-24
Water,2016,8,1,https://doi.org/10.3390/w8010024,1, Revised,2015-12-24
Water,2016,8,1,https://doi.org/10.3390/w8010024,1, Accepted,2016-01-08
Water,2016,8,1,https://doi.org/10.3390/w8010024,1, Published,2016-01-16
Water,2016,8,1,https://doi.org/10.3390/w8010025,0,"
Received",2015-10-15
Water,2016,8,1,https://doi.org/10.3390/w8010025,0, Revised,2016-01-11
Water,2016,8,1,https://doi.org/10.3390/w8010025,0, Accepted,2016-01-12
Water,2016,8,1,https://doi.org/10.3390/w8010025,0, Published,2016-01-19
Water,2016,8,1,https://doi.org/10.3390/w8010026,1,"
Received",2015-11-15
Water,2016,8,1,https://doi.org/10.3390/w8010026,1, Revised,2016-01-08
Water,2016,8,1,https://doi.org/10.3390/w8010026,1, Accepted,2016-01-12
Water,2016,8,1,https://doi.org/10.3390/w8010026,1, Published,2016-01-20
Water,2016,8,1,https://doi.org/10.3390/w8010027,1,"
Received",2015-10-23
Water,2016,8,1,https://doi.org/10.3390/w8010027,1, Revised,2016-01-13
Water,2016,8,1,https://doi.org/10.3390/w8010027,1, Accepted,2016-01-15
Water,2016,8,1,https://doi.org/10.3390/w8010027,1, Published,2016-01-20
Water,2016,8,1,https://doi.org/10.3390/w8010028,1,"
Received",2015-10-19
Water,2016,8,1,https://doi.org/10.3390/w8010028,1, Revised,2016-01-09
Water,2016,8,1,https://doi.org/10.3390/w8010028,1, Accepted,2016-01-13
Water,2016,8,1,https://doi.org/10.3390/w8010028,1, Published,2016-01-20
Water,2016,8,1,https://doi.org/10.3390/w8010029,1,"
Received",2015-11-17
Water,2016,8,1,https://doi.org/10.3390/w8010029,1, Revised,2015-12-15
Water,2016,8,1,https://doi.org/10.3390/w8010029,1, Accepted,2016-01-04
Water,2016,8,1,https://doi.org/10.3390/w8010029,1, Published,2016-01-21
Water,2016,8,1,https://doi.org/10.3390/w8010030,1,"
Received",2015-10-19
Water,2016,8,1,https://doi.org/10.3390/w8010030,1, Revised,2016-01-05
Water,2016,8,1,https://doi.org/10.3390/w8010030,1, Accepted,2016-01-14
Water,2016,8,1,https://doi.org/10.3390/w8010030,1, Published,2016-01-20
Water,2016,8,1,https://doi.org/10.3390/w8010031,1,"
Received",2015-10-30
Water,2016,8,1,https://doi.org/10.3390/w8010031,1, Revised,2016-01-11
Water,2016,8,1,https://doi.org/10.3390/w8010031,1, Accepted,2016-01-12
Water,2016,8,1,https://doi.org/10.3390/w8010031,1, Published,2016-01-21
Water,2016,8,1,https://doi.org/10.3390/w8010032,1,"
Received",2015-12-01
Water,2016,8,1,https://doi.org/10.3390/w8010032,1, Revised,2016-01-12
Water,2016,8,1,https://doi.org/10.3390/w8010032,1, Accepted,2016-01-15
Water,2016,8,1,https://doi.org/10.3390/w8010032,1, Published,2016-01-21
Water,2016,8,1,https://doi.org/10.3390/w8010033,0,"
Received",2016-01-21
Water,2016,8,1,https://doi.org/10.3390/w8010033,0, Accepted,2016-01-21
Water,2016,8,1,https://doi.org/10.3390/w8010033,0, Published,2016-01-21
Water,2016,8,2,https://doi.org/10.3390/w8020034,1,"
Received",2015-11-23
Water,2016,8,2,https://doi.org/10.3390/w8020034,1, Revised,2016-01-12
Water,2016,8,2,https://doi.org/10.3390/w8020034,1, Accepted,2016-01-18
Water,2016,8,2,https://doi.org/10.3390/w8020034,1, Published,2016-01-22
Water,2016,8,2,https://doi.org/10.3390/w8020035,0,"
Received",2015-07-02
Water,2016,8,2,https://doi.org/10.3390/w8020035,0, Revised,2015-11-20
Water,2016,8,2,https://doi.org/10.3390/w8020035,0, Accepted,2016-01-12
Water,2016,8,2,https://doi.org/10.3390/w8020035,0, Published,2016-01-22
Water,2016,8,2,https://doi.org/10.3390/w8020036,1,"
Received",2015-10-19
Water,2016,8,2,https://doi.org/10.3390/w8020036,1, Revised,2015-12-21
Water,2016,8,2,https://doi.org/10.3390/w8020036,1, Accepted,2016-01-14
Water,2016,8,2,https://doi.org/10.3390/w8020036,1, Published,2016-01-22
Water,2016,8,2,https://doi.org/10.3390/w8020037,1,"
Received",2015-10-03
Water,2016,8,2,https://doi.org/10.3390/w8020037,1, Revised,2016-01-11
Water,2016,8,2,https://doi.org/10.3390/w8020037,1, Accepted,2016-01-11
Water,2016,8,2,https://doi.org/10.3390/w8020037,1, Published,2016-01-23
Water,2016,8,2,https://doi.org/10.3390/w8020038,1,"
Received",2015-11-04
Water,2016,8,2,https://doi.org/10.3390/w8020038,1, Revised,2016-01-14
Water,2016,8,2,https://doi.org/10.3390/w8020038,1, Accepted,2016-01-15
Water,2016,8,2,https://doi.org/10.3390/w8020038,1, Published,2016-01-25
Water,2016,8,2,https://doi.org/10.3390/w8020039,0,"
Received",2015-09-27
Water,2016,8,2,https://doi.org/10.3390/w8020039,0, Revised,2016-01-11
Water,2016,8,2,https://doi.org/10.3390/w8020039,0, Accepted,2016-01-22
Water,2016,8,2,https://doi.org/10.3390/w8020039,0, Published,2016-01-28
Water,2016,8,2,https://doi.org/10.3390/w8020040,1,"
Received",2015-09-14
Water,2016,8,2,https://doi.org/10.3390/w8020040,1, Revised,2016-01-12
