journal,year,volume,issue,DOI,SI,event,date
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,1,"
Received",2015-11-02
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,1, Revised,2015-12-21
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,1, Accepted,2015-12-22
Diversity,2016,8,1,https://doi.org/10.3390/d8010001,1, Published,2015-12-29
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,1,"
Received",2015-10-28
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,1, Revised,2015-12-04
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,1, Accepted,2015-12-21
Diversity,2016,8,1,https://doi.org/10.3390/d8010002,1, Published,2015-12-29
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,1,"
Received",2015-11-01
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,1, Revised,2015-12-31
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,1, Accepted,2016-01-07
Diversity,2016,8,1,https://doi.org/10.3390/d8010003,1, Published,2016-01-12
Diversity,2016,8,1,https://doi.org/10.3390/d8010004,0,"
Received",2016-01-25
Diversity,2016,8,1,https://doi.org/10.3390/d8010004,0, Accepted,2016-01-25
Diversity,2016,8,1,https://doi.org/10.3390/d8010004,0, Published,2016-01-25
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,1,"
Received",2015-10-19
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,1, Revised,2016-02-14
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,1, Accepted,2016-02-24
Diversity,2016,8,1,https://doi.org/10.3390/d8010005,1, Published,2016-02-29
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,0,"
Received",2016-01-09
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,0, Revised,2016-02-22
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,0, Accepted,2016-03-01
Diversity,2016,8,1,https://doi.org/10.3390/d8010006,0, Published,2016-03-08
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,1,"
Received",2015-12-24
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,1, Revised,2016-03-17
Diversity,2016,8,2,https://doi.org/10.3390/d8020007,1, Accepted,2016-03-17
