journal,year,volume,issue,DOI,SI,event,date
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,0,"
Received",2015-09-01
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,0, Revised,2015-12-07
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,0, Accepted,2015-12-22
Genes,2016,7,1,https://doi.org/10.3390/genes7010001,0, Published,2015-12-31
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,1,"
Received",2015-09-29
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,1, Revised,2015-12-21
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,1, Accepted,2016-01-05
Genes,2016,7,1,https://doi.org/10.3390/genes7010002,1, Published,2016-01-14
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,1,"
Received",2015-10-27
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,1, Revised,2016-01-09
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,1, Accepted,2016-01-12
Genes,2016,7,1,https://doi.org/10.3390/genes7010003,1, Published,2016-01-16
Genes,2016,7,1,https://doi.org/10.3390/genes7010004,0,"
Received",2016-01-21
Genes,2016,7,1,https://doi.org/10.3390/genes7010004,0, Accepted,2016-01-21
Genes,2016,7,1,https://doi.org/10.3390/genes7010004,0, Published,2016-01-21
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,0,"
Received",2015-11-20
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,0, Revised,2015-12-30
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,0, Accepted,2016-01-12
Genes,2016,7,2,https://doi.org/10.3390/genes7020005,0, Published,2016-01-22
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,1,"
Received",2015-11-24
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,1, Revised,2016-01-11
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,1, Accepted,2016-01-19
Genes,2016,7,2,https://doi.org/10.3390/genes7020006,1, Published,2016-01-23
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,0,"
Received",2015-10-29
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,0, Revised,2016-01-13
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,0, Accepted,2016-01-19
Genes,2016,7,2,https://doi.org/10.3390/genes7020007,0, Published,2016-01-26
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,1,"
Received",2015-09-24
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,1, Revised,2016-01-14
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,1, Accepted,2016-01-14
Genes,2016,7,2,https://doi.org/10.3390/genes7020008,1, Published,2016-01-28
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,1,"
Received",2015-10-06
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,1, Revised,2016-02-01
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,1, Accepted,2016-02-04
Genes,2016,7,2,https://doi.org/10.3390/genes7020009,1, Published,2016-02-16
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,1,"
Received",2015-12-24
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,1, Revised,2016-02-05
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,1, Accepted,2016-02-17
Genes,2016,7,3,https://doi.org/10.3390/genes7030010,1, Published,2016-02-24
Genes,2016,7,3,https://doi.org/10.3390/genes7030011,1,"
Received",2015-12-02
