journal,year,volume,issue,DOI,SI,event,date
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010001,1,"
Received",2015-05-22
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010001,1, Revised,2015-12-08
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010001,1, Accepted,2015-12-11
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010001,1, Published,2015-12-23
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010002,1,"
Received",2015-11-17
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010002,1, Revised,2015-12-22
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010002,1, Accepted,2015-12-28
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010002,1, Published,2015-12-30
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010003,1,"
Received",2015-06-30
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010003,1, Revised,2015-12-13
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010003,1, Accepted,2015-12-28
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010003,1, Published,2016-01-04
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010004,1,"
Received",2015-12-02
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010004,1, Revised,2015-12-21
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010004,1, Accepted,2015-12-24
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010004,1, Published,2016-01-05
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010005,0,"
Received",2015-04-29
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010005,0, Revised,2015-12-04
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010005,0, Accepted,2015-12-28
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010005,0, Published,2016-01-07
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010006,1,"
Received",2015-08-30
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010006,1, Revised,2015-12-17
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010006,1, Accepted,2016-01-06
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010006,1, Published,2016-01-08
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010007,1,"
Received",2015-06-28
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010007,1, Revised,2015-12-10
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010007,1, Accepted,2015-12-28
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010007,1, Published,2016-01-08
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010008,1,"
Received",2015-10-30
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010008,1, Revised,2015-12-18
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010008,1, Accepted,2015-12-24
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010008,1, Published,2016-01-11
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010009,1,"
Received",2015-10-30
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010009,1, Revised,2015-12-16
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010009,1, Accepted,2016-01-04
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010009,1, Published,2016-01-13
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010010,1,"
Received",2015-10-26
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010010,1, Revised,2016-01-04
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010010,1, Accepted,2016-01-05
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010010,1, Published,2016-01-14
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010011,1,"
Received",2015-11-25
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010011,1, Revised,2016-01-06
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010011,1, Accepted,2016-01-12
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010011,1, Published,2016-01-19
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010012,0,"
Received",2016-01-22
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010012,0, Accepted,2016-01-22
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010012,0, Published,2016-01-22
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010013,1,"
Received",2015-11-30
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010013,1, Revised,2016-01-12
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010013,1, Accepted,2016-01-20
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010013,1, Published,2016-01-23
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010014,1,"
Received",2015-08-31
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010014,1, Revised,2015-12-18
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010014,1, Accepted,2016-01-18
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010014,1, Published,2016-01-27
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010015,0,"
Received",2015-11-02
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010015,0, Revised,2016-01-22
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010015,0, Accepted,2016-02-02
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010015,0, Published,2016-02-16
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010016,0,"
Received",2015-12-29
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010016,0, Revised,2016-02-19
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010016,0, Accepted,2016-02-23
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010016,0, Published,2016-02-26
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010017,1,"
Received",2015-10-31
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010017,1, Revised,2016-02-05
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010017,1, Accepted,2016-02-23
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010017,1, Published,2016-03-03
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010018,0,"
Received",2015-08-20
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010018,0, Revised,2016-01-19
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010018,0, Accepted,2016-02-17
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010018,0, Published,2016-03-04
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010019,1,"
Received",2015-12-04
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010019,1, Revised,2016-02-29
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010019,1, Accepted,2016-03-02
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010019,1, Published,2016-03-11
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010020,0,"
Received",2016-02-10
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010020,0, Revised,2016-03-08
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010020,0, Accepted,2016-03-10
Healthcare,2016,4,1,https://doi.org/10.3390/healthcare4010020,0, Published,2016-03-16
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020021,0,"
Received",2016-02-28
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020021,0, Revised,2016-03-25
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020021,0, Accepted,2016-03-30
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020021,0, Published,2016-04-06
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020022,1,"
Received",2016-02-28
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020022,1, Revised,2016-04-15
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020022,1, Accepted,2016-04-19
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020022,1, Published,2016-04-25
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020023,1,"
Received",2016-02-29
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020023,1, Revised,2016-04-14
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020023,1, Accepted,2016-04-19
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020023,1, Published,2016-04-27
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020024,1,"
Received",2016-03-12
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020024,1, Revised,2016-04-28
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020024,1, Accepted,2016-04-29
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020024,1, Published,2016-05-05
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020025,1,"
Received",2016-04-05
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020025,1, Revised,2016-04-26
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020025,1, Accepted,2016-04-30
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020025,1, Published,2016-05-10
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020026,0,"
Received",2016-04-09
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020026,0, Revised,2016-05-05
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020026,0, Accepted,2016-05-06
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020026,0, Published,2016-05-13
Healthcare,2016,4,2,https://doi.org/10.3390/healthcare4020027,1,"
Received",2016-02-08
