journal,year,volume,issue,DOI,SI,event,date
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100001,0,"
Published",2016-01-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100002,0,"
Received",2014-07-11
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100002,0, Revised,2015-04-23
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100002,0, Accepted,2015-04-23
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100002,0, Published,2016-01-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100003,0,"
Received",2013-11-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100003,0, Revised,2015-04-28
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100003,0, Accepted,2015-04-29
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100003,0, Published,2016-01-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100004,0,"
Received",2014-03-09
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100004,0, Revised,2015-03-20
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100004,0, Accepted,2015-03-23
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100004,0, Published,2016-01-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100005,0,"
Received",2014-09-22
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100005,0, Revised,2015-05-13
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100005,0, Accepted,2015-05-18
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100005,0, Published,2016-01-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100006,0,"
Received",2014-03-21
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100006,0, Revised,2015-05-27
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100006,0, Accepted,2015-06-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,1,https://doi.org/10.4067/S0718-18762016000100006,0, Published,2016-01-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200001,0,"
Published",2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200002,0,"
Received",2014-01-23
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200002,0, Revised,2015-07-30
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200002,0, Accepted,2015-08-14
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200002,0, Published,2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200003,0,"
Received",2014-11-05
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200003,0, Revised,2015-09-09
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200003,0, Accepted,2015-11-06
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200003,0, Published,2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200004,0,"
Received",2014-10-10
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200004,0, Revised,2015-08-16
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200004,0, Accepted,2015-08-19
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200004,0, Published,2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200005,0,"
Received",2015-03-13
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200005,0, Revised,2015-10-19
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200005,0, Accepted,2015-11-03
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200005,0, Published,2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200006,0,"
Received",2015-02-20
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200006,0, Revised,2015-07-12
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200006,0, Accepted,2015-09-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,2,https://doi.org/10.4067/S0718-18762016000200006,0, Published,2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300001,0,"
Published",2016-09-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300002,0,"
Received",2016-01-06
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300002,0, Revised,2016-05-06
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300002,0, Accepted,2016-06-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300002,0, Published,2016-09-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300003,0,"
Received",2016-01-24
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300003,0, Revised,2016-05-07
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300003,0, Accepted,2016-06-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300003,0, Published,2016-09-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300004,0,"
Received",2016-01-05
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300004,0, Revised,2016-05-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300004,0, Accepted,2016-06-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300004,0, Published,2016-09-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300005,0,"
Received",2016-01-11
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300005,0, Revised,2016-05-08
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300005,0, Accepted,2016-06-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300005,0, Published,2016-09-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300006,0,"
Received",2016-01-25
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300006,0, Revised,2016-05-06
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300006,0, Accepted,2016-06-01
J. Theor. Appl. Electron. Commer. Res.,2016,11,3,https://doi.org/10.4067/S0718-18762016000300006,0, Published,2016-09-01
