journal,year,volume,issue,DOI,SI,event,date
Land,2016,5,1,https://doi.org/10.3390/land5010001,1,"
Received",2015-07-08
Land,2016,5,1,https://doi.org/10.3390/land5010001,1, Revised,2016-01-11
Land,2016,5,1,https://doi.org/10.3390/land5010001,1, Accepted,2016-01-12
Land,2016,5,1,https://doi.org/10.3390/land5010001,1, Published,2016-01-22
Land,2016,5,1,https://doi.org/10.3390/land5010002,0,"
Received",2016-01-23
Land,2016,5,1,https://doi.org/10.3390/land5010002,0, Accepted,2016-01-23
Land,2016,5,1,https://doi.org/10.3390/land5010002,0, Published,2016-01-23
Land,2016,5,1,https://doi.org/10.3390/land5010003,0,"
Received",2015-10-27
Land,2016,5,1,https://doi.org/10.3390/land5010003,0, Revised,2015-12-15
Land,2016,5,1,https://doi.org/10.3390/land5010003,0, Accepted,2016-01-19
Land,2016,5,1,https://doi.org/10.3390/land5010003,0, Published,2016-01-26
Land,2016,5,1,https://doi.org/10.3390/land5010004,0,"
Received",2015-11-30
Land,2016,5,1,https://doi.org/10.3390/land5010004,0, Revised,2016-01-22
Land,2016,5,1,https://doi.org/10.3390/land5010004,0, Accepted,2016-01-26
Land,2016,5,1,https://doi.org/10.3390/land5010004,0, Published,2016-02-04
Land,2016,5,1,https://doi.org/10.3390/land5010005,1,"
Received",2015-12-01
Land,2016,5,1,https://doi.org/10.3390/land5010005,1, Revised,2016-01-25
Land,2016,5,1,https://doi.org/10.3390/land5010005,1, Accepted,2016-01-27
Land,2016,5,1,https://doi.org/10.3390/land5010005,1, Published,2016-02-05
Land,2016,5,1,https://doi.org/10.3390/land5010006,1,"
Received",2015-07-15
Land,2016,5,1,https://doi.org/10.3390/land5010006,1, Accepted,2016-02-01
Land,2016,5,1,https://doi.org/10.3390/land5010006,1, Published,2016-02-06
Land,2016,5,2,https://doi.org/10.3390/land5020007,0,"
Received",2015-11-06
Land,2016,5,2,https://doi.org/10.3390/land5020007,0, Revised,2016-02-11
Land,2016,5,2,https://doi.org/10.3390/land5020007,0, Accepted,2016-03-11
Land,2016,5,2,https://doi.org/10.3390/land5020007,0, Published,2016-03-24
Land,2016,5,2,https://doi.org/10.3390/land5020008,0,"
Received",2015-10-03
