journal,year,volume,issue,DOI,SI,event,date
Mathematics,2016,4,1,https://doi.org/10.3390/math4010001,0,"
Received",2015-08-07
Mathematics,2016,4,1,https://doi.org/10.3390/math4010001,0, Revised,2015-12-16
Mathematics,2016,4,1,https://doi.org/10.3390/math4010001,0, Accepted,2015-12-17
Mathematics,2016,4,1,https://doi.org/10.3390/math4010001,0, Published,2015-12-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010002,1,"
Received",2015-11-22
Mathematics,2016,4,1,https://doi.org/10.3390/math4010002,1, Accepted,2015-12-14
Mathematics,2016,4,1,https://doi.org/10.3390/math4010002,1, Published,2016-01-04
Mathematics,2016,4,1,https://doi.org/10.3390/math4010003,1,"
Received",2015-08-30
Mathematics,2016,4,1,https://doi.org/10.3390/math4010003,1, Revised,2015-11-06
Mathematics,2016,4,1,https://doi.org/10.3390/math4010003,1, Accepted,2016-01-15
Mathematics,2016,4,1,https://doi.org/10.3390/math4010003,1, Published,2016-01-20
Mathematics,2016,4,1,https://doi.org/10.3390/math4010004,0,"
Received",2016-01-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010004,0, Accepted,2016-01-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010004,0, Published,2016-01-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010005,0,"
Received",2015-11-12
Mathematics,2016,4,1,https://doi.org/10.3390/math4010005,0, Revised,2016-01-12
Mathematics,2016,4,1,https://doi.org/10.3390/math4010005,0, Accepted,2016-01-19
Mathematics,2016,4,1,https://doi.org/10.3390/math4010005,0, Published,2016-02-02
Mathematics,2016,4,1,https://doi.org/10.3390/math4010006,1,"
Received",2015-11-24
Mathematics,2016,4,1,https://doi.org/10.3390/math4010006,1, Revised,2016-01-18
Mathematics,2016,4,1,https://doi.org/10.3390/math4010006,1, Accepted,2016-01-20
Mathematics,2016,4,1,https://doi.org/10.3390/math4010006,1, Published,2016-02-04
Mathematics,2016,4,1,https://doi.org/10.3390/math4010007,0,"
Received",2015-12-04
Mathematics,2016,4,1,https://doi.org/10.3390/math4010007,0, Revised,2016-01-29
Mathematics,2016,4,1,https://doi.org/10.3390/math4010007,0, Accepted,2016-02-14
Mathematics,2016,4,1,https://doi.org/10.3390/math4010007,0, Published,2016-02-18
Mathematics,2016,4,1,https://doi.org/10.3390/math4010008,1,"
Received",2015-12-09
Mathematics,2016,4,1,https://doi.org/10.3390/math4010008,1, Revised,2016-01-22
Mathematics,2016,4,1,https://doi.org/10.3390/math4010008,1, Accepted,2016-02-17
Mathematics,2016,4,1,https://doi.org/10.3390/math4010008,1, Published,2016-02-24
Mathematics,2016,4,1,https://doi.org/10.3390/math4010009,0,"
Received",2015-12-17
Mathematics,2016,4,1,https://doi.org/10.3390/math4010009,0, Revised,2016-01-27
Mathematics,2016,4,1,https://doi.org/10.3390/math4010009,0, Accepted,2016-02-02
Mathematics,2016,4,1,https://doi.org/10.3390/math4010009,0, Published,2016-02-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010010,1,"
Received",2015-12-03
Mathematics,2016,4,1,https://doi.org/10.3390/math4010010,1, Revised,2016-02-02
Mathematics,2016,4,1,https://doi.org/10.3390/math4010010,1, Accepted,2016-02-16
Mathematics,2016,4,1,https://doi.org/10.3390/math4010010,1, Published,2016-02-27
Mathematics,2016,4,1,https://doi.org/10.3390/math4010011,1,"
Received",2015-12-14
Mathematics,2016,4,1,https://doi.org/10.3390/math4010011,1, Revised,2016-02-19
Mathematics,2016,4,1,https://doi.org/10.3390/math4010011,1, Accepted,2016-02-24
Mathematics,2016,4,1,https://doi.org/10.3390/math4010011,1, Published,2016-03-02
Mathematics,2016,4,1,https://doi.org/10.3390/math4010012,0,"
Received",2015-12-17
Mathematics,2016,4,1,https://doi.org/10.3390/math4010012,0, Revised,2016-02-05
Mathematics,2016,4,1,https://doi.org/10.3390/math4010012,0, Accepted,2016-02-26
Mathematics,2016,4,1,https://doi.org/10.3390/math4010012,0, Published,2016-03-03
Mathematics,2016,4,1,https://doi.org/10.3390/math4010013,0,"
Received",2015-12-27
Mathematics,2016,4,1,https://doi.org/10.3390/math4010013,0, Revised,2016-02-24
Mathematics,2016,4,1,https://doi.org/10.3390/math4010013,0, Accepted,2016-02-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010013,0, Published,2016-03-04
Mathematics,2016,4,1,https://doi.org/10.3390/math4010014,1,"
Received",2015-12-21
Mathematics,2016,4,1,https://doi.org/10.3390/math4010014,1, Revised,2016-02-24
Mathematics,2016,4,1,https://doi.org/10.3390/math4010014,1, Accepted,2016-03-02
Mathematics,2016,4,1,https://doi.org/10.3390/math4010014,1, Published,2016-03-09
Mathematics,2016,4,1,https://doi.org/10.3390/math4010015,0,"
Received",2015-12-19
Mathematics,2016,4,1,https://doi.org/10.3390/math4010015,0, Revised,2016-02-12
Mathematics,2016,4,1,https://doi.org/10.3390/math4010015,0, Accepted,2016-02-23
Mathematics,2016,4,1,https://doi.org/10.3390/math4010015,0, Published,2016-03-08
Mathematics,2016,4,1,https://doi.org/10.3390/math4010016,0,"
Received",2015-10-13
Mathematics,2016,4,1,https://doi.org/10.3390/math4010016,0, Revised,2016-01-25
Mathematics,2016,4,1,https://doi.org/10.3390/math4010016,0, Accepted,2016-03-04
Mathematics,2016,4,1,https://doi.org/10.3390/math4010016,0, Published,2016-03-11
Mathematics,2016,4,1,https://doi.org/10.3390/math4010017,0,"
Received",2015-11-08
Mathematics,2016,4,1,https://doi.org/10.3390/math4010017,0, Revised,2016-02-15
Mathematics,2016,4,1,https://doi.org/10.3390/math4010017,0, Accepted,2016-02-24
Mathematics,2016,4,1,https://doi.org/10.3390/math4010017,0, Published,2016-03-16
Mathematics,2016,4,1,https://doi.org/10.3390/math4010018,1,"
Received",2015-11-28
Mathematics,2016,4,1,https://doi.org/10.3390/math4010018,1, Revised,2016-02-19
Mathematics,2016,4,1,https://doi.org/10.3390/math4010018,1, Accepted,2016-03-04
Mathematics,2016,4,1,https://doi.org/10.3390/math4010018,1, Published,2016-03-15
Mathematics,2016,4,1,https://doi.org/10.3390/math4010019,0,"
Received",2015-12-22
Mathematics,2016,4,1,https://doi.org/10.3390/math4010019,0, Revised,2016-03-06
Mathematics,2016,4,1,https://doi.org/10.3390/math4010019,0, Accepted,2016-03-11
Mathematics,2016,4,1,https://doi.org/10.3390/math4010019,0, Published,2016-03-17
Mathematics,2016,4,1,https://doi.org/10.3390/math4010020,0,"
Received",2016-02-06
Mathematics,2016,4,1,https://doi.org/10.3390/math4010020,0, Accepted,2016-03-14
Mathematics,2016,4,1,https://doi.org/10.3390/math4010020,0, Published,2016-03-18
Mathematics,2016,4,2,https://doi.org/10.3390/math4020021,1,"
Received",2015-12-30
Mathematics,2016,4,2,https://doi.org/10.3390/math4020021,1, Revised,2016-03-07
Mathematics,2016,4,2,https://doi.org/10.3390/math4020021,1, Accepted,2016-03-21
Mathematics,2016,4,2,https://doi.org/10.3390/math4020021,1, Published,2016-04-01
Mathematics,2016,4,2,https://doi.org/10.3390/math4020022,0,"
Received",2015-12-30
Mathematics,2016,4,2,https://doi.org/10.3390/math4020022,0, Revised,2016-03-18
Mathematics,2016,4,2,https://doi.org/10.3390/math4020022,0, Accepted,2016-03-22
Mathematics,2016,4,2,https://doi.org/10.3390/math4020022,0, Published,2016-04-01
Mathematics,2016,4,2,https://doi.org/10.3390/math4020023,0,"
Received",2016-01-25
Mathematics,2016,4,2,https://doi.org/10.3390/math4020023,0, Revised,2016-03-21
Mathematics,2016,4,2,https://doi.org/10.3390/math4020023,0, Accepted,2016-03-25
