journal,year,volume,issue,DOI,SI,event,date
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010001,1,"
Received",2015-11-17
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010001,1, Revised,2015-12-11
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010001,1, Accepted,2015-12-17
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010001,1, Published,2015-12-23
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010002,1,"
Received",2015-09-12
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010002,1, Revised,2015-12-04
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010002,1, Accepted,2015-12-15
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010002,1, Published,2015-12-23
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010003,1,"
Received",2015-10-09
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010003,1, Revised,2015-12-22
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010003,1, Accepted,2015-12-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010003,1, Published,2015-12-29
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010004,1,"
Received",2015-10-30
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010004,1, Revised,2015-12-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010004,1, Accepted,2015-12-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010004,1, Published,2015-12-30
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010005,1,"
Received",2015-11-02
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010005,1, Revised,2015-12-23
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010005,1, Accepted,2015-12-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010005,1, Published,2015-12-30
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010006,1,"
Received",2015-12-14
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010006,1, Revised,2015-12-28
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010006,1, Accepted,2015-12-28
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010006,1, Published,2015-12-31
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010007,1,"
Received",2015-10-31
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010007,1, Revised,2015-12-24
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010007,1, Accepted,2015-12-30
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010007,1, Published,2015-12-31
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010008,0,"
Received",2015-10-30
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010008,0, Revised,2016-01-05
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010008,0, Accepted,2016-01-06
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010008,0, Published,2016-01-15
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010009,1,"
Received",2015-12-07
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010009,1, Revised,2016-01-09
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010009,1, Accepted,2016-01-13
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010009,1, Published,2016-01-20
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010010,0,"
 Received",2016-01-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010010,0, Accepted,2016-01-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010010,0, Published,2016-01-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010011,0,"
Received",2015-09-28
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010011,0, Revised,2016-01-19
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010011,0, Accepted,2016-01-21
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010011,0, Published,2016-01-26
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010012,1,"
Received",2015-12-03
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010012,1, Revised,2016-01-05
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010012,1, Accepted,2016-01-18
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010012,1, Published,2016-01-28
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010013,1,"
Received",2015-10-14
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010013,1, Revised,2016-01-07
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010013,1, Accepted,2016-01-20
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010013,1, Published,2016-02-03
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010014,1,"
Received",2016-01-01
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010014,1, Revised,2016-01-24
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010014,1, Accepted,2016-01-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010014,1, Published,2016-02-05
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010015,1,"
Received",2015-12-22
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010015,1, Revised,2016-01-27
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010015,1, Accepted,2016-01-29
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010015,1, Published,2016-02-11
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010016,1,"
Received",2015-12-11
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010016,1, Revised,2016-02-14
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010016,1, Accepted,2016-02-16
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010016,1, Published,2016-02-25
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010017,1,"
Received",2016-01-04
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010017,1, Revised,2016-01-26
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010017,1, Accepted,2016-02-15
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010017,1, Published,2016-02-29
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010018,0,"
Received",2015-12-21
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010018,0, Revised,2016-02-01
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010018,0, Accepted,2016-02-01
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010018,0, Published,2016-03-01
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010019,0,"
Received",2016-01-12
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010019,0, Revised,2016-02-19
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010019,0, Accepted,2016-02-29
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010019,0, Published,2016-03-10
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010020,1,"
Received",2016-02-10
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010020,1, Revised,2016-03-08
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010020,1, Accepted,2016-03-08
Membranes,2016,6,1,https://doi.org/10.3390/membranes6010020,1, Published,2016-03-18
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020021,1,"
Received",2016-01-29
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020021,1, Revised,2016-03-09
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020021,1, Accepted,2016-03-11
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020021,1, Published,2016-03-23
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020022,1,"
Received",2016-02-29
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020022,1, Revised,2016-03-31
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020022,1, Accepted,2016-04-07
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020022,1, Published,2016-04-13
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020023,1,"
Received",2015-11-28
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020023,1, Revised,2016-04-01
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020023,1, Accepted,2016-04-13
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020023,1, Published,2016-04-18
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020024,0,"
Received",2016-03-10
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020024,0, Revised,2016-04-22
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020024,0, Accepted,2016-04-26
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020024,0, Published,2016-04-29
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020025,1,"
Received",2016-04-12
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020025,1, Revised,2016-05-03
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020025,1, Accepted,2016-05-04
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020025,1, Published,2016-05-09
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020026,1,"
Received",2016-02-29
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020026,1, Revised,2016-04-18
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020026,1, Accepted,2016-05-05
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020026,1, Published,2016-05-11
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020027,0,"
Received",2016-03-18
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020027,0, Revised,2016-04-28
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020027,0, Accepted,2016-05-05
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020027,0, Published,2016-05-16
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020028,0,"
Received",2016-03-29
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020028,0, Revised,2016-05-02
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020028,0, Accepted,2016-05-10
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020028,0, Published,2016-05-16
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020029,1,"
Received",2016-01-31
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020029,1, Revised,2016-05-15
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020029,1, Accepted,2016-05-18
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020029,1, Published,2016-05-25
Membranes,2016,6,2,https://doi.org/10.3390/membranes6020030,1,"
Received",2016-05-04
