journal,year,volume,issue,DOI,SI,event,date
Metals,2016,6,1,https://doi.org/10.3390/met6010001,1,"
Received",2015-10-31
Metals,2016,6,1,https://doi.org/10.3390/met6010001,1, Revised,2015-12-14
Metals,2016,6,1,https://doi.org/10.3390/met6010001,1, Accepted,2015-12-15
Metals,2016,6,1,https://doi.org/10.3390/met6010001,1, Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010002,1,"
Received",2015-10-28
Metals,2016,6,1,https://doi.org/10.3390/met6010002,1, Revised,2015-12-10
Metals,2016,6,1,https://doi.org/10.3390/met6010002,1, Accepted,2015-12-15
Metals,2016,6,1,https://doi.org/10.3390/met6010002,1, Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010003,1,"
Received",2015-10-10
Metals,2016,6,1,https://doi.org/10.3390/met6010003,1, Revised,2015-12-06
Metals,2016,6,1,https://doi.org/10.3390/met6010003,1, Accepted,2015-12-17
Metals,2016,6,1,https://doi.org/10.3390/met6010003,1, Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010004,0,"
Received",2015-10-28
Metals,2016,6,1,https://doi.org/10.3390/met6010004,0, Accepted,2015-12-18
Metals,2016,6,1,https://doi.org/10.3390/met6010004,0, Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010005,1,"
Received",2015-11-01
Metals,2016,6,1,https://doi.org/10.3390/met6010005,1, Revised,2015-12-14
Metals,2016,6,1,https://doi.org/10.3390/met6010005,1, Accepted,2015-12-17
Metals,2016,6,1,https://doi.org/10.3390/met6010005,1, Published,2015-12-24
Metals,2016,6,1,https://doi.org/10.3390/met6010006,0,"
Received",2015-10-28
Metals,2016,6,1,https://doi.org/10.3390/met6010006,0, Revised,2015-11-28
Metals,2016,6,1,https://doi.org/10.3390/met6010006,0, Accepted,2015-12-18
Metals,2016,6,1,https://doi.org/10.3390/met6010006,0, Published,2015-12-25
Metals,2016,6,1,https://doi.org/10.3390/met6010007,1,"
Received",2015-10-01
Metals,2016,6,1,https://doi.org/10.3390/met6010007,1, Revised,2015-12-13
Metals,2016,6,1,https://doi.org/10.3390/met6010007,1, Accepted,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010007,1, Published,2015-12-26
Metals,2016,6,1,https://doi.org/10.3390/met6010008,0,"
Received",2015-11-10
Metals,2016,6,1,https://doi.org/10.3390/met6010008,0, Revised,2015-12-18
Metals,2016,6,1,https://doi.org/10.3390/met6010008,0, Accepted,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010008,0, Published,2015-12-29
Metals,2016,6,1,https://doi.org/10.3390/met6010009,1,"
Received",2015-10-03
Metals,2016,6,1,https://doi.org/10.3390/met6010009,1, Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010009,1, Accepted,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010009,1, Published,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010010,1,"
Received",2015-11-30
Metals,2016,6,1,https://doi.org/10.3390/met6010010,1, Revised,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010010,1, Accepted,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010010,1, Published,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010011,1,"
Received",2015-10-30
Metals,2016,6,1,https://doi.org/10.3390/met6010011,1, Revised,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010011,1, Accepted,2015-12-25
Metals,2016,6,1,https://doi.org/10.3390/met6010011,1, Published,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010012,1,"
Received",2015-11-24
Metals,2016,6,1,https://doi.org/10.3390/met6010012,1, Revised,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010012,1, Accepted,2015-12-30
Metals,2016,6,1,https://doi.org/10.3390/met6010012,1, Published,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010013,1,"
Received",2015-12-17
Metals,2016,6,1,https://doi.org/10.3390/met6010013,1, Revised,2015-12-25
Metals,2016,6,1,https://doi.org/10.3390/met6010013,1, Accepted,2015-12-28
Metals,2016,6,1,https://doi.org/10.3390/met6010013,1, Published,2016-01-07
Metals,2016,6,1,https://doi.org/10.3390/met6010014,0,"
Received",2015-11-30
Metals,2016,6,1,https://doi.org/10.3390/met6010014,0, Revised,2015-12-27
Metals,2016,6,1,https://doi.org/10.3390/met6010014,0, Accepted,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010014,0, Published,2016-01-08
Metals,2016,6,1,https://doi.org/10.3390/met6010015,1,"
Received",2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010015,1, Accepted,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010015,1, Published,2016-01-08
Metals,2016,6,1,https://doi.org/10.3390/met6010016,1,"
Received",2015-11-22
Metals,2016,6,1,https://doi.org/10.3390/met6010016,1, Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010016,1, Accepted,2016-01-06
Metals,2016,6,1,https://doi.org/10.3390/met6010016,1, Published,2016-01-09
Metals,2016,6,1,https://doi.org/10.3390/met6010017,1,"
Received",2015-09-30
Metals,2016,6,1,https://doi.org/10.3390/met6010017,1, Revised,2015-12-04
Metals,2016,6,1,https://doi.org/10.3390/met6010017,1, Accepted,2015-12-09
Metals,2016,6,1,https://doi.org/10.3390/met6010017,1, Published,2016-01-15
Metals,2016,6,1,https://doi.org/10.3390/met6010018,1,"
Received",2015-10-01
Metals,2016,6,1,https://doi.org/10.3390/met6010018,1, Revised,2015-12-31
Metals,2016,6,1,https://doi.org/10.3390/met6010018,1, Accepted,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010018,1, Published,2016-01-13
Metals,2016,6,1,https://doi.org/10.3390/met6010020,1,"
Received",2015-11-25
Metals,2016,6,1,https://doi.org/10.3390/met6010020,1, Revised,2015-12-07
Metals,2016,6,1,https://doi.org/10.3390/met6010020,1, Accepted,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010020,1, Published,2016-01-20
Metals,2016,6,1,https://doi.org/10.3390/met6010021,1,"
Received",2015-12-04
Metals,2016,6,1,https://doi.org/10.3390/met6010021,1, Accepted,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010021,1, Published,2016-01-12
Metals,2016,6,1,https://doi.org/10.3390/met6010022,1,"
Received",2015-12-10
Metals,2016,6,1,https://doi.org/10.3390/met6010022,1, Revised,2016-01-06
Metals,2016,6,1,https://doi.org/10.3390/met6010022,1, Accepted,2016-01-07
Metals,2016,6,1,https://doi.org/10.3390/met6010022,1, Published,2016-01-11
Metals,2016,6,1,https://doi.org/10.3390/met6010023,1,"
Received",2015-07-29
Metals,2016,6,1,https://doi.org/10.3390/met6010023,1, Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010023,1, Accepted,2015-12-28
Metals,2016,6,1,https://doi.org/10.3390/met6010023,1, Published,2016-01-14
Metals,2016,6,1,https://doi.org/10.3390/met6010024,0,"
Received",2015-11-09
Metals,2016,6,1,https://doi.org/10.3390/met6010024,0, Revised,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010024,0, Accepted,2016-01-11
Metals,2016,6,1,https://doi.org/10.3390/met6010024,0, Published,2016-01-15
Metals,2016,6,1,https://doi.org/10.3390/met6010025,0,"
Received",2015-11-17
Metals,2016,6,1,https://doi.org/10.3390/met6010025,0, Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010025,0, Accepted,2016-01-13
Metals,2016,6,1,https://doi.org/10.3390/met6010025,0, Published,2016-01-18
Metals,2016,6,1,https://doi.org/10.3390/met6010026,0,"
Received",2015-11-30
Metals,2016,6,1,https://doi.org/10.3390/met6010026,0, Revised,2016-01-11
Metals,2016,6,1,https://doi.org/10.3390/met6010026,0, Accepted,2016-01-13
Metals,2016,6,1,https://doi.org/10.3390/met6010026,0, Published,2016-01-19
Metals,2016,6,2,https://doi.org/10.3390/met6020028,0,"
Received",2015-11-06
Metals,2016,6,2,https://doi.org/10.3390/met6020028,0, Revised,2015-12-30
Metals,2016,6,2,https://doi.org/10.3390/met6020028,0, Accepted,2016-01-18
Metals,2016,6,2,https://doi.org/10.3390/met6020028,0, Published,2016-01-25
Metals,2016,6,2,https://doi.org/10.3390/met6020029,1,"
Received",2015-12-06
Metals,2016,6,2,https://doi.org/10.3390/met6020029,1, Revised,2016-01-22
Metals,2016,6,2,https://doi.org/10.3390/met6020029,1, Accepted,2016-01-27
Metals,2016,6,2,https://doi.org/10.3390/met6020029,1, Published,2016-01-29
Metals,2016,6,2,https://doi.org/10.3390/met6020030,0,"
Received",2015-11-26
Metals,2016,6,2,https://doi.org/10.3390/met6020030,0, Revised,2016-01-20
Metals,2016,6,2,https://doi.org/10.3390/met6020030,0, Accepted,2016-01-25
Metals,2016,6,2,https://doi.org/10.3390/met6020030,0, Published,2016-02-02
Metals,2016,6,2,https://doi.org/10.3390/met6020031,0,"
Received",2015-11-26
Metals,2016,6,2,https://doi.org/10.3390/met6020031,0, Revised,2016-01-20
Metals,2016,6,2,https://doi.org/10.3390/met6020031,0, Accepted,2016-01-26
Metals,2016,6,2,https://doi.org/10.3390/met6020031,0, Published,2016-02-02
Metals,2016,6,2,https://doi.org/10.3390/met6020032,0,"
Received",2015-11-03
Metals,2016,6,2,https://doi.org/10.3390/met6020032,0, Revised,2016-01-13
Metals,2016,6,2,https://doi.org/10.3390/met6020032,0, Accepted,2016-01-25
Metals,2016,6,2,https://doi.org/10.3390/met6020032,0, Published,2016-02-02
Metals,2016,6,2,https://doi.org/10.3390/met6020033,1,"
Received",2015-12-02
Metals,2016,6,2,https://doi.org/10.3390/met6020033,1, Accepted,2016-01-27
Metals,2016,6,2,https://doi.org/10.3390/met6020033,1, Published,2016-02-04
Metals,2016,6,2,https://doi.org/10.3390/met6020034,1,"
Received",2015-12-26
Metals,2016,6,2,https://doi.org/10.3390/met6020034,1, Revised,2016-01-20
Metals,2016,6,2,https://doi.org/10.3390/met6020034,1, Accepted,2016-02-02
Metals,2016,6,2,https://doi.org/10.3390/met6020034,1, Published,2016-02-05
Metals,2016,6,2,https://doi.org/10.3390/met6020035,0,"
Received",2015-11-30
Metals,2016,6,2,https://doi.org/10.3390/met6020035,0, Revised,2016-01-11
Metals,2016,6,2,https://doi.org/10.3390/met6020035,0, Accepted,2016-01-30
Metals,2016,6,2,https://doi.org/10.3390/met6020035,0, Published,2016-02-15
Metals,2016,6,2,https://doi.org/10.3390/met6020036,0,"
Received",2015-12-14
Metals,2016,6,2,https://doi.org/10.3390/met6020036,0, Revised,2016-01-25
Metals,2016,6,2,https://doi.org/10.3390/met6020036,0, Accepted,2016-01-26
Metals,2016,6,2,https://doi.org/10.3390/met6020036,0, Published,2016-02-17
Metals,2016,6,2,https://doi.org/10.3390/met6020037,1,"
Received",2015-12-04
Metals,2016,6,2,https://doi.org/10.3390/met6020037,1, Revised,2016-01-22
Metals,2016,6,2,https://doi.org/10.3390/met6020037,1, Accepted,2016-02-01
Metals,2016,6,2,https://doi.org/10.3390/met6020037,1, Published,2016-02-17
Metals,2016,6,2,https://doi.org/10.3390/met6020038,1,"
Received",2016-01-11
Metals,2016,6,2,https://doi.org/10.3390/met6020038,1, Revised,2016-02-03
Metals,2016,6,2,https://doi.org/10.3390/met6020038,1, Accepted,2016-02-05
Metals,2016,6,2,https://doi.org/10.3390/met6020038,1, Published,2016-02-17
Metals,2016,6,2,https://doi.org/10.3390/met6020039,0,"
Received",2015-12-31
Metals,2016,6,2,https://doi.org/10.3390/met6020039,0, Revised,2016-02-01
Metals,2016,6,2,https://doi.org/10.3390/met6020039,0, Accepted,2016-02-06
