journal,year,volume,issue,DOI,SI,event,date
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,1,"
Received",2015-10-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,1, Revised,2015-12-12
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,1, Accepted,2015-12-16
Minerals,2016,6,1,https://doi.org/10.3390/min6010001,1, Published,2015-12-23
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,1,"
Received",2015-10-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,1, Revised,2015-12-03
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,1, Accepted,2015-12-14
Minerals,2016,6,1,https://doi.org/10.3390/min6010002,1, Published,2015-12-29
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,1,"
Received",2015-10-07
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,1, Revised,2015-12-06
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,1, Accepted,2015-12-23
Minerals,2016,6,1,https://doi.org/10.3390/min6010003,1, Published,2015-12-30
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,0,"
Received",2015-11-15
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,0, Revised,2015-12-17
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,0, Accepted,2016-01-11
Minerals,2016,6,1,https://doi.org/10.3390/min6010004,0, Published,2016-01-18
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,0,"
Received",2015-11-17
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,0, Revised,2016-01-11
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,0, Accepted,2016-01-13
Minerals,2016,6,1,https://doi.org/10.3390/min6010005,0, Published,2016-01-19
Minerals,2016,6,1,https://doi.org/10.3390/min6010006,0,"
Received",2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010006,0, Accepted,2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010006,0, Published,2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,1,"
Received",2015-08-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,1, Revised,2016-01-11
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,1, Accepted,2016-01-12
Minerals,2016,6,1,https://doi.org/10.3390/min6010007,1, Published,2016-01-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010008,1,"
Received",2015-12-29
Minerals,2016,6,1,https://doi.org/10.3390/min6010008,1, Revised,2016-01-27
Minerals,2016,6,1,https://doi.org/10.3390/min6010008,1, Accepted,2016-01-28
Minerals,2016,6,1,https://doi.org/10.3390/min6010008,1, Published,2016-02-01
Minerals,2016,6,1,https://doi.org/10.3390/min6010009,1,"
Received",2015-12-14
Minerals,2016,6,1,https://doi.org/10.3390/min6010009,1, Revised,2016-01-21
Minerals,2016,6,1,https://doi.org/10.3390/min6010009,1, Accepted,2016-01-25
Minerals,2016,6,1,https://doi.org/10.3390/min6010009,1, Published,2016-02-02
Minerals,2016,6,1,https://doi.org/10.3390/min6010010,1,"
Received",2015-11-25
Minerals,2016,6,1,https://doi.org/10.3390/min6010010,1, Revised,2016-01-20
Minerals,2016,6,1,https://doi.org/10.3390/min6010010,1, Accepted,2016-01-25
