journal,year,volume,issue,DOI,SI,event,date
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010001,0,"
Received",2015-11-17
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010001,0, Revised,2015-12-19
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010001,0, Accepted,2015-12-21
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010001,0, Published,2015-12-25
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010002,1,"
Received",2015-11-03
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010002,1, Revised,2015-12-13
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010002,1, Accepted,2015-12-17
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010002,1, Published,2015-12-25
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010003,1,"
Received",2015-09-25
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010003,1, Revised,2015-11-08
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010003,1, Accepted,2015-11-24
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010003,1, Published,2015-12-28
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010004,1,"
Received",2015-10-12
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010004,1, Revised,2015-11-14
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010004,1, Accepted,2015-12-17
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010004,1, Published,2015-12-29
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010005,1,"
Received",2015-11-12
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010005,1, Revised,2015-12-11
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010005,1, Accepted,2015-12-16
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010005,1, Published,2015-12-31
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010006,0,"
Received",2015-10-07
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010006,0, Revised,2015-11-02
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010006,0, Accepted,2015-11-06
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010006,0, Published,2016-01-02
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010007,1,"
Received",2015-11-14
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010007,1, Revised,2015-12-13
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010007,1, Accepted,2015-12-24
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010007,1, Published,2016-01-04
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010008,1,"
Received",2015-10-16
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010008,1, Revised,2015-12-23
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010008,1, Accepted,2015-12-28
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010008,1, Published,2016-01-05
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010009,0,"
Received",2015-11-10
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010009,0, Revised,2015-12-18
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010009,0, Accepted,2015-12-30
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010009,0, Published,2016-01-05
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010010,1,"
Received",2015-12-01
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010010,1, Revised,2015-12-28
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010010,1, Accepted,2015-12-31
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010010,1, Published,2016-01-06
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010011,1,"
Received",2015-12-07
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010011,1, Revised,2015-12-21
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010011,1, Accepted,2015-12-29
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010011,1, Published,2016-01-07
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010012,1,"
Received",2015-11-11
Nanomaterials,2016,6,1,https://doi.org/10.3390/nano6010012,1, Revised,2015-12-14
