journal,year,volume,issue,DOI,SI,event,date
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)","
Received",2015-07-07
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)", Revised,2015-12-17
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)", Accepted,2015-12-18
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010001,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)", Published,2015-12-25
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,"
(This article belongs to the Special Issue Natural Crop Protectants)","
Received",2015-11-09
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,"
(This article belongs to the Special Issue Natural Crop Protectants)", Revised,2015-12-10
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,"
(This article belongs to the Special Issue Natural Crop Protectants)", Accepted,2015-12-16
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010002,"
(This article belongs to the Special Issue Natural Crop Protectants)", Published,2015-12-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010003,"
(This article belongs to the Special Issue Sustainable Agriculture)","
Received",2015-09-07
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010003,"
(This article belongs to the Special Issue Sustainable Agriculture)", Accepted,2015-12-14
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010003,"
(This article belongs to the Special Issue Sustainable Agriculture)", Published,2016-01-11
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,"
(This article belongs to the Special Issue Remote sensing for crop production and management)","
Received",2015-10-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,"
(This article belongs to the Special Issue Remote sensing for crop production and management)", Revised,2015-12-11
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,"
(This article belongs to the Special Issue Remote sensing for crop production and management)", Accepted,2015-12-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010004,"
(This article belongs to the Special Issue Remote sensing for crop production and management)", Published,2016-01-18
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)","
Received",2015-09-16
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)", Revised,2016-01-07
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)", Accepted,2016-01-13
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010005,"
(This article belongs to the Special Issue Recycling Organic Wastes in Agriculture)", Published,2016-01-19
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,"
(This article belongs to the Special Issue Persistent and Emerging Issues in the Safety of Fresh Fruit and Vegetables)","
Received",2015-10-12
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,"
(This article belongs to the Special Issue Persistent and Emerging Issues in the Safety of Fresh Fruit and Vegetables)", Revised,2016-01-05
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,"
(This article belongs to the Special Issue Persistent and Emerging Issues in the Safety of Fresh Fruit and Vegetables)", Accepted,2016-01-13
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010006,"
(This article belongs to the Special Issue Persistent and Emerging Issues in the Safety of Fresh Fruit and Vegetables)", Published,2016-01-26
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,"
(This article belongs to the Special Issue Remote sensing for crop production and management)","
Received",2015-09-15
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,"
(This article belongs to the Special Issue Remote sensing for crop production and management)", Revised,2016-01-19
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,"
(This article belongs to the Special Issue Remote sensing for crop production and management)", Accepted,2016-01-21
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010007,"
(This article belongs to the Special Issue Remote sensing for crop production and management)", Published,2016-01-30
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010008,Normal Issue,"
Received",2016-02-02
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010008,Normal Issue, Accepted,2016-02-02
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010008,Normal Issue, Published,2016-02-02
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,"
(This article belongs to the Special Issue Fresh Produce Wastage)","
Received",2015-09-29
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,"
(This article belongs to the Special Issue Fresh Produce Wastage)", Revised,2016-01-20
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,"
(This article belongs to the Special Issue Fresh Produce Wastage)", Accepted,2016-02-13
Agriculture,2016,6,1,https://doi.org/10.3390/agriculture6010009,"
(This article belongs to the Special Issue Fresh Produce Wastage)", Published,2016-02-23
