journal,year,volume,issue,DOI,SI,event,date
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,Normal Issue,"
Received",2015-07-31
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,Normal Issue, Revised,2015-12-01
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,Normal Issue, Accepted,2015-12-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010001,Normal Issue, Published,2015-12-24
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,"
(This article belongs to the Special Issue Antimicrobial Stewardship)","
Received",2015-09-22
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Revised,2015-12-04
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Accepted,2015-12-23
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010002,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Published,2015-12-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,"
(This article belongs to the Special Issue Biofilm Infection)","
Received",2015-10-12
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,"
(This article belongs to the Special Issue Biofilm Infection)", Revised,2015-11-27
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,"
(This article belongs to the Special Issue Biofilm Infection)", Accepted,2015-12-30
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010003,"
(This article belongs to the Special Issue Biofilm Infection)", Published,2016-01-09
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,"
(This article belongs to the Special Issue The Use of Antibiotics in Food-Producing Animals)","
Received",2015-06-08
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,"
(This article belongs to the Special Issue The Use of Antibiotics in Food-Producing Animals)", Revised,2015-12-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,"
(This article belongs to the Special Issue The Use of Antibiotics in Food-Producing Animals)", Accepted,2016-01-05
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010004,"
(This article belongs to the Special Issue The Use of Antibiotics in Food-Producing Animals)", Published,2016-01-13
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,"
(This article belongs to the Special Issue Antimicrobial Stewardship)","
Received",2015-09-28
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Revised,2015-12-04
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Accepted,2016-01-04
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010005,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Published,2016-01-13
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,"
(This article belongs to the Special Issue Antimicrobial Stewardship)","
Received",2015-09-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Revised,2015-12-20
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Accepted,2016-01-06
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010006,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Published,2016-01-14
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,"
(This article belongs to the Special Issue Antimicrobial Stewardship)","
Received",2015-09-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Revised,2015-12-31
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Accepted,2016-01-08
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010007,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Published,2016-01-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,"
(This article belongs to the Special Issue Antimicrobial Stewardship)","
Received",2015-09-30
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Revised,2015-12-14
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Accepted,2015-12-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010008,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Published,2016-01-19
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010009,Normal Issue,"
Received",2016-01-22
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010009,Normal Issue, Accepted,2016-01-22
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010009,Normal Issue, Published,2016-01-27
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010010,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)","
Received",2015-11-26
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010010,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Revised,2016-01-19
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010010,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Accepted,2016-01-21
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010010,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Published,2016-01-28
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010011,"
(This article belongs to the Special Issue Antimicrobial Stewardship)","
Received",2015-11-06
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010011,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Revised,2015-12-29
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010011,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Accepted,2016-01-28
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010011,"
(This article belongs to the Special Issue Antimicrobial Stewardship)", Published,2016-02-15
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010012,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)","
Received",2015-12-22
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010012,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Revised,2016-01-27
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010012,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Accepted,2016-02-03
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010012,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Published,2016-02-17
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010013,"
(This article belongs to the Special Issue Clostridium difficile Infection)","
Received",2015-08-26
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010013,"
(This article belongs to the Special Issue Clostridium difficile Infection)", Revised,2016-01-07
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010013,"
(This article belongs to the Special Issue Clostridium difficile Infection)", Accepted,2016-02-02
Antibiotics,2016,5,1,https://doi.org/10.3390/antibiotics5010013,"
(This article belongs to the Special Issue Clostridium difficile Infection)", Published,2016-02-26
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020014,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)","
Received",2015-12-26
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020014,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Revised,2016-03-15
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020014,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Accepted,2016-04-09
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020014,"
(This article belongs to the Special Issue Bacterial Cell Wall as Antimicrobial Target)", Published,2016-04-28
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020015,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)","
Received",2016-03-12
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020015,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Revised,2016-04-22
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020015,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Accepted,2016-05-03
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020015,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Published,2016-05-06
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020016,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)","
Received",2016-02-25
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020016,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Revised,2016-04-26
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020016,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Accepted,2016-05-03
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020016,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Published,2016-05-10
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020017,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)","
Received",2016-03-20
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020017,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Revised,2016-05-10
Antibiotics,2016,5,2,https://doi.org/10.3390/antibiotics5020017,"
(This article belongs to the Special Issue Inhibitors of the Translational Apparatus)", Accepted,2016-05-12
