journal,year,volume,issue,DOI,SI,event,date
Biology,2016,5,1,https://doi.org/10.3390/biology5010001,Normal Issue,"
Received",2015-10-28
Biology,2016,5,1,https://doi.org/10.3390/biology5010001,Normal Issue, Revised,2015-12-02
Biology,2016,5,1,https://doi.org/10.3390/biology5010001,Normal Issue, Accepted,2015-12-15
Biology,2016,5,1,https://doi.org/10.3390/biology5010001,Normal Issue, Published,2015-12-23
Biology,2016,5,1,https://doi.org/10.3390/biology5010002,Normal Issue,"
Received",2015-07-16
Biology,2016,5,1,https://doi.org/10.3390/biology5010002,Normal Issue, Revised,2015-10-22
Biology,2016,5,1,https://doi.org/10.3390/biology5010002,Normal Issue, Accepted,2015-12-28
Biology,2016,5,1,https://doi.org/10.3390/biology5010002,Normal Issue, Published,2016-01-04
Biology,2016,5,1,https://doi.org/10.3390/biology5010003,"
(This article belongs to the Special Issue DNA Methylation)","
Received",2015-07-08
Biology,2016,5,1,https://doi.org/10.3390/biology5010003,"
(This article belongs to the Special Issue DNA Methylation)", Revised,2015-12-16
Biology,2016,5,1,https://doi.org/10.3390/biology5010003,"
(This article belongs to the Special Issue DNA Methylation)", Accepted,2015-12-22
Biology,2016,5,1,https://doi.org/10.3390/biology5010003,"
(This article belongs to the Special Issue DNA Methylation)", Published,2016-01-06
Biology,2016,5,1,https://doi.org/10.3390/biology5010004,Normal Issue,"
Received",2015-09-29
Biology,2016,5,1,https://doi.org/10.3390/biology5010004,Normal Issue, Revised,2015-12-29
Biology,2016,5,1,https://doi.org/10.3390/biology5010004,Normal Issue, Accepted,2015-12-31
Biology,2016,5,1,https://doi.org/10.3390/biology5010004,Normal Issue, Published,2016-01-14
Biology,2016,5,1,https://doi.org/10.3390/biology5010005,Normal Issue,"
Received",2015-10-26
Biology,2016,5,1,https://doi.org/10.3390/biology5010005,Normal Issue, Revised,2016-01-12
Biology,2016,5,1,https://doi.org/10.3390/biology5010005,Normal Issue, Accepted,2016-01-13
Biology,2016,5,1,https://doi.org/10.3390/biology5010005,Normal Issue, Published,2016-01-16
Biology,2016,5,1,https://doi.org/10.3390/biology5010006,"
(This article belongs to the Special Issue Current Topics in Fish Immunity)","
Received",2015-11-05
