journal,year,volume,issue,DOI,SI,event,date
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010001,"
(This article belongs to the Special Issue Tsunami Science and Engineering)","
Received",2015-07-31
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010001,"
(This article belongs to the Special Issue Tsunami Science and Engineering)", Revised,2015-12-02
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010001,"
(This article belongs to the Special Issue Tsunami Science and Engineering)", Accepted,2015-12-09
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010001,"
(This article belongs to the Special Issue Tsunami Science and Engineering)", Published,2015-12-25
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010002,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)","
Received",2015-09-18
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010002,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)", Revised,2015-11-27
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010002,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)", Accepted,2015-12-09
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010002,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)", Published,2015-12-25
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010003,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)","
Received",2015-10-05
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010003,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Revised,2015-12-01
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010003,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Accepted,2015-12-15
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010003,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Published,2015-12-24
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010004,"
(This article belongs to the Special Issue Tsunami Science and Engineering)","
Received",2015-10-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010004,"
(This article belongs to the Special Issue Tsunami Science and Engineering)", Revised,2016-01-05
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010004,"
(This article belongs to the Special Issue Tsunami Science and Engineering)", Accepted,2016-01-07
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010004,"
(This article belongs to the Special Issue Tsunami Science and Engineering)", Published,2016-01-15
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010005,"
(This article belongs to the Special Issue Ocean Wave Energy Conversion)","
Received",2015-11-23
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010005,"
(This article belongs to the Special Issue Ocean Wave Energy Conversion)", Revised,2015-12-28
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010005,"
(This article belongs to the Special Issue Ocean Wave Energy Conversion)", Accepted,2016-01-15
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010005,"
(This article belongs to the Special Issue Ocean Wave Energy Conversion)", Published,2016-01-25
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010006,Normal Issue,"
Received",2016-01-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010006,Normal Issue, Accepted,2016-01-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010006,Normal Issue, Published,2016-01-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010007,"
(This article belongs to the Special Issue Settlement & Metamorphosis of Marine Invertebrate Larvae)","
Received",2015-11-18
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010007,"
(This article belongs to the Special Issue Settlement & Metamorphosis of Marine Invertebrate Larvae)", Revised,2016-01-06
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010007,"
(This article belongs to the Special Issue Settlement & Metamorphosis of Marine Invertebrate Larvae)", Accepted,2016-01-12
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010007,"
(This article belongs to the Special Issue Settlement & Metamorphosis of Marine Invertebrate Larvae)", Published,2016-01-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010008,"
(This article belongs to the Section Physical Oceanography)","
Received",2015-11-02
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010008,"
(This article belongs to the Section Physical Oceanography)", Revised,2016-01-11
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010008,"
(This article belongs to the Section Physical Oceanography)", Accepted,2016-01-21
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010008,"
(This article belongs to the Section Physical Oceanography)", Published,2016-02-02
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010009,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)","
Received",2015-11-24
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010009,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Revised,2016-01-14
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010009,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Accepted,2016-01-15
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010009,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Published,2016-02-02
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010010,"
(This article belongs to the Special Issue Coastal Hazards Related to Storm Surge)","
Received",2015-07-12
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010010,"
(This article belongs to the Special Issue Coastal Hazards Related to Storm Surge)", Revised,2016-01-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010010,"
(This article belongs to the Special Issue Coastal Hazards Related to Storm Surge)", Accepted,2016-01-28
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010010,"
(This article belongs to the Special Issue Coastal Hazards Related to Storm Surge)", Published,2016-02-15
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010011,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)","
Received",2015-10-16
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010011,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)", Revised,2016-01-29
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010011,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)", Accepted,2016-01-29
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010011,"
(This article belongs to the Special Issue Research Tools and Methods for Marine Species Acquisition and Identification)", Published,2016-02-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010012,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)","
Received",2015-11-02
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010012,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Revised,2015-12-17
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010012,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Accepted,2016-01-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010012,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Published,2016-02-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010013,"
(This article belongs to the Special Issue Marine Microbial Communities: Biodiversity, Composition and Function)","
Received",2015-12-08
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010013,"
(This article belongs to the Special Issue Marine Microbial Communities: Biodiversity, Composition and Function)", Revised,2016-01-25
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010013,"
(This article belongs to the Special Issue Marine Microbial Communities: Biodiversity, Composition and Function)", Accepted,2016-01-29
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010013,"
(This article belongs to the Special Issue Marine Microbial Communities: Biodiversity, Composition and Function)", Published,2016-02-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010014,"
(This article belongs to the Special Issue Coastal Morphodynamics)","
Received",2015-12-30
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010014,"
(This article belongs to the Special Issue Coastal Morphodynamics)", Revised,2016-01-29
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010014,"
(This article belongs to the Special Issue Coastal Morphodynamics)", Accepted,2016-02-02
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010014,"
(This article belongs to the Special Issue Coastal Morphodynamics)", Published,2016-02-22
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010015,"
(This article belongs to the Special Issue Coastal Morphodynamics)","
Received",2015-12-04
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010015,"
(This article belongs to the Special Issue Coastal Morphodynamics)", Revised,2016-01-31
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010015,"
(This article belongs to the Special Issue Coastal Morphodynamics)", Accepted,2016-02-03
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010015,"
(This article belongs to the Special Issue Coastal Morphodynamics)", Published,2016-02-25
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010016,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)","
Received",2015-10-05
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010016,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Revised,2016-01-11
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010016,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Accepted,2016-01-15
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010016,"
(This article belongs to the Special Issue Infra-Gravity Waves and Vessel Response)", Published,2016-02-25
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010017,"
(This article belongs to the Section Ocean Engineering)","
Received",2015-11-30
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010017,"
(This article belongs to the Section Ocean Engineering)", Revised,2016-02-09
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010017,"
(This article belongs to the Section Ocean Engineering)", Accepted,2016-02-14
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010017,"
(This article belongs to the Section Ocean Engineering)", Published,2016-02-24
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010018,"
(This article belongs to the Special Issue Offshore Wind Energy)","
Received",2015-12-11
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010018,"
(This article belongs to the Special Issue Offshore Wind Energy)", Revised,2016-01-18
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010018,"
(This article belongs to the Special Issue Offshore Wind Energy)", Accepted,2016-02-14
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010018,"
(This article belongs to the Special Issue Offshore Wind Energy)", Published,2016-03-03
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010019,"
(This article belongs to the Special Issue Trace Metal Contamination in Estuarine and Coastal Environments)","
Received",2015-12-24
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010019,"
(This article belongs to the Special Issue Trace Metal Contamination in Estuarine and Coastal Environments)", Revised,2016-02-17
J. Mar. Sci. Eng.,2016,4,1,https://doi.org/10.3390/jmse4010019,"
(This article belongs to the Special Issue Trace Metal Contamination in Estuarine and Coastal Environments)", Accepted,2016-02-18
