journal,year,volume,issue,DOI,SI,event,date
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,"
(This article belongs to the Special Issue Yeasts Are Beasts)","
Received",2015-10-07
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,"
(This article belongs to the Special Issue Yeasts Are Beasts)", Revised,2015-11-18
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,"
(This article belongs to the Special Issue Yeasts Are Beasts)", Accepted,2015-12-09
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010001,"
(This article belongs to the Special Issue Yeasts Are Beasts)", Published,2015-12-23
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,"
(This article belongs to the Special Issue Fungal Infections in Transplant Recipients)","
Received",2015-11-13
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,"
(This article belongs to the Special Issue Fungal Infections in Transplant Recipients)", Revised,2015-12-15
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,"
(This article belongs to the Special Issue Fungal Infections in Transplant Recipients)", Accepted,2015-12-17
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010002,"
(This article belongs to the Special Issue Fungal Infections in Transplant Recipients)", Published,2015-12-22
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,Normal Issue,"
Received",2015-10-13
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,Normal Issue, Revised,2015-12-07
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,Normal Issue, Accepted,2015-12-18
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010003,Normal Issue, Published,2015-12-24
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,"
(This article belongs to the Special Issue Cutaneous Fungal Diseases)","
Received",2015-10-21
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,"
(This article belongs to the Special Issue Cutaneous Fungal Diseases)", Revised,2015-11-16
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,"
(This article belongs to the Special Issue Cutaneous Fungal Diseases)", Accepted,2015-12-14
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010004,"
(This article belongs to the Special Issue Cutaneous Fungal Diseases)", Published,2015-12-31
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,"
(This article belongs to the Special Issue Yeasts Are Beasts)","
Received",2015-12-03
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,"
(This article belongs to the Special Issue Yeasts Are Beasts)", Revised,2016-01-04
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,"
(This article belongs to the Special Issue Yeasts Are Beasts)", Accepted,2016-01-05
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010005,"
(This article belongs to the Special Issue Yeasts Are Beasts)", Published,2016-01-08
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)","
Received",2015-11-24
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)", Revised,2015-12-21
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)", Accepted,2016-01-05
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010006,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)", Published,2016-01-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)","
Received",2015-10-22
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)", Revised,2015-12-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)", Accepted,2015-12-12
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010007,"
(This article belongs to the Special Issue Fungal '-Omics': Is the Best Yet to Come?)", Published,2016-01-14
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010008,Normal Issue,"
Received",2016-02-01
J. Fungi,2016,2,1,https://doi.org/10.3390/jof2010008,Normal Issue, Accepted,2016-02-01
