journal,year,volume,issue,DOI,SI,event,date
Land,2016,5,1,https://doi.org/10.3390/land5010001,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)","
Received",2015-07-08
Land,2016,5,1,https://doi.org/10.3390/land5010001,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)", Revised,2016-01-11
Land,2016,5,1,https://doi.org/10.3390/land5010001,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)", Accepted,2016-01-12
Land,2016,5,1,https://doi.org/10.3390/land5010001,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)", Published,2016-01-22
Land,2016,5,1,https://doi.org/10.3390/land5010002,Normal Issue,"
Received",2016-01-23
Land,2016,5,1,https://doi.org/10.3390/land5010002,Normal Issue, Accepted,2016-01-23
Land,2016,5,1,https://doi.org/10.3390/land5010002,Normal Issue, Published,2016-01-23
Land,2016,5,1,https://doi.org/10.3390/land5010003,Normal Issue,"
Received",2015-10-27
Land,2016,5,1,https://doi.org/10.3390/land5010003,Normal Issue, Revised,2015-12-15
Land,2016,5,1,https://doi.org/10.3390/land5010003,Normal Issue, Accepted,2016-01-19
Land,2016,5,1,https://doi.org/10.3390/land5010003,Normal Issue, Published,2016-01-26
Land,2016,5,1,https://doi.org/10.3390/land5010004,Normal Issue,"
Received",2015-11-30
Land,2016,5,1,https://doi.org/10.3390/land5010004,Normal Issue, Revised,2016-01-22
Land,2016,5,1,https://doi.org/10.3390/land5010004,Normal Issue, Accepted,2016-01-26
Land,2016,5,1,https://doi.org/10.3390/land5010004,Normal Issue, Published,2016-02-04
Land,2016,5,1,https://doi.org/10.3390/land5010005,"
(This article belongs to the Special Issue Agent-Based Modelling and Landscape Change)","
Received",2015-12-01
Land,2016,5,1,https://doi.org/10.3390/land5010005,"
(This article belongs to the Special Issue Agent-Based Modelling and Landscape Change)", Revised,2016-01-25
Land,2016,5,1,https://doi.org/10.3390/land5010005,"
(This article belongs to the Special Issue Agent-Based Modelling and Landscape Change)", Accepted,2016-01-27
Land,2016,5,1,https://doi.org/10.3390/land5010005,"
(This article belongs to the Special Issue Agent-Based Modelling and Landscape Change)", Published,2016-02-05
Land,2016,5,1,https://doi.org/10.3390/land5010006,"
(This article belongs to the Special Issue Changing Land Use, Changing Livelihoods)","
Received",2015-07-15
Land,2016,5,1,https://doi.org/10.3390/land5010006,"
(This article belongs to the Special Issue Changing Land Use, Changing Livelihoods)", Accepted,2016-02-01
Land,2016,5,1,https://doi.org/10.3390/land5010006,"
(This article belongs to the Special Issue Changing Land Use, Changing Livelihoods)", Published,2016-02-06
Land,2016,5,2,https://doi.org/10.3390/land5020007,Normal Issue,"
Received",2015-11-06
Land,2016,5,2,https://doi.org/10.3390/land5020007,Normal Issue, Revised,2016-02-11
Land,2016,5,2,https://doi.org/10.3390/land5020007,Normal Issue, Accepted,2016-03-11
Land,2016,5,2,https://doi.org/10.3390/land5020007,Normal Issue, Published,2016-03-24
Land,2016,5,2,https://doi.org/10.3390/land5020008,Normal Issue,"
Received",2015-10-03
Land,2016,5,2,https://doi.org/10.3390/land5020008,Normal Issue, Revised,2016-02-11
Land,2016,5,2,https://doi.org/10.3390/land5020008,Normal Issue, Accepted,2016-03-10
Land,2016,5,2,https://doi.org/10.3390/land5020008,Normal Issue, Published,2016-03-29
Land,2016,5,2,https://doi.org/10.3390/land5020009,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)","
Received",2016-04-13
Land,2016,5,2,https://doi.org/10.3390/land5020009,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)", Revised,2016-04-13
Land,2016,5,2,https://doi.org/10.3390/land5020009,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)", Accepted,2016-04-13
Land,2016,5,2,https://doi.org/10.3390/land5020009,"
(This article belongs to the Special Issue Agro(Eco)System Services—Supply and Demand from Fields to Society)", Published,2016-04-20
Land,2016,5,2,https://doi.org/10.3390/land5020010,"
(This article belongs to the Special Issue Changing Land Use, Changing Livelihoods)","
Received",2015-08-12
Land,2016,5,2,https://doi.org/10.3390/land5020010,"
(This article belongs to the Special Issue Changing Land Use, Changing Livelihoods)", Revised,2016-03-25
