journal,year,volume,issue,DOI,SI,event,date
Metals,2016,6,1,https://doi.org/10.3390/met6010001,"
(This article belongs to the Special Issue Superalloys)","
Received",2015-10-31
Metals,2016,6,1,https://doi.org/10.3390/met6010001,"
(This article belongs to the Special Issue Superalloys)", Revised,2015-12-14
Metals,2016,6,1,https://doi.org/10.3390/met6010001,"
(This article belongs to the Special Issue Superalloys)", Accepted,2015-12-15
Metals,2016,6,1,https://doi.org/10.3390/met6010001,"
(This article belongs to the Special Issue Superalloys)", Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010002,"
(This article belongs to the Special Issue Superalloys)","
Received",2015-10-28
Metals,2016,6,1,https://doi.org/10.3390/met6010002,"
(This article belongs to the Special Issue Superalloys)", Revised,2015-12-10
Metals,2016,6,1,https://doi.org/10.3390/met6010002,"
(This article belongs to the Special Issue Superalloys)", Accepted,2015-12-15
Metals,2016,6,1,https://doi.org/10.3390/met6010002,"
(This article belongs to the Special Issue Superalloys)", Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010003,"
(This article belongs to the Special Issue Oxidation of Metals)","
Received",2015-10-10
Metals,2016,6,1,https://doi.org/10.3390/met6010003,"
(This article belongs to the Special Issue Oxidation of Metals)", Revised,2015-12-06
Metals,2016,6,1,https://doi.org/10.3390/met6010003,"
(This article belongs to the Special Issue Oxidation of Metals)", Accepted,2015-12-17
Metals,2016,6,1,https://doi.org/10.3390/met6010003,"
(This article belongs to the Special Issue Oxidation of Metals)", Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010004,Normal Issue,"
Received",2015-10-28
Metals,2016,6,1,https://doi.org/10.3390/met6010004,Normal Issue, Accepted,2015-12-18
Metals,2016,6,1,https://doi.org/10.3390/met6010004,Normal Issue, Published,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010005,"
(This article belongs to the Special Issue Superalloys)","
Received",2015-11-01
Metals,2016,6,1,https://doi.org/10.3390/met6010005,"
(This article belongs to the Special Issue Superalloys)", Revised,2015-12-14
Metals,2016,6,1,https://doi.org/10.3390/met6010005,"
(This article belongs to the Special Issue Superalloys)", Accepted,2015-12-17
Metals,2016,6,1,https://doi.org/10.3390/met6010005,"
(This article belongs to the Special Issue Superalloys)", Published,2015-12-24
Metals,2016,6,1,https://doi.org/10.3390/met6010006,Normal Issue,"
Received",2015-10-28
Metals,2016,6,1,https://doi.org/10.3390/met6010006,Normal Issue, Revised,2015-11-28
Metals,2016,6,1,https://doi.org/10.3390/met6010006,Normal Issue, Accepted,2015-12-18
Metals,2016,6,1,https://doi.org/10.3390/met6010006,Normal Issue, Published,2015-12-25
Metals,2016,6,1,https://doi.org/10.3390/met6010007,"
(This article belongs to the Special Issue Refractory Metals and Alloys)","
Received",2015-10-01
Metals,2016,6,1,https://doi.org/10.3390/met6010007,"
(This article belongs to the Special Issue Refractory Metals and Alloys)", Revised,2015-12-13
Metals,2016,6,1,https://doi.org/10.3390/met6010007,"
(This article belongs to the Special Issue Refractory Metals and Alloys)", Accepted,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010007,"
(This article belongs to the Special Issue Refractory Metals and Alloys)", Published,2015-12-26
Metals,2016,6,1,https://doi.org/10.3390/met6010008,Normal Issue,"
Received",2015-11-10
Metals,2016,6,1,https://doi.org/10.3390/met6010008,Normal Issue, Revised,2015-12-18
Metals,2016,6,1,https://doi.org/10.3390/met6010008,Normal Issue, Accepted,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010008,Normal Issue, Published,2015-12-29
Metals,2016,6,1,https://doi.org/10.3390/met6010009,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-10-03
Metals,2016,6,1,https://doi.org/10.3390/met6010009,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010009,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010009,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010010,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-11-30
Metals,2016,6,1,https://doi.org/10.3390/met6010010,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010010,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010010,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010011,"
(This article belongs to the Special Issue The Role of MnS Inclusions in the Localized Corrosion of Carbon Steel)","
Received",2015-10-30
Metals,2016,6,1,https://doi.org/10.3390/met6010011,"
(This article belongs to the Special Issue The Role of MnS Inclusions in the Localized Corrosion of Carbon Steel)", Revised,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010011,"
(This article belongs to the Special Issue The Role of MnS Inclusions in the Localized Corrosion of Carbon Steel)", Accepted,2015-12-25
Metals,2016,6,1,https://doi.org/10.3390/met6010011,"
(This article belongs to the Special Issue The Role of MnS Inclusions in the Localized Corrosion of Carbon Steel)", Published,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010012,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-11-24
Metals,2016,6,1,https://doi.org/10.3390/met6010012,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-23
Metals,2016,6,1,https://doi.org/10.3390/met6010012,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2015-12-30
Metals,2016,6,1,https://doi.org/10.3390/met6010012,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010013,"
(This article belongs to the Special Issue Aluminum Alloys)","
Received",2015-12-17
Metals,2016,6,1,https://doi.org/10.3390/met6010013,"
(This article belongs to the Special Issue Aluminum Alloys)", Revised,2015-12-25
Metals,2016,6,1,https://doi.org/10.3390/met6010013,"
(This article belongs to the Special Issue Aluminum Alloys)", Accepted,2015-12-28
Metals,2016,6,1,https://doi.org/10.3390/met6010013,"
(This article belongs to the Special Issue Aluminum Alloys)", Published,2016-01-07
Metals,2016,6,1,https://doi.org/10.3390/met6010014,Normal Issue,"
Received",2015-11-30
Metals,2016,6,1,https://doi.org/10.3390/met6010014,Normal Issue, Revised,2015-12-27
Metals,2016,6,1,https://doi.org/10.3390/met6010014,Normal Issue, Accepted,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010014,Normal Issue, Published,2016-01-08
Metals,2016,6,1,https://doi.org/10.3390/met6010015,"
(This article belongs to the Special Issue Casting Alloy Design and Modification)","
Received",2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010015,"
(This article belongs to the Special Issue Casting Alloy Design and Modification)", Accepted,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010015,"
(This article belongs to the Special Issue Casting Alloy Design and Modification)", Published,2016-01-08
Metals,2016,6,1,https://doi.org/10.3390/met6010016,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-11-22
Metals,2016,6,1,https://doi.org/10.3390/met6010016,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010016,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2016-01-06
Metals,2016,6,1,https://doi.org/10.3390/met6010016,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-09
Metals,2016,6,1,https://doi.org/10.3390/met6010017,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-09-30
Metals,2016,6,1,https://doi.org/10.3390/met6010017,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-04
Metals,2016,6,1,https://doi.org/10.3390/met6010017,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2015-12-09
Metals,2016,6,1,https://doi.org/10.3390/met6010017,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-15
Metals,2016,6,1,https://doi.org/10.3390/met6010018,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-10-01
Metals,2016,6,1,https://doi.org/10.3390/met6010018,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-31
Metals,2016,6,1,https://doi.org/10.3390/met6010018,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2016-01-04
Metals,2016,6,1,https://doi.org/10.3390/met6010018,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-13
Metals,2016,6,1,https://doi.org/10.3390/met6010020,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-11-25
Metals,2016,6,1,https://doi.org/10.3390/met6010020,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2015-12-07
Metals,2016,6,1,https://doi.org/10.3390/met6010020,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2015-12-21
Metals,2016,6,1,https://doi.org/10.3390/met6010020,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-20
Metals,2016,6,1,https://doi.org/10.3390/met6010021,"
(This article belongs to the Special Issue Synthetic Metals)","
Received",2015-12-04
Metals,2016,6,1,https://doi.org/10.3390/met6010021,"
(This article belongs to the Special Issue Synthetic Metals)", Accepted,2016-01-05
Metals,2016,6,1,https://doi.org/10.3390/met6010021,"
(This article belongs to the Special Issue Synthetic Metals)", Published,2016-01-12
Metals,2016,6,1,https://doi.org/10.3390/met6010022,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)","
Received",2015-12-10
Metals,2016,6,1,https://doi.org/10.3390/met6010022,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Revised,2016-01-06
Metals,2016,6,1,https://doi.org/10.3390/met6010022,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Accepted,2016-01-07
Metals,2016,6,1,https://doi.org/10.3390/met6010022,"
(This article belongs to the Special Issue Metals Challenged by Neutron and Synchrotron Radiation)", Published,2016-01-11
Metals,2016,6,1,https://doi.org/10.3390/met6010023,"
(This article belongs to the Special Issue Hydrometallurgy)","
Received",2015-07-29
Metals,2016,6,1,https://doi.org/10.3390/met6010023,"
(This article belongs to the Special Issue Hydrometallurgy)", Revised,2015-12-22
Metals,2016,6,1,https://doi.org/10.3390/met6010023,"
(This article belongs to the Special Issue Hydrometallurgy)", Accepted,2015-12-28
