journal,year,volume,issue,DOI,SI,event,date
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010001,"
(This article belongs to the Special Issue Microbial Resource Management)","
Received",2015-09-25
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010001,"
(This article belongs to the Special Issue Microbial Resource Management)", Revised,2015-12-08
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010001,"
(This article belongs to the Special Issue Microbial Resource Management)", Accepted,2015-12-14
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010001,"
(This article belongs to the Special Issue Microbial Resource Management)", Published,2016-01-04
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010002,"
(This article belongs to the Special Issue Microbial Resource Management)","
Received",2015-10-27
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010002,"
(This article belongs to the Special Issue Microbial Resource Management)", Revised,2015-11-26
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010002,"
(This article belongs to the Special Issue Microbial Resource Management)", Accepted,2015-12-08
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010002,"
(This article belongs to the Special Issue Microbial Resource Management)", Published,2016-01-04
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010003,"
(This article belongs to the Special Issue Diversity and Dynamics of Marine Microbial Communities)","
Received",2015-10-30
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010003,"
(This article belongs to the Special Issue Diversity and Dynamics of Marine Microbial Communities)", Revised,2015-12-01
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010003,"
(This article belongs to the Special Issue Diversity and Dynamics of Marine Microbial Communities)", Accepted,2015-12-10
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010003,"
(This article belongs to the Special Issue Diversity and Dynamics of Marine Microbial Communities)", Published,2016-01-04
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010004,"
(This article belongs to the Special Issue Microbial Activity in Food)","
Received",2015-10-28
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010004,"
(This article belongs to the Special Issue Microbial Activity in Food)", Revised,2015-12-10
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010004,"
(This article belongs to the Special Issue Microbial Activity in Food)", Accepted,2015-12-17
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010004,"
(This article belongs to the Special Issue Microbial Activity in Food)", Published,2016-01-05
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010005,"
(This article belongs to the Special Issue Microbial Resource Management)","
Received",2015-10-29
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010005,"
(This article belongs to the Special Issue Microbial Resource Management)", Revised,2015-12-12
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010005,"
(This article belongs to the Special Issue Microbial Resource Management)", Accepted,2015-12-17
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010005,"
(This article belongs to the Special Issue Microbial Resource Management)", Published,2016-01-05
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010006,"
(This article belongs to the Special Issue Extremophiles)","
Received",2015-08-07
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010006,"
(This article belongs to the Special Issue Extremophiles)", Revised,2015-12-08
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010006,"
(This article belongs to the Special Issue Extremophiles)", Accepted,2015-12-15
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010006,"
(This article belongs to the Special Issue Extremophiles)", Published,2016-01-05
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010007,"
(This article belongs to the Special Issue Microbial Resource Management)","
Received",2015-10-30
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010007,"
(This article belongs to the Special Issue Microbial Resource Management)", Revised,2015-12-18
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010007,"
(This article belongs to the Special Issue Microbial Resource Management)", Accepted,2015-12-28
Microorganisms,2016,4,1,https://doi.org/10.3390/microorganisms4010007,"
(This article belongs to the Special Issue Microbial Resource Management)", Published,2016-01-05
