journal,year,volume,issue,DOI,SI,event,date
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010001,"
(This article belongs to the Special Issue Choices of the Journal)","
Received",2015-10-12
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010001,"
(This article belongs to the Special Issue Choices of the Journal)", Revised,2015-11-18
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010001,"
(This article belongs to the Special Issue Choices of the Journal)", Accepted,2015-11-20
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010001,"
(This article belongs to the Special Issue Choices of the Journal)", Published,2015-12-26
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010002,"
(This article belongs to the Special Issue Choices of the Journal)","
Received",2015-10-27
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010002,"
(This article belongs to the Special Issue Choices of the Journal)", Revised,2016-01-05
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010002,"
(This article belongs to the Special Issue Choices of the Journal)", Accepted,2016-01-07
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010002,"
(This article belongs to the Special Issue Choices of the Journal)", Published,2016-01-13
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010003,"
(This article belongs to the Special Issue Chemotherapeutic Agents)","
Received",2015-11-11
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010003,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Revised,2015-12-29
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010003,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Accepted,2016-01-06
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010003,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Published,2016-01-14
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010004,"
(This article belongs to the Special Issue Chemotherapeutic Agents)","
Received",2015-11-30
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010004,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Revised,2016-01-07
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010004,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Accepted,2016-01-14
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010004,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Published,2016-01-19
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010005,Normal Issue,"
Received",2016-01-21
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010005,Normal Issue, Accepted,2016-01-21
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010005,Normal Issue, Published,2016-01-21
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010006,Normal Issue,"
Received",2016-01-23
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010006,Normal Issue, Accepted,2016-01-25
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010006,Normal Issue, Published,2016-01-27
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010007,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)","
Received",2016-01-14
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010007,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)", Revised,2016-01-31
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010007,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)", Accepted,2016-02-02
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010007,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)", Published,2016-02-05
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010008,Normal Issue,"
Received",2015-12-17
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010008,Normal Issue, Revised,2016-01-27
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010008,Normal Issue, Accepted,2016-01-29
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010008,Normal Issue, Published,2016-02-06
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010009,Normal Issue,"
Received",2015-12-04
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010009,Normal Issue, Revised,2016-01-28
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010009,Normal Issue, Accepted,2016-02-01
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010009,Normal Issue, Published,2016-02-17
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010010,Normal Issue,"
Received",2015-06-12
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010010,Normal Issue, Revised,2015-09-08
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010010,Normal Issue, Accepted,2016-02-22
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010010,Normal Issue, Published,2016-02-25
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010011,"
(This article belongs to the Special Issue Chemotherapeutic Agents)","
Received",2015-12-03
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010011,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Revised,2016-02-08
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010011,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Accepted,2016-02-16
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010011,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Published,2016-02-25
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010012,"
(This article belongs to the Special Issue Chemotherapeutic Agents)","
Received",2016-01-13
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010012,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Revised,2016-02-19
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010012,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Accepted,2016-03-08
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010012,"
(This article belongs to the Special Issue Chemotherapeutic Agents)", Published,2016-03-10
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010013,"
(This article belongs to the Special Issue Antimicrobial Peptides: Expanded Activity Spectrum and Applications)","
Received",2016-01-25
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010013,"
(This article belongs to the Special Issue Antimicrobial Peptides: Expanded Activity Spectrum and Applications)", Revised,2016-03-01
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010013,"
(This article belongs to the Special Issue Antimicrobial Peptides: Expanded Activity Spectrum and Applications)", Accepted,2016-03-03
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010013,"
(This article belongs to the Special Issue Antimicrobial Peptides: Expanded Activity Spectrum and Applications)", Published,2016-03-11
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010014,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)","
Received",2016-03-04
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010014,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)", Accepted,2016-03-07
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010014,"
(This article belongs to the Special Issue Selected Papers from the 1st International Electronic Conference on Medicinal Chemistry)", Published,2016-03-11
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010015,"
(This article belongs to the Special Issue Selected papers from the 11th National Meeting of Organic Chemistry and 4th Meeting of Therapeutic Chemistry in Portugal)","
Received",2016-02-23
Pharmaceuticals,2016,9,1,https://doi.org/10.3390/ph9010015,"
(This article belongs to the Special Issue Selected papers from the 11th National Meeting of Organic Chemistry and 4th Meeting of Therapeutic Chemistry in Portugal)", Accepted,2016-02-26
