journal,year,volume,issue,DOI,SI,event,date
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,"
(This article belongs to the Special Issue Hybrid and Heterogeneous Technologies in Photonics Integrated Circuits)","
Received",2015-11-16
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,"
(This article belongs to the Special Issue Hybrid and Heterogeneous Technologies in Photonics Integrated Circuits)", Revised,2015-12-14
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,"
(This article belongs to the Special Issue Hybrid and Heterogeneous Technologies in Photonics Integrated Circuits)", Accepted,2015-12-18
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010001,"
(This article belongs to the Special Issue Hybrid and Heterogeneous Technologies in Photonics Integrated Circuits)", Published,2015-12-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,Normal Issue,"
Received",2015-10-10
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,Normal Issue, Revised,2015-12-02
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,Normal Issue, Accepted,2015-12-19
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010002,Normal Issue, Published,2015-12-26
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,Normal Issue,"
Received",2015-11-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,Normal Issue, Revised,2015-12-19
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,Normal Issue, Accepted,2015-12-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010003,Normal Issue, Published,2016-01-11
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,Normal Issue,"
Received",2015-11-18
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,Normal Issue, Revised,2015-12-23
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,Normal Issue, Accepted,2015-12-24
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010004,Normal Issue, Published,2016-01-08
Photonics,2016,3,1,https://doi.org/10.3390/photonics3010005,Normal Issue,"
Received",2015-11-20
