journal,year,volume,issue,DOI,SI,event,date
Processes,2016,4,1,https://doi.org/10.3390/pr4010001,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)","
Received",2015-11-29
Processes,2016,4,1,https://doi.org/10.3390/pr4010001,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Accepted,2015-12-16
Processes,2016,4,1,https://doi.org/10.3390/pr4010001,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Published,2015-12-24
Processes,2016,4,1,https://doi.org/10.3390/pr4010002,Normal Issue,"
Received",2015-11-02
Processes,2016,4,1,https://doi.org/10.3390/pr4010002,Normal Issue, Accepted,2015-12-29
Processes,2016,4,1,https://doi.org/10.3390/pr4010002,Normal Issue, Published,2015-12-31
Processes,2016,4,1,https://doi.org/10.3390/pr4010003,Normal Issue,"
Received",2016-01-21
Processes,2016,4,1,https://doi.org/10.3390/pr4010003,Normal Issue, Accepted,2016-01-21
Processes,2016,4,1,https://doi.org/10.3390/pr4010003,Normal Issue, Published,2016-01-21
Processes,2016,4,1,https://doi.org/10.3390/pr4010004,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)","
Received",2015-12-17
Processes,2016,4,1,https://doi.org/10.3390/pr4010004,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Accepted,2016-01-14
Processes,2016,4,1,https://doi.org/10.3390/pr4010004,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Published,2016-01-25
Processes,2016,4,1,https://doi.org/10.3390/pr4010005,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)","
Received",2015-12-06
Processes,2016,4,1,https://doi.org/10.3390/pr4010005,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Accepted,2016-02-05
Processes,2016,4,1,https://doi.org/10.3390/pr4010005,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Published,2016-02-15
Processes,2016,4,1,https://doi.org/10.3390/pr4010006,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)","
Received",2015-12-22
Processes,2016,4,1,https://doi.org/10.3390/pr4010006,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Accepted,2016-03-03
Processes,2016,4,1,https://doi.org/10.3390/pr4010006,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Published,2016-03-14
Processes,2016,4,1,https://doi.org/10.3390/pr4010007,Normal Issue,"
Received",2016-01-01
Processes,2016,4,1,https://doi.org/10.3390/pr4010007,Normal Issue, Accepted,2016-03-11
Processes,2016,4,1,https://doi.org/10.3390/pr4010007,Normal Issue, Published,2016-03-21
Processes,2016,4,2,https://doi.org/10.3390/pr4020008,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)","
Received",2015-12-02
Processes,2016,4,2,https://doi.org/10.3390/pr4020008,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Accepted,2016-03-21
Processes,2016,4,2,https://doi.org/10.3390/pr4020008,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Published,2016-04-01
Processes,2016,4,2,https://doi.org/10.3390/pr4020009,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)","
Received",2015-11-24
Processes,2016,4,2,https://doi.org/10.3390/pr4020009,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Accepted,2016-03-21
Processes,2016,4,2,https://doi.org/10.3390/pr4020009,"
(This article belongs to the Special Issue Polymer Modeling, Control and Monitoring)", Published,2016-03-30
Processes,2016,4,2,https://doi.org/10.3390/pr4020010,"
(This article belongs to the Special Issue Algorithms and Applications in Dynamic Optimization)","
Received",2015-12-16
Processes,2016,4,2,https://doi.org/10.3390/pr4020010,"
(This article belongs to the Special Issue Algorithms and Applications in Dynamic Optimization)", Accepted,2016-03-22
Processes,2016,4,2,https://doi.org/10.3390/pr4020010,"
(This article belongs to the Special Issue Algorithms and Applications in Dynamic Optimization)", Published,2016-03-30
