journal,year,volume,issue,DOI,SI,event,date
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00124,0,"
Received",2015-12-04
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00124,0, Revised,2016-01-08
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00124,0, Accepted,2016-02-11
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00124,0, Published,2016-03-01
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00121,0,"
Received",2015-12-03
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00121,0, Revised,2016-01-09
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00121,0, Accepted,2016-02-12
Tomography,2016,2,1,https://doi.org/10.18383/j.tom.2016.00121,0, Published,2016-03-01
Tomography,2017,3,1,https://doi.org/10.18383/j.tom.2015.00181,0,"
Received",2017-05-12
Tomography,2017,3,1,https://doi.org/10.18383/j.tom.2015.00181,0, Revised,2017-06-08
Tomography,2017,3,1,https://doi.org/10.18383/j.tom.2015.00181,0, Accepted,2017-07-15
Tomography,2017,3,1,https://doi.org/10.18383/j.tom.2015.00181,0, Published,2017-08-01
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00022,0,"
Received",2017-12-06
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00022,0, Revised,2018-01-02
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00022,0, Accepted,2018-02-07
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00022,0, Published,2018-03-01
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00021,0,"
Received",2017-12-06
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00021,0, Revised,2018-01-09
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00021,0, Accepted,2018-02-06
Tomography,2018,4,1,https://doi.org/10.18383/j.tom.2017.00021,0, Published,2018-03-01
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00045,0,"
Received",2019-01-03
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00045,0, Revised,2019-01-05
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00045,0, Accepted,2019-02-06
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00045,0, Published,2019-03-01
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00049,0,"
Received",2019-01-04
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00049,0, Revised,2019-01-07
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00049,0, Accepted,2019-02-06
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00049,0, Published,2019-03-01
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00044,0,"
Received",2018-12-11
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00044,0, Revised,2019-01-04
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00044,0, Accepted,2019-02-05
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00044,0, Published,2019-03-01
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00054,0,"
Received",2018-12-05
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00054,0, Revised,2019-01-05
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00054,0, Accepted,2019-02-07
Tomography,2019,5,1,https://doi.org/10.18383/j.tom.2018.00054,0, Published,2019-03-01
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00020,0,"
Received",2019-12-03
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00020,0, Revised,2020-01-08
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00020,0, Accepted,2020-02-12
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00020,0, Published,2020-03-01
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00022,0,"
Received",2019-12-10
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00022,0, Revised,2020-01-08
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00022,0, Accepted,2020-02-05
Tomography,2020,6,1,https://doi.org/10.18383/j.tom.2020.00022,0, Published,2020-03-01
