journal,year,volume,issue,DOI,SI,event,date
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,1,"
Received",2015-11-19
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,1, Revised,2016-01-04
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,1, Accepted,2016-01-07
Universe,2016,2,1,https://doi.org/10.3390/universe2010001,1, Published,2016-01-15
Universe,2016,2,1,https://doi.org/10.3390/universe2010002,0,"
Received",2016-01-22
Universe,2016,2,1,https://doi.org/10.3390/universe2010002,0, Accepted,2016-01-22
Universe,2016,2,1,https://doi.org/10.3390/universe2010002,0, Published,2016-01-22
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,1,"
Received",2015-06-23
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,1, Revised,2016-01-27
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,1, Accepted,2016-01-27
Universe,2016,2,1,https://doi.org/10.3390/universe2010003,1, Published,2016-02-05
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,1,"
Received",2015-12-30
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,1, Revised,2016-02-02
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,1, Accepted,2016-02-03
Universe,2016,2,1,https://doi.org/10.3390/universe2010004,1, Published,2016-02-23
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,1,"
Received",2016-02-09
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,1, Revised,2016-03-08
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,1, Accepted,2016-03-08
Universe,2016,2,1,https://doi.org/10.3390/universe2010005,1, Published,2016-03-14
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,1,"
Received",2016-01-05
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,1, Revised,2016-02-19
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,1, Accepted,2016-03-07
Universe,2016,2,1,https://doi.org/10.3390/universe2010006,1, Published,2016-03-14
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,1,"
Received",2015-10-20
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,1, Revised,2016-04-28
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,1, Accepted,2016-05-03
Universe,2016,2,2,https://doi.org/10.3390/universe2020007,1, Published,2016-05-13
Universe,2016,2,2,https://doi.org/10.3390/universe2020008,1,"
Received",2016-03-24
Universe,2016,2,2,https://doi.org/10.3390/universe2020008,1, Revised,2016-05-11
Universe,2016,2,2,https://doi.org/10.3390/universe2020008,1, Accepted,2016-05-17
Universe,2016,2,2,https://doi.org/10.3390/universe2020008,1, Published,2016-05-26
Universe,2016,2,2,https://doi.org/10.3390/universe2020009,1,"
Received",2016-04-06
Universe,2016,2,2,https://doi.org/10.3390/universe2020009,1, Revised,2016-05-03
Universe,2016,2,2,https://doi.org/10.3390/universe2020009,1, Accepted,2016-05-11
Universe,2016,2,2,https://doi.org/10.3390/universe2020009,1, Published,2016-05-30
Universe,2016,2,2,https://doi.org/10.3390/universe2020010,1,"
Received",2016-04-18
Universe,2016,2,2,https://doi.org/10.3390/universe2020010,1, Revised,2016-05-11
Universe,2016,2,2,https://doi.org/10.3390/universe2020010,1, Accepted,2016-05-18
Universe,2016,2,2,https://doi.org/10.3390/universe2020010,1, Published,2016-05-30
Universe,2016,2,2,https://doi.org/10.3390/universe2020011,1,"
Received",2016-01-04
Universe,2016,2,2,https://doi.org/10.3390/universe2020011,1, Revised,2016-05-04
Universe,2016,2,2,https://doi.org/10.3390/universe2020011,1, Accepted,2016-05-11
Universe,2016,2,2,https://doi.org/10.3390/universe2020011,1, Published,2016-05-30
Universe,2016,2,2,https://doi.org/10.3390/universe2020012,1,"
Received",2016-03-30
Universe,2016,2,2,https://doi.org/10.3390/universe2020012,1, Revised,2016-05-30
Universe,2016,2,2,https://doi.org/10.3390/universe2020012,1, Accepted,2016-06-02
Universe,2016,2,2,https://doi.org/10.3390/universe2020012,1, Published,2016-06-15
Universe,2016,2,2,https://doi.org/10.3390/universe2020013,1,"
Received",2016-05-03
Universe,2016,2,2,https://doi.org/10.3390/universe2020013,1, Revised,2016-06-03
Universe,2016,2,2,https://doi.org/10.3390/universe2020013,1, Accepted,2016-06-07
Universe,2016,2,2,https://doi.org/10.3390/universe2020013,1, Published,2016-06-21
Universe,2016,2,3,https://doi.org/10.3390/universe2030014,0,"
Received",2016-05-11
Universe,2016,2,3,https://doi.org/10.3390/universe2030014,0, Revised,2016-07-17
Universe,2016,2,3,https://doi.org/10.3390/universe2030014,0, Accepted,2016-07-18
Universe,2016,2,3,https://doi.org/10.3390/universe2030014,0, Published,2016-07-26
Universe,2016,2,3,https://doi.org/10.3390/universe2030015,1,"
Received",2016-05-24
Universe,2016,2,3,https://doi.org/10.3390/universe2030015,1, Revised,2016-07-24
Universe,2016,2,3,https://doi.org/10.3390/universe2030015,1, Accepted,2016-08-02
Universe,2016,2,3,https://doi.org/10.3390/universe2030015,1, Published,2016-08-10
Universe,2016,2,3,https://doi.org/10.3390/universe2030016,1,"
Received",2016-08-05
Universe,2016,2,3,https://doi.org/10.3390/universe2030016,1, Revised,2016-08-05
Universe,2016,2,3,https://doi.org/10.3390/universe2030016,1, Accepted,2016-08-17
Universe,2016,2,3,https://doi.org/10.3390/universe2030016,1, Published,2016-08-25
Universe,2016,2,3,https://doi.org/10.3390/universe2030017,1,"
Received",2016-07-13
Universe,2016,2,3,https://doi.org/10.3390/universe2030017,1, Revised,2016-08-18
Universe,2016,2,3,https://doi.org/10.3390/universe2030017,1, Accepted,2016-08-22
Universe,2016,2,3,https://doi.org/10.3390/universe2030017,1, Published,2016-08-29
Universe,2016,2,3,https://doi.org/10.3390/universe2030018,1,"
Received",2016-06-13
Universe,2016,2,3,https://doi.org/10.3390/universe2030018,1, Revised,2016-08-04
Universe,2016,2,3,https://doi.org/10.3390/universe2030018,1, Accepted,2016-08-05
Universe,2016,2,3,https://doi.org/10.3390/universe2030018,1, Published,2016-08-30
Universe,2016,2,3,https://doi.org/10.3390/universe2030019,1,"
Received",2016-06-09
Universe,2016,2,3,https://doi.org/10.3390/universe2030019,1, Revised,2016-08-11
Universe,2016,2,3,https://doi.org/10.3390/universe2030019,1, Accepted,2016-08-22
Universe,2016,2,3,https://doi.org/10.3390/universe2030019,1, Published,2016-08-31
Universe,2016,2,3,https://doi.org/10.3390/universe2030020,1,"
Received",2016-07-25
Universe,2016,2,3,https://doi.org/10.3390/universe2030020,1, Revised,2016-08-24
Universe,2016,2,3,https://doi.org/10.3390/universe2030020,1, Accepted,2016-08-27
Universe,2016,2,3,https://doi.org/10.3390/universe2030020,1, Published,2016-09-06
Universe,2016,2,3,https://doi.org/10.3390/universe2030021,1,"
Received",2016-06-29
Universe,2016,2,3,https://doi.org/10.3390/universe2030021,1, Revised,2016-08-31
Universe,2016,2,3,https://doi.org/10.3390/universe2030021,1, Accepted,2016-09-01
Universe,2016,2,3,https://doi.org/10.3390/universe2030021,1, Published,2016-09-12
Universe,2016,2,3,https://doi.org/10.3390/universe2030022,1,"
Received",2016-07-21
Universe,2016,2,3,https://doi.org/10.3390/universe2030022,1, Revised,2016-09-02
Universe,2016,2,3,https://doi.org/10.3390/universe2030022,1, Accepted,2016-09-02
Universe,2016,2,3,https://doi.org/10.3390/universe2030022,1, Published,2016-09-13
Universe,2016,2,4,https://doi.org/10.3390/universe2040023,1,"
Received",2016-08-21
Universe,2016,2,4,https://doi.org/10.3390/universe2040023,1, Revised,2016-09-13
Universe,2016,2,4,https://doi.org/10.3390/universe2040023,1, Accepted,2016-09-14
Universe,2016,2,4,https://doi.org/10.3390/universe2040023,1, Published,2016-09-28
Universe,2016,2,4,https://doi.org/10.3390/universe2040024,0,"
Received",2016-04-29
Universe,2016,2,4,https://doi.org/10.3390/universe2040024,0, Revised,2016-10-05
Universe,2016,2,4,https://doi.org/10.3390/universe2040024,0, Accepted,2016-10-10
Universe,2016,2,4,https://doi.org/10.3390/universe2040024,0, Published,2016-10-17
Universe,2016,2,4,https://doi.org/10.3390/universe2040025,1,"
Received",2016-09-02
Universe,2016,2,4,https://doi.org/10.3390/universe2040025,1, Revised,2016-10-06
Universe,2016,2,4,https://doi.org/10.3390/universe2040025,1, Accepted,2016-10-09
Universe,2016,2,4,https://doi.org/10.3390/universe2040025,1, Published,2016-10-18
Universe,2016,2,4,https://doi.org/10.3390/universe2040026,1,"
Received",2016-09-07
Universe,2016,2,4,https://doi.org/10.3390/universe2040026,1, Revised,2016-10-27
Universe,2016,2,4,https://doi.org/10.3390/universe2040026,1, Accepted,2016-11-01
Universe,2016,2,4,https://doi.org/10.3390/universe2040026,1, Published,2016-11-04
Universe,2016,2,4,https://doi.org/10.3390/universe2040027,1,"
Received",2016-10-14
