journal,year,volume,issue,DOI,SI,event,date
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010001,0,"
Received",2016-01-21
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010001,0, Accepted,2016-01-21
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010001,0, Published,2016-01-21
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010002,0,"
Received",2015-11-17
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010002,0, Revised,2015-12-31
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010002,0, Accepted,2016-01-18
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010002,0, Published,2016-01-22
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010003,0,"
Received",2015-12-07
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010003,0, Revised,2016-01-15
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010003,0, Accepted,2016-01-19
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010003,0, Published,2016-01-21
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010004,0,"
Received",2015-12-04
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010004,0, Revised,2016-01-24
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010004,0, Accepted,2016-02-14
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010004,0, Published,2016-02-22
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010005,1,"
Received",2016-01-19
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010005,1, Revised,2016-02-19
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010005,1, Accepted,2016-02-25
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010005,1, Published,2016-02-29
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010006,0,"
Received",2015-11-04
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010006,0, Revised,2016-01-11
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010006,0, Accepted,2016-01-14
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010006,0, Published,2016-03-11
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010007,0,"
Received",2016-01-21
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010007,0, Revised,2016-03-04
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010007,0, Accepted,2016-03-11
Vaccines,2016,4,1,https://doi.org/10.3390/vaccines4010007,0, Published,2016-03-17
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020008,0,"
Received",2016-02-19
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020008,0, Revised,2016-03-15
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020008,0, Accepted,2016-03-18
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020008,0, Published,2016-03-28
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020009,1,"
Received",2016-03-24
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020009,1, Accepted,2016-03-25
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020009,1, Published,2016-03-28
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020010,0,"
Received",2016-01-28
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020010,0, Revised,2016-04-07
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020010,0, Accepted,2016-04-08
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020010,0, Published,2016-04-15
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020011,0,"
Received",2016-03-02
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020011,0, Revised,2016-04-12
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020011,0, Accepted,2016-04-13
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020011,0, Published,2016-04-19
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020012,1,"
Received",2016-02-24
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020012,1, Revised,2016-03-28
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020012,1, Accepted,2016-04-01
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020012,1, Published,2016-04-19
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020013,0,"
Received",2016-02-08
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020013,0, Revised,2016-04-11
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020013,0, Accepted,2016-04-20
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020013,0, Published,2016-04-26
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020014,0,"
Received",2016-02-16
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020014,0, Revised,2016-04-20
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020014,0, Accepted,2016-04-25
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020014,0, Published,2016-05-04
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020015,1,"
Received",2016-02-25
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020015,1, Revised,2016-04-22
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020015,1, Accepted,2016-04-26
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020015,1, Published,2016-05-05
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020016,0,"
Received",2015-12-24
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020016,0, Revised,2016-03-24
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020016,0, Accepted,2016-04-25
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020016,0, Published,2016-05-10
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020017,0,"
Received",2016-03-14
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020017,0, Revised,2016-04-12
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020017,0, Accepted,2016-04-25
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020017,0, Published,2016-05-13
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020018,0,"
Received",2016-02-08
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020018,0, Revised,2016-03-31
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020018,0, Accepted,2016-04-08
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020018,0, Published,2016-06-01
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020019,1,"
Received",2016-04-10
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020019,1, Revised,2016-05-10
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020019,1, Accepted,2016-05-12
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020019,1, Published,2016-05-20
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020020,0,"
Received",2016-02-04
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020020,0, Revised,2016-04-29
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020020,0, Accepted,2016-05-20
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020020,0, Published,2016-05-27
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020021,1,"
Received",2016-04-18
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020021,1, Revised,2016-05-20
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020021,1, Accepted,2016-05-25
Vaccines,2016,4,2,https://doi.org/10.3390/vaccines4020021,1, Published,2016-06-01
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030022,1,"
Received",2016-04-11
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030022,1, Revised,2016-05-31
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030022,1, Accepted,2016-06-21
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030022,1, Published,2016-06-24
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030023,1,"
Received",2016-05-17
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030023,1, Revised,2016-06-20
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030023,1, Accepted,2016-06-21
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030023,1, Published,2016-06-29
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030024,0,"
Received",2016-06-02
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030024,0, Revised,2016-07-11
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030024,0, Accepted,2016-07-13
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030024,0, Published,2016-07-19
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030025,1,"
Received",2016-04-19
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030025,1, Revised,2016-07-13
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030025,1, Accepted,2016-07-21
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030025,1, Published,2016-07-26
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030026,1,"
Received",2016-05-01
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030026,1, Revised,2016-07-11
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030026,1, Accepted,2016-07-12
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030026,1, Published,2016-07-26
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030027,1,"
Received",2016-06-07
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030027,1, Revised,2016-07-19
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030027,1, Accepted,2016-07-19
Vaccines,2016,4,3,https://doi.org/10.3390/vaccines4030027,1, Published,2016-08-02
