journal,dates
fractalfract,31 Dec 2017
fractalfract,31 Dec 2017
fractalfract,1 Dec 2018
fractalfract,31 Dec 2019
fractalfract,30 Nov 2020
fractalfract,1 Dec 2020
fractalfract,31 Dec 2020
fractalfract,31 Dec 2020
fractalfract,Todd Freeborn
fractalfract,31 Jan 2021
fractalfract,Ivan Area
fractalfract,31 Mar 2021
fractalfract,31 Mar 2021
fractalfract,Amar Debbouche
fractalfract,31 Mar 2021
fractalfract,20 Oct 2021
fractalfract,20 Nov 2021
fractalfract,Ivanka Stamova
fractalfract,Xiaodi Li
fractalfract,20 Nov 2021
fractalfract,26 Dec 2021
fractalfract,31 Dec 2021
fractalfract,22 Jan 2022
fractalfract,Liping Chen
fractalfract,23 Jan 2022
fractalfract,Giorgio Pia
fractalfract,31 Jan 2022
fractalfract,31 Jan 2022
fractalfract,20 Feb 2022
fractalfract,6 Mar 2022
fractalfract,20 Mar 2022
fractalfract,Taekyun Kim
fractalfract,25 Mar 2022
fractalfract,Cheng Chen
fractalfract,30 Mar 2022
fractalfract,5 Apr 2022
fractalfract,Hengfei Ding
fractalfract,15 Apr 2022
fractalfract,‪Ravshan Radjabovich Ashurov
fractalfract,30 Apr 2022
fractalfract,30 Apr 2022
fractalfract,9 May 2022
fractalfract,Xiaohan Yang
fractalfract,Lihai Tan
fractalfract,Xin Cai
fractalfract,22 May 2022
fractalfract,5 Jun 2022
fractalfract,Shahram Najafzadeh
fractalfract,15 Jun 2022
fractalfract,Valentin Keyantuo
fractalfract,30 Jun 2022
fractalfract,30 Jun 2022
fractalfract,30 Jun 2022
fractalfract,Yuliya Mishura
fractalfract,Kostiantyn Ralchenko
fractalfract,30 Jun 2022
fractalfract,Muhammad Bilal Riaz
fractalfract,Mohamed Abdelsabour Fahmy
fractalfract,Khaled Mohammed Saad
fractalfract,10 Jul 2022
fractalfract,25 Jul 2022
fractalfract,Xian-Ming Gu
fractalfract,Maohua Ran
fractalfract,31 Jul 2022
fractalfract,31 Jul 2022
fractalfract,Shyam Kamal
fractalfract,Rajesh Kumar Pandey
fractalfract,31 Jul 2022
fractalfract,Francesco De Nicola
fractalfract,1 Aug 2022
fractalfract,Alessandra Meoli
fractalfract,17 Aug 2022
fractalfract,31 Aug 2022
fractalfract,1 Sep 2022
fractalfract,Ivanka Stamova
fractalfract,30 Sep 2022
fractalfract,30 Sep 2022
fractalfract,30 Sep 2022
fractalfract,30 Sep 2022
fractalfract,Gianina Dobrescu
fractalfract,Florica Papa
fractalfract,Razvan State
fractalfract,30 Sep 2022
fractalfract,30 Sep 2022
fractalfract,30 Sep 2022
fractalfract,5 Oct 2022
fractalfract,10 Oct 2022
fractalfract,15 Oct 2022
fractalfract,20 Oct 2022
fractalfract,Alexander J Bies
fractalfract,21 Oct 2022
fractalfract,Oana Brandibur
fractalfract,30 Oct 2022
fractalfract,31 Oct 2022
fractalfract,Hans-Jörg Fecht
fractalfract,31 Oct 2022
fractalfract,Costantino Ricciuti
fractalfract,31 Oct 2022
fractalfract,Mehmet Senol
fractalfract,31 Oct 2022
fractalfract,Alexandra M.S.F. Galhano
fractalfract,31 Oct 2022
fractalfract,1 Nov 2022
fractalfract,Blas M. Vinagre
fractalfract,1 Nov 2022
fractalfract,Mario Abundo
fractalfract,15 Nov 2022
fractalfract,15 Nov 2022
fractalfract,15 Nov 2022
fractalfract,20 Nov 2022
fractalfract,Feng Liu
fractalfract,20 Nov 2022
fractalfract,Boying Wu
fractalfract,Xiuying Li
fractalfract,20 Nov 2022
fractalfract,Adriana Catas
fractalfract,30 Nov 2022
fractalfract,Hong Wang
fractalfract,Yong Zhang
fractalfract,30 Nov 2022
fractalfract,30 Nov 2022
fractalfract,1 Dec 2022
fractalfract,Antonela Toma
fractalfract,Dorota Mozyrska
fractalfract,1 Dec 2022
fractalfract,12 Dec 2022
fractalfract,15 Dec 2022
fractalfract,20 Dec 2022
fractalfract,Amar Debbouche
fractalfract,31 Dec 2022
fractalfract,Yonghong Wu
fractalfract,Chuanjun Chen
fractalfract,Jiwei Zhang
fractalfract,31 Dec 2022
fractalfract,31 Dec 2022
fractalfract,Nallappan Gunasekaran
fractalfract,Sandra Pinelas
fractalfract,31 Dec 2022
fractalfract,31 Dec 2022
fractalfract,Davide Faranda
fractalfract,31 Dec 2022
fractalfract,Denis N. Gerasimov
fractalfract,31 Dec 2022
fractalfract,Marcin Magdziarz
fractalfract,Saeed Vahdati
fractalfract,31 Dec 2022
fractalfract,31 Dec 2022
fractalfract,31 Dec 2022
fractalfract,Libo Feng
fractalfract,Yang Liu
fractalfract,Lin Liu
fractalfract,31 Dec 2022
fractalfract,Angelo B. Mingarelli
fractalfract,31 Dec 2022
fractalfract,S. S. R. Koloor
fractalfract,31 Dec 2022
fractalfract,Driss Boutat
fractalfract,Dayan Liu
fractalfract,15 Jan 2023
fractalfract,Hamidreza Namazi
fractalfract,15 Jan 2023
fractalfract,15 Jan 2023
fractalfract,27 Jan 2023
fractalfract,30 Jan 2023
fractalfract,30 Jan 2023
fractalfract,31 Jan 2023
fractalfract,31 Jan 2023
fractalfract,Predrag Vuković
fractalfract,31 Jan 2023
fractalfract,Boming Yu
fractalfract,31 Jan 2023
fractalfract,Vetlugin Beibelaev
fractalfract,31 Jan 2023
fractalfract,Gaston M. N'Guérékata
fractalfract,Mouffak Benchohra
fractalfract,31 Jan 2023
fractalfract,31 Jan 2023
