journal,2016,2017,2018,2019,2020,2021
actuators,1,2,6,5,6,69
aerospace,4,4,9,10,16,55
agriculture,4,6,11,12,19,143
agronomy,6,2,13,31,86,366
animals,5,1,9,45,66,512
antibiotics,2,3,4,18,58,264
antioxidants,5,13,14,36,67,205
applsci,23,60,113,212,363,2179
atmosphere,10,16,29,59,89,280
biology,4,1,3,3,14,179
biomedicines,4,6,11,5,32,303
biomolecules,3,2,10,36,87,347
biosensors,4,6,14,7,4,122
brainsci,8,15,9,22,49,196
buildings,4,9,8,10,7,70
cancers,7,15,31,80,147,763
catalysts,12,28,38,47,84,411
cells,3,2,14,100,153,591
chemosensors,2,1,4,4,4,97
children,2,6,6,9,14,119
cimb,0,0,0,0,0,9
coatings,6,22,29,16,59,342
crystals,15,32,28,39,78,305
curroncol,0,0,0,0,0,33
diagnostics,3,4,7,10,52,265
diversity,3,5,12,14,31,128
electronics,9,3,13,43,97,628
energies,59,67,81,185,286,1651
entropy,23,35,49,74,78,317
fermentation,1,3,9,10,11,46
fishes,0,1,0,4,1,12
foods,10,6,15,34,90,386
forests,11,24,38,60,56,234
fractalfract,0,2,1,1,4,39
gels,0,8,4,4,3,36
genes,15,24,44,56,79,273
healthcare,7,4,15,8,8,111
horticulturae,0,1,7,3,2,90
ijerph,35,63,110,173,308,1226
ijgi,11,15,23,21,35,120
ijms,108,151,220,367,595,2282
insects,6,8,13,17,28,86
jcdd,0,4,3,1,2,7
jcm,9,6,13,101,127,721
jmse,5,3,5,28,47,229
jof,5,7,8,10,15,93
jpm,0,1,1,2,14,132
jtaer,0,0,0,0,0,9
land,1,4,10,8,21,176
life,3,5,6,7,16,254
machines,0,0,4,4,4,49
magnetochemistry,2,4,4,4,3,70
marinedrugs,8,22,24,44,50,151
materials,58,54,80,119,196,1229
mathematics,4,1,14,42,118,389
medicina,0,0,0,20,23,159
membranes,3,4,13,9,35,227
metabolites,5,5,6,15,32,171
metals,19,20,46,62,66,364
micromachines,21,25,47,54,64,373
microorganisms,7,8,13,38,110,458
minerals,11,15,36,45,78,254
molecules,77,86,108,246,313,1347
nanomaterials,16,24,51,71,94,679
nutrients,27,45,79,171,203,462
pathogens,2,6,6,9,44,342
pharmaceuticals,5,6,5,12,19,122
pharmaceutics,2,4,19,43,82,356
photonics,2,4,4,8,2,100
plants,2,7,4,32,69,441
polymers,18,32,73,80,166,603
processes,7,3,12,30,65,482
remotesensing,31,35,96,145,197,761
sensors,82,113,174,261,299,1309
separations,2,2,3,4,1,46
sustainability,57,82,175,237,418,2585
symmetry,12,18,23,45,74,426
tomography,0,0,0,0,0,2
toxics,1,2,5,4,4,87
toxins,12,15,24,41,48,154
universe,1,5,6,13,10,119
vaccines,3,3,6,9,25,192
vetsci,3,5,5,5,3,34
viruses,16,15,37,52,68,273
water,28,47,67,119,187,624
