title,journal,yearfunded,articles,IF,volumes,ISSN
International Journal of Molecular Sciences,ijms,2000,45917,5.924,22,1422-0067
Sustainability,sustainability,2009,42442,3.251,13,2071-1050
Sensors,sensors,2001,38680,3.576,21,1424-8220
International Journal of Environmental Research and Public Health,ijerph,2004,37159,3.39,18,1660-4601
Molecules,molecules,1996,33980,4.412,26,1420-3049
Applied Sciences,applsci,2011,31243,2.679,11,2076-3417
Energies,energies,2008,28838,3.004,14,1996-1073
Materials,materials,2008,24868,3.623,14,1996-1944
Remote Sensing,remotesensing,2009,18967,4.848,13,2072-4292
Nutrients,nutrients,2009,17232,5.719,13,2072-6643
Water,water,2009,14142,3.103,13,2073-4441
Cancers,cancers,2009,13725,6.639,13,2072-6694
Journal of Clinical Medicine,jcm,2012,13207,4.242,10,2077-0383
Polymers,polymers,2009,12744,4.329,13,2073-4360
Nanomaterials,nanomaterials,2011,9767,5.076,11,2079-4991
Cells,cells,2012,8472,6.6,10,2073-4409
Entropy,entropy,1999,8202,2.524,23,1099-4300
Viruses,viruses,2009,7935,5.048,13,1999-4915
Animals,animals,2011,7846,2.752,11,2076-2615
Symmetry,symmetry,2009,7642,2.713,13,2073-8994
Electronics,electronics,2012,7633,2.397,10,2079-9292
Metals,metals,2011,7312,2.351,11,2075-4701
Mathematics,mathematics,2013,7287,2.258,9,2227-7390
Forests,forests,2010,6506,2.634,12,1999-4907
Foods,foods,2012,6244,4.35,10,2304-8158
Genes,genes,2010,6038,4.096,12,2073-4425
Agronomy,agronomy,2011,6024,3.417,11,2073-4395
Microorganisms,microorganisms,2013,5661,4.128,9,2076-2607
Catalysts,catalysts,2011,5612,4.146,11,2073-4344
Plants,plants,2012,5504,3.935,10,2223-7747
Processes,processes,2013,5400,2.847,9,2227-9717
Micromachines,micromachines,2010,5190,2.891,12,2072-666X
Biomolecules,biomolecules,2011,5077,4.879,11,2218-273X
Atmosphere,atmosphere,2010,5040,2.686,12,2073-4433
Marine Drugs,marinedrugs,2003,4945,5.118,19,1660-3397
Toxins,toxins,2009,4814,4.546,13,2072-6651
Pharmaceutics,pharmaceutics,2009,4682,6.321,13,1999-4923
Crystals,crystals,2011,4660,2.589,11,2073-4352
Coatings,coatings,2011,4585,2.881,11,2079-6412
Minerals,minerals,2011,4476,2.644,11,2075-163X
Antioxidants,antioxidants,2012,4421,6.313,10,2076-3921
Medicina,medicina,1920,3968,2.43,57,1648-9144
Diagnostics,diagnostics,2011,3955,3.706,11,2075-4418
Brain Sciences,brainsci,2011,3674,3.394,11,2076-3425
ISPRS International Journal of Geo-Information,ijgi,2012,3624,2.899,10,2220-9964
Pathogens,pathogens,2012,3381,3.492,10,2076-0817
Journal of Marine Science and Engineering,jmse,2013,3344,2.458,9,2077-1312
Insects,insects,2010,3158,2.769,12,2075-4450
Antibiotics,antibiotics,2012,3028,4.639,10,2079-6382
Healthcare,healthcare,2013,2924,2.645,9,2227-9032
Biomedicines,biomedicines,2013,2883,6.081,9,2227-9059
Pharmaceuticals,pharmaceuticals,2004,2831,5.863,14,1424-8247
Vaccines,vaccines,2013,2775,4.422,9,2076-393X
Agriculture,agriculture,2011,2710,2.925,11,2077-0472
Land,land,2012,2553,3.398,10,2073-445X
Biology,biology,2012,2260,5.079,10,2079-7737
Current Oncology,curroncol,1994,2244,3.677,28,1718-7729
Life,life,2011,2201,3.817,11,2075-1729
Metabolites,metabolites,2011,2109,4.932,11,2218-1989
 Membranes,membranes,2011,2045,4.106,11,2077-0375
Children,children,2014,2014,2.863,8,2227-9067
Journal of Personalized Medicine,jpm,2011,1884,4.945,11,2075-4426
Diversity,diversity,2009,1848,2.465,13,1424-2818
Journal of Fungi,jof,2015,1836,5.816,7,2309-608X
Buildings,buildings,2011,1679,2.648,11,2075-5309
Biosensors,biosensors,2011,1277,5.519,11,2079-6374
Universe,universe,2015,1245,2.278,7,2218-1997
Photonics,photonics,2014,1125,2.676,8,2304-6732
Aerospace,aerospace,2014,982,1.659,8,2226-4310
Horticulturae,horticulturae,2015,889,2.331,7,2311-7524
Veterinary Sciences,vetsci,2014,886,2.304,8,2306-7381
Actuators,actuators,2012,746,1.994,10,2076-0825
Toxics,toxics,2013,739,4.146,9,2305-6304
Fermentation,fermentation,2015,736,3.975,7,2311-5637
Chemosensors,chemosensors,2013,727,3.398,9,2227-9040
Machines,machines,2013,683,2.428,9,2075-1702
Separations,separations,2014,560,2.777,8,2297-8739
Current Issues in Molecular Biology,cimb,1999,543,2.081,43,1467-3045
Journal of Theoretical and Applied Electronic Commerce Research,jtaer,2006,536,3.049,16,0718-1876
Gels,gels,2015,535,4.702,7,2310-2861
Magnetochemistry,magnetochemistry,2015,456,2.193,7,2312-7481
Journal of Cardiovascular Development and Disease,jcdd,2014,436,3.948,8,2308-3425
Fractal and Fractional,fractalfract,2017,431,3.313,5,2504-3110
Tomography,tomography,2015,290,3.358,7,2379-139X
Fishes,fishes,2016,250,2.385,6,2410-3888
