title,journal,yearfunded,articles,IF,volumes,ISSN
International Journal of Molecular Sciences,ijms,2000,52138,5.924,23,1422-0067
Sustainability,sustainability,2009,49223,3.251,14,2071-1050
International Journal of Environmental Research and Public Health,ijerph,2004,43872,3.39,19,1660-4601
Sensors,sensors,2001,42871,3.576,22,1424-8220
Molecules,molecules,1996,37551,4.412,27,1420-3049
Applied Sciences,applsci,2011,36927,2.679,12,2076-3417
Energies,energies,2008,32946,3.004,15,1996-1073
Materials,materials,2008,28901,3.623,15,1996-1944
Remote Sensing,remotesensing,2009,21622,4.848,14,2072-4292
Nutrients,nutrients,2009,19545,5.719,14,2072-6643
Cancers,cancers,2009,16467,6.639,14,2072-6694
Journal of Clinical Medicine,jcm,2012,16353,4.242,11,2077-0383
Water,water,2009,15929,3.103,14,2073-4441
Polymers,polymers,2009,15011,4.329,14,2073-4360
Nanomaterials,nanomaterials,2011,11655,5.076,12,2079-4991
Cells,cells,2012,10294,6.6,11,2073-4409
Electronics,electronics,2012,9402,2.397,11,2079-9292
Animals,animals,2011,9259,2.752,12,2076-2615
Mathematics,mathematics,2013,9203,2.258,10,2227-7390
Viruses,viruses,2009,9126,5.048,14,1999-4915
Entropy,entropy,1999,8987,2.524,24,1099-4300
Symmetry,symmetry,2009,8783,2.713,14,2073-8994
Metals,metals,2011,8269,2.351,12,2075-4701
Foods,foods,2012,7858,4.35,11,2304-8158
Forests,forests,2010,7384,2.634,13,1999-4907
Agronomy,agronomy,2011,7352,3.417,12,2073-4395
Genes,genes,2010,7028,4.096,13,2073-4425
Plants,plants,2012,6990,3.935,11,2223-7747
Microorganisms,microorganisms,2013,6802,4.128,10,2076-2607
Processes,processes,2013,6498,2.847,10,2227-9717
Catalysts,catalysts,2011,6239,4.146,12,2073-4344
Micromachines,micromachines,2010,6057,2.891,13,2072-666X
Atmosphere,atmosphere,2010,5938,2.686,13,2073-4433
Biomolecules,biomolecules,2011,5867,4.879,12,2218-273X
Pharmaceutics,pharmaceutics,2009,5864,6.321,14,1999-4923
Antioxidants,antioxidants,2012,5513,6.313,11,2076-3921
Crystals,crystals,2011,5457,2.589,12,2073-4352
Coatings,coatings,2011,5346,2.881,12,2079-6412
Diagnostics,diagnostics,2011,5325,3.706,12,2075-4418
Marine Drugs,marinedrugs,2003,5299,5.118,20,1660-3397
Toxins,toxins,2009,5204,4.546,14,2072-6651
Minerals,minerals,2011,5172,2.644,12,2075-163X
Medicina,medicina,1920,4700,2.43,58,1648-9144
Brain Sciences,brainsci,2011,4379,3.394,12,2076-3425
Biomedicines,biomedicines,2013,4170,6.081,10,2227-9059
Journal of Marine Science and Engineering,jmse,2013,4106,2.458,10,2077-1312
Pathogens,pathogens,2012,4027,3.492,11,2076-0817
ISPRS International Journal of Geo-Information,ijgi,2012,3950,2.899,11,2220-9964
Healthcare,healthcare,2013,3948,2.645,10,2227-9032
Antibiotics,antibiotics,2012,3777,4.639,11,2079-6382
Insects,insects,2010,3682,2.769,13,2075-4450
Vaccines,vaccines,2013,3649,4.422,10,2076-393X
Pharmaceuticals,pharmaceuticals,2004,3526,5.863,15,1424-8247
Agriculture,agriculture,2011,3492,2.925,12,2077-0472
Land,land,2012,3356,3.398,11,2073-445X
Biology,biology,2012,3106,5.079,11,2079-7737
Life,life,2011,3026,3.817,12,2075-1729
Children,children,2014,2814,2.863,9,2227-9067
Journal of Personalized Medicine,jpm,2011,2775,4.945,12,2075-4426
Membranes,membranes,2011,2612,4.106,12,2077-0375
Metabolites,metabolites,2011,2611,4.932,12,2218-1989
Current Oncology,curroncol,1994,2560,3.677,29,1718-7729
Journal of Fungi,jof,2015,2424,5.816,8,2309-608X
Buildings,buildings,2011,2414,2.648,12,2075-5309
Diversity,diversity,2009,2291,2.465,14,1424-2818
Biosensors,biosensors,2011,1654,5.519,12,2079-6374
Universe,universe,2015,1560,2.278,8,2218-1997
Photonics,photonics,2014,1515,2.676,9,2304-6732
Horticulturae,horticulturae,2015,1378,2.331,8,2311-7524
Aerospace,aerospace,2014,1270,1.659,9,2226-4310
Veterinary Sciences,vetsci,2014,1148,2.304,9,2306-7381
Machines,machines,2013,1117,2.428,10,2075-1702
Toxics,toxics,2013,1025,4.146,10,2305-6304
Fermentation,fermentation,2015,994,3.975,8,2311-5637
Chemosensors,chemosensors,2013,935,3.398,10,2227-9040
Actuators,actuators,2012,894,1.994,11,2076-0825
Gels,gels,2015,884,4.702,8,2310-2861
Fractal and Fractional,fractalfract,2017,726,3.313,6,2504-3110
Current Issues in Molecular Biology,cimb,1999,715,2.081,44,1467-3045
Separations,separations,2014,700,2.777,9,2297-8739
Journal of Cardiovascular Development and Disease,jcdd,2014,612,3.948,9,2308-3425
Journal of Theoretical and Applied Electronic Commerce Research,jtaer,2006,572,3.049,17,0718-1876
Magnetochemistry,magnetochemistry,2015,515,2.193,8,2312-7481
Tomography,tomography,2015,408,3.358,8,2379-139X
Fishes,fishes,2016,373,2.385,7,2410-3888
